Дата	Причина	Аргумент	Участок	Описание
07.09.2016	Внешний вид	-	склад	Нет этикетки
09.10.2019	На одну сторону	100/3	100 сборка	
11.02.2020	На одну сторону	100/3	100 сборка	
15.07.2020	На одну сторону	100/3	100 сборка	
19.04.2019	Внешний вид	400	100 сборка	разболталась заклепка
09.07.2020	Кладовщик	400	100 сборка	9 компл вместо 10
01.11.2016	Внешний вид	402	100 сборка	Не заклепали
18.01.2018	Внешний вид	402	100 сборка	Не туда приклепали втулку под пружину
28.09.2018	Внешний вид	402	100 сборка	Перетянута заклепка
14.05.2019	Внешний вид	402	100 сборка	Не доложили
08.06.2020	Внешний вид	402	100 сборка	нет пружинодержателя
04.09.2020	Внешний вид	402	100 сборка	Не раскрывается механизм
09.09.2020	Внешний вид	402	100 сборка	Перезаклепали
14.03.2017	Кладовщик	402	100 сборка	Не полная коробка приехала
08.06.2016	Метиз	402	100 сборка	
08.06.2016	Метиз	402	100 сборка	
07.09.2016	Метиз	402	склад	Не той длины болт
08.11.2018	Метиз	402	100 сборка	
03.12.2018	Метиз	402	склад	
22.05.2020	Нагрузка	402	151 фасовка	Синхронизатор шумит, при раскрытии мех-ма
22.05.2019	Внешний вид	402 Б	100 сборка	Не полужили одну сторону
28.03.2019	Метиз	402/у01	100 сборка	Короткие болты
30.10.2018	На одну сторону	402_у	100 сборка	
06.11.2019	Внешний вид	402Б	850 штамповка	Отличается длина планок. Изаза этого смещена высота
21.08.2020	Кладовщик	402Б	100 сборка	9 компл вместо 10
04.09.2019	На одну сторону	402Б	100 сборка	
08.06.2020	Конструктор	402н	ИТР	Полностью не раскрывается
23.01.2019	Не туда	402н	100 сборка	
11.09.2020	Не туда	402н	850 штамповка	Из-за штампа съезжают отверстия посадочные
15.04.2020	Внешний вид	402нз	036 сварка	
10.09.2020	Кладовщик	402НЗ	100 сборка	Вместо 402нз, положили 402
07.06.2019	Метиз	402нз	100 сборка	
10.01.2020	Внешний вид	402нз4	036 сварка	Сломалась ножка
14.05.2020	Внешний вид	402НЗ4	100 сборка	Клиент отказался из-за постоянного брака
26.03.2019	Конструктор	402НЗ4	ИТР	Не раскрывается на 90 градусов
27.08.2018	На одну сторону	402у	100 сборка	
26.10.2018	На одну сторону	402У	100 сборка	
17.10.2019	Внешний вид	402УБ	100 сборка	Высота подъема разная
17.06.2016	Внешний вид	403	100 сборка	Слетела заклепка
04.12.2018	Внешний вид	403	100 сборка	Плохо заклипали
20.02.2019	Внешний вид	403	склад	Не отгрузили несколько коробок
17.06.2019	Внешний вид	403	100 сборка	Плохо заклепали
10.01.2020	Внешний вид	403	склад	Сорвало шляаку заклупки
11.02.2020	Внешний вид	403	склад	Сорвало шляпку заклепка
06.03.2020	Внешний вид	403	850 штамповка	Короткая нижняя планка
03.06.2020	Внешний вид	403	850 штамповка	Разная длина планок
03.08.2020	Внешний вид	403	100 сборка	Не в ту сторону планка
26.03.2020	Метиз	403	100 сборка	
18.01.2019	На одну сторону	403	100 сборка	
24.06.2019	На одну сторону	403	100 сборка	
29.11.2019	На одну сторону	403	100 сборка	
10.01.2020	На одну сторону	403	100 сборка	
02.06.2020	На одну сторону	403	100 сборка	
24.09.2018	Внешний вид	404	100 сборка	Из-за винта не раскрывается механизм
15.04.2019	Внешний вид	404	100 сборка	Отсуствует пружина держатель
18.10.2019	Внешний вид	404	850 штамповка	Нет отверстия для крепления
03.02.2020	Внешний вид	404	100 сборка	Плохо заклепали
18.06.2020	Внешний вид	404	100 сборка	Втулки слмались
26.12.2018	Кладовщик	404	100 сборка	не хватает
26.12.2018	Кладовщик	404	склад	Не хватает коробки
12.07.2018	На одну сторону	404	100 сборка	
24.07.2018	На одну сторону	404	100 сборка	
26.10.2018	На одну сторону	404	100 сборка	
28.03.2019	На одну сторону	404	100 сборка	
30.04.2019	На одну сторону	404	100 сборка	
14.05.2019	На одну сторону	404	100 сборка	
14.08.2019	На одну сторону	404	100 сборка	
30.09.2019	На одну сторону	404	100 сборка	
09.10.2019	На одну сторону	404	100 сборка	
09.07.2020	На одну сторону	404	100 сборка	
28.07.2020	На одну сторону	404	100 сборка	
06.03.2019	Не туда	404	100 сборка	Плохо заклепали
28.07.2016	На одну сторону	404/2	100 сборка	
03.04.2018	Конструктор	404/8	ИТР	Поменяли посадочные размеры
24.12.2018	На одну сторону	404/9	100 сборка	
25.07.2017	Кладовщик	404_1	100 сборка	Не доложили
11.07.2019	Конструктор	404_4	ИТР	Планки друг о друга задевают
22.10.2018	Конструктор	404_6	ИТР	Стопор не туда
12.09.2018	Внешний вид	405	021 Сверловка	Не проходит болт в стеллаж под колесо
30.10.2018	Внешний вид	405	036 сварка	Плохая сварка
15.04.2019	Внешний вид	405	036 сварка	Оторвалась планка
31.05.2019	Внешний вид	405	850 штамповка	Разная длина планок
04.03.2020	Внешний вид	405	036 сварка	
08.06.2020	Внешний вид	405	021 Сверловка	Смещенно отверстие
14.07.2017	Кладовщик	405	100 сборка	не до комплект
08.06.2020	Конструктор	405	ИТР	Отсутсвтует прямой угол при закрытие дивана
16.02.2018	Метиз	405	склад	
27.08.2018	Метиз	405	склад	
09.01.2019	Метиз	405	100 сборка	
24.01.2019	Метиз	405	100 сборка	
06.02.2019	Метиз	405	склад	Не доложили метиз
18.02.2019	Метиз	405	склад	
23.04.2019	Метиз	405	склад	
07.06.2019	Метиз	405	100 сборка	
02.07.2019	Метиз	405	склад	
17.02.2020	Метиз	405	100 сборка	
25.03.2020	Метиз	405	100 сборка	
15.04.2020	Метиз	405	склад	Не хватает комплект
27.07.2020	Метиз	405	100 сборка	
17.08.2020	Метиз	405	склад	Не хватает комплект
19.08.2020	Метиз	405	склад	Не хватает комплект
31.08.2020	Метиз	405	100 сборка	
10.10.2019	На одну сторону	405	100 сборка	
21.10.2019	На одну сторону	405	100 сборка	
04.12.2019	На одну сторону	405	100 сборка	
14.07.2020	На одну сторону	405	100 сборка	
03.08.2020	На одну сторону	405	100 сборка	
02.06.2020	Не туда	405	036 сварка	
03.09.2018	Внешний вид	405/10	100 сборка	Не хватает колесика и лишние 5 компл
12.07.2016	На одну сторону	405/19	100 сборка	
12.07.2016	Не туда	405/19	склад	вместо 405/19, приехал 405
24.06.2019	Внешний вид	405/24	100 сборка	1 комплект НЕ заклепанный
27.01.2020	Метиз	405/42	100 сборка	
02.11.2018	Не туда	405_10	021 Сверловка	
