Название,Капитализация,Сектор,P/E,P/BV,P/S,EV/EBIT,Debt/EBITDA,NetDebt/EBITDA,ROE,ROA,"Выручка, ср. 3","ОП, ср. 3","ЧП, ср. 3","EBITDA, ср. 3","FCF, ср. 3","Активы, ср. 3",День,Неделя,Месяц,Квартал,Год
МТС,8712.4557,50,9.70,79.65,1.24,8.4,1.87,1.68,830.34,7.02,3.79,5.75,176.67,7.59,64.84,22.58,-0.28,-3.18,-4.92,-2.02,-4.07
ГМК Норникель,49419.5569,15,6.55,10.11,2.69,5.43,0.87,0.69,163.01,43.27,27.82,39.41,40.63,29.85,17.63,17.07,0.84,5.55,-7.24,-11.47,15.88
Headhunter Group PLC,2732.7804,20,59.80,55.46,17.27,42.06,1.30,0.42,96.09,16.21,20.96,28.83,64.97,20.39,28.05,14.54,-2.82,1.92,1.19,17.18,117.84
ТЗА,12.7122,20,7.22,6.58,0.42,5.18,0.00,0,91.02,12.63,13.31,0,34.72,47.25,439.11,0.75,1.81,9.76,11.39,20.97,8.17
Полюс,24772.9138,15,10.02,8.66,4.61,8.21,0.98,0.56,87.45,32.55,32.42,39.6,88.56,56.17,84.14,13.47,4.19,8.92,1.97,-7.51,-20.48
Полюс,24772.9138,15,10.02,8.66,4.61,8.21,0.98,0.56,87.45,32.55,32.42,39.6,88.56,56.17,84.14,13.47,3.23,10.77,2.13,-5.79,-14.98
ГК ПИК,11731.8000,60,6.22,3.85,1.98,11.73,2.71,2.28,62.22,17.04,29.99,136.91,304.05,127.98,9.13,24.73,-1.59,0.95,-10.80,24.17,123.55
АстрЭнСб,12.9258,55,7.60,4.59,0.08,5.06,0.82,0.73,60.41,2.72,2.92,75.44,71.12,48.74,31.29,9.99,9.41,45.33,47.72,41.20,60.29
НЛМК,17676.9346,15,5.90,3.03,1.56,5.19,0.67,0.46,51.51,26.57,3.03,12.14,7.97,2.93,7.89,2.69,-2.42,2.97,-7.50,-7.16,36.29
НЛМК,17676.9346,15,5.90,3.03,1.56,5.19,0.67,0.46,51.51,26.57,3.03,12.14,7.97,2.93,7.89,2.69,-2.05,1.74,-8.60,-10.31,27.50
Мордовэнергосбыт,9.4298,55,5.75,2.84,0.10,6.09,2.90,2.6,49.31,8.33,2.59,5.51,29.02,22.33,131.92,4.37,9.68,17.78,14.35,21.14,15.91
ФосАгро,9865.8325,15,11.90,5.36,2.34,9.98,1.25,1.07,44.98,17.16,12.44,19.12,14.95,19.95,29.43,8.67,-0.50,3.63,19.58,22.16,99.85
ФосАгро,9865.8325,15,11.90,5.36,2.34,9.98,1.25,1.07,44.98,17.16,12.44,19.12,14.95,19.95,29.43,8.67,-0.84,3.90,12.94,15.60,95.76
НКХП,329.8779,30,7.73,2.75,3.13,6.12,0.52,0.02,35.54,25.32,30.61,30.14,35.33,25.27,2186.87,14.81,-0.28,-1.53,-1.80,3.35,40.04
Ашинский метзавод,150.7460,15,3.34,0.93,0.35,2.44,0.87,0.12,27.84,15.65,3.46,0.78,23.83,0.18,162.5,1.83,-1.74,-3.42,21.88,77.42,376.19
Черкизово,1828.7656,30,6.54,1.67,0.94,8.81,2.88,2.63,25.44,11.01,12.62,36.33,65.11,21.07,36.49,12.49,1.47,10.24,3.61,43.98,76.14
Куйбазот,1304.0228,15,10.95,2.34,1.46,8.5,1.51,1.14,21.70,11.77,5.34,61.74,21.15,33.92,428.55,6.31,-1.24,2.88,6.98,51.35,174.04
Куйбазот,1304.0228,15,10.95,2.34,1.46,8.5,1.51,1.14,21.70,11.77,5.34,61.74,21.15,33.92,428.55,6.31,-2.54,-0.35,1.89,47.41,163.97
Segezha Group,2234.2832,15,19.50,3.57,2.02,13.68,2.44,1.4,18.32,6.67,17.19,49.87,12937.87,35.64,34.05,9.32,5.92,18.12,17.49,39.99,0.00
Татнефть,18062.0753,10,8.60,1.47,1.38,6.94,0.13,0.03,17.07,11.06,4.45,4.29,5.03,10.41,2.12,4.53,-1.24,-0.06,14.27,6.87,20.72
Татнефть,18062.0753,10,8.60,1.47,1.38,6.94,0.13,0.03,17.07,11.06,4.45,4.29,5.03,10.41,2.12,4.53,-1.13,0.58,15.57,9.44,28.31
ТНСэнМарЭл,30.5672,55,11.52,1.93,0.29,9.85,1.62,1.49,16.77,7.90,2.84,19.29,24.96,21.12,151.09,19.41,9.55,22.86,24.64,19.44,43.33
ТНСэнМарЭл,30.5672,55,11.52,1.93,0.29,9.85,1.62,1.49,16.77,7.90,2.84,19.29,24.96,21.12,151.09,19.41,2.56,13.21,12.15,8.11,0.84
Ростелеком,4429.4554,50,10.38,1.44,0.57,10.18,1.91,2.32,14.84,3.21,22.8,26.07,22.82,29.01,17.45,21.74,1.69,3.54,-1.33,-6.00,-1.81
Ростелеком,4429.4554,50,10.38,1.44,0.57,10.18,1.91,2.32,14.84,3.21,22.8,26.07,22.82,29.01,17.45,21.74,0.59,2.22,0.53,-3.12,-0.35
Белуга,735.6474,30,16.96,2.19,0.56,9.17,1.72,1.07,14.31,5.43,36.64,34.96,63.81,37.27,583.68,15.79,-0.32,0.86,3.36,25.21,170.96
Новатэк,79596.4465,10,26.15,3.34,6.49,21.75,0.30,0.21,13.67,10.97,9.62,78.17,100.57,25.87,1.96,28.09,-0.68,0.05,-1.86,21.51,88.13
Новатэк,79596.4465,10,26.15,3.34,6.49,21.75,0.30,0.21,13.67,10.97,9.62,78.17,100.57,25.87,1.96,28.09,0.50,-1.21,-4.32,18.82,77.07
КоршГОК,179.2321,15,1.88,0.25,0.77,2.18,0.00,0,13.56,12.63,8.94,371.2,18.99,187.06,254.97,10.53,-0.76,7.85,-2.97,1.16,12.02
СаратНПЗ,178.8499,10,2.84,0.35,0.91,2.25,0.00,0,12.41,10.47,1.07,10.6,8.87,3.03,19.9,12.12,0.00,-0.81,0.00,-6.15,3.83
