Название,Капитализация,Сектор,P/E,P/FCF,P/BV,P/S,EV/EBITDA,EV/S,EV/EBIT,"Див-д, частота",Debt/EBITDA,ROE,ROA,Оп. рент.,День,Неделя,Месяц,Квартал,Год
МТС,8712.4557,50,9.70,23.11,79.65,1.24,4.50,1.99,8.4,2,1.87,830.34,7.02,23.4,-0.28,-3.18,-4.92,-2.02,-4.07
Mobile TeleSystems Public Join,8177.1556,50,9.49,22.89,75.54,1.21,4.63,2.05,8.61,2,1.92,805.05,6.80,24.76,0.00,-2.47,-1.04,9.61,11.41
ГМК Норникель,49419.5569,15,6.55,9.05,10.11,2.69,5.28,3.09,5.43,2,0.87,163.01,43.27,57.27,0.84,5.55,-7.24,-11.47,15.88
Лензолото,196.8338,15,3.27,2.10,3.34,0.00,-3.49,0.00,-2.76,1,-0.04,121.59,22.62,0,1.97,1.97,-1.98,8.20,-37.93
Лензолото,196.8338,15,3.27,2.10,3.34,0.00,-3.49,0.00,-2.76,1,-0.04,121.59,22.62,0,1.14,4.47,-3.90,-3.06,-51.74
ЗИЛ,155.4039,25,0.41,0.00,0.42,151.17,0.59,223.99,0.59,0,0.33,101.93,74.31,-354.35,0.47,0.24,0.59,4.42,71.37
ГАЗ,173.6230,25,3.05,1.53,2.84,0.06,5.05,0.34,8.48,1,4.76,99.44,3.13,0,-1.89,2.10,-4.71,-12.61,18.37
ГАЗ,173.6230,25,3.05,1.53,2.84,0.06,5.05,0.34,8.48,0,4.76,99.44,3.13,0,1.69,4.49,-2.10,8.94,31.11
Headhunter Group PLC,2732.7804,20,59.80,36.28,55.46,17.27,32.42,17.50,42.06,1,1.30,96.09,16.21,39.9,-2.82,1.92,1.19,17.18,117.84
ТЗА,12.7122,20,7.22,0.00,6.58,0.42,5.18,0.42,5.18,0,0.00,91.02,12.63,6.83,1.81,9.76,11.39,20.97,8.17
Электроцинк,3.6100,15,1.01,0.00,0.89,0.13,7.42,1.25,7.42,0,7.63,88.19,7.99,12.55,2.19,3.89,0.27,12.65,15.43
Полюс,24772.9138,15,10.02,10.25,8.66,4.61,7.38,5.00,8.21,3,0.98,87.45,32.55,61.93,4.19,8.92,1.97,-7.51,-20.48
Полюс,24772.9138,15,10.02,10.25,8.66,4.61,7.38,5.00,8.21,3,0.98,87.45,32.55,61.93,3.23,10.77,2.13,-5.79,-14.98
ДВМП,1162.7320,20,5.92,5.92,4.67,1.03,5.04,1.27,6.68,0,1.37,80.82,21.12,24.57,1.06,0.21,28.23,72.65,177.98
РязЭнСб,60.3654,55,9.56,0.00,6.17,0.37,6.97,0.33,6.97,1,0.00,64.47,30.59,5.09,13.60,22.24,21.26,33.29,135.25
ГК  Самолет,4122.0007,60,51.14,-6.68,27.09,4.24,23.12,5.08,29.17,2,3.97,62.61,5.46,17.4,1.24,-0.22,0.61,168.14,0.00
Нефаз,58.7903,25,7.98,0.00,4.98,0.14,8.08,0.22,8.08,0,2.93,62.43,5.28,1.38,-1.15,2.90,37.75,61.11,153.33
ГК ПИК,11731.8000,60,6.22,-5.81,3.85,1.98,9.13,2.64,11.73,2,2.71,62.22,17.04,23.06,-1.59,0.95,-10.80,24.17,123.55
АстрЭнСб,12.9258,55,7.60,0.00,4.59,0.08,5.06,0.09,5.06,0,0.82,60.41,2.72,6.16,9.41,45.33,47.72,41.20,60.29
Северсталь,18271.0324,15,7.58,9.01,4.52,2.09,4.75,2.27,6.19,4,0.56,59.74,27.60,41.76,-0.30,3.16,-3.77,-5.05,59.78
Северсталь,18271.0324,15,7.58,9.01,4.52,2.09,4.75,2.27,6.19,4,0.56,59.74,27.60,41.76,-0.63,4.63,-2.81,-1.51,72.48
