date,pr_gema,pr_abrd,pr_alrs,pr_afks,pr_aflt,pr_bspb,pr_belu,pr_vtbr,pr_gazp,pr_gche,pr_aqua,pr_irao,pr_iskj,pr_kzos,pr_kmaz,pr_krsb,pr_kazt,pr_mgnt,pr_magn,pr_moex,pr_mstt,pr_mtss,pr_nknc,pr_nlmk,pr_nmtp,pr_nvtk,pr_pmsb,pr_pikk,pr_rosn,pr_mrkp,pr_rtkm,pr_rual,pr_sber,pr_sgzh,pr_phor
2021-08-29,902.5,195.5,145.83,30.97,69.4,74.8,3285.0,0.0524,317.94,2862.0,452.5,4.7905,92.69,115.0,113.5,9.12,386.8,5517.5,76.67,186.39,93.2,329.1,153.5,246.32,8.205,1840.4,159.4,1388.5,555.4,0.2579,95.71,62.4,329.71,8.821,4724.0
2021-09-05,944.5,193.0,149.17,29.4,66.98,74.96,3176.0,0.05195,326.43,2999.5,460.0,4.724,90.27,116.0,106.5,9.05,404.6,5318.5,78.25,186.09,92.85,330.35,156.45,231.24,8.46,1913.0,156.4,1446.1,543.3,0.2735,93.2,72.13,326.25,8.681,4825.0
2021-09-12,924.5,193.0,143.8,29.08,66.8,77.26,3347.0,0.0514,334.5,3394.5,467.0,4.651,89.71,113.3,106.5,9.05,382.0,5727.5,74.07,182.08,91.8,330.35,145.1,221.1,8.35,1850.0,156.1,1484.8,567.1,0.2746,92.68,72.295,329.56,8.78,4937.0
2021-09-19,987.0,192.5,139.74,28.3,69.1,73.9,3422.0,0.050925,344.29,3089.0,463.0,4.588,88.55,108.0,106.1,9.01,414.2,5944.5,73.14,179.37,90.45,331.75,134.5,224.5,7.905,1884.6,157.0,1444.0,614.0,0.2612,92.38,73.195,325.44,8.683,5048.0
2021-09-26,,193.0,138.01,27.19,70.0,76.51,3316.0,0.051485,363.25,2962.0,503.5,4.758,89.09,98.9,102.7,9.02,393.8,6014.0,69.68,170.96,89.85,328.85,132.7,212.5,7.84,1931.8,154.2,1278.0,618.45,0.2583,89.99,71.45,338.48,8.696,5115.0
2021-10-03,959.5,194.0,138.48,27.94,70.98,81.77,3375.0,0.054595,366.17,3225.5,570.5,4.9725,88.38,108.4,100.0,8.9,407.0,6300.0,71.44,174.9,90.1,328.9,139.5,221.9,7.625,1906.4,179.7,1312.5,631.0,0.2612,91.62,74.31,373.01,9.481,5737.0
2021-10-10,917.0,196.5,137.95,28.31,69.68,85.37,3518.0,0.0556,367.76,3292.0,550.0,5.0485,88.0,107.3,113.3,9.59,377.6,6270.5,68.41,185.72,94.75,318.8,132.45,211.56,8.08,1905.6,169.0,1275.0,645.45,0.2787,93.42,83.41,371.82,10.75,5932.0
2021-10-17,910.0,212.5,127.6,27.91,67.9,86.57,3820.0,0.0544,358.12,3340.0,548.5,4.958,85.76,102.4,121.6,9.22,400.0,6315.5,70.21,171.0,93.35,316.25,128.95,225.48,7.955,1836.6,165.7,1197.0,634.5,0.2701,94.84,77.58,364.37,10.75,5702.0
2021-10-24,894.0,203.5,125.21,27.08,68.48,90.85,3950.0,0.05273,350.18,3543.5,546.0,4.776,82.2,96.6,116.5,9.25,400.0,6472.0,65.93,173.35,92.45,311.35,127.5,223.6,7.765,1804.8,166.5,1177.0,636.1,0.2669,93.25,71.705,356.14,9.854,5602.0
2021-10-31,900.0,201.0,128.4,28.13,68.42,93.24,4055.0,0.052815,350.6,3375.5,551.0,4.7425,84.51,98.3,117.9,9.17,395.0,6793.5,63.69,172.97,91.8,313.2,128.55,221.62,7.75,1781.8,162.5,1114.6,626.25,0.2681,92.6,67.9,360.21,10.301,5820.0
2021-11-07,,200.0,131.29,27.41,65.98,90.75,3820.0,0.05029,333.6,3407.0,547.5,4.7385,124.3,98.1,122.9,8.98,373.2,6568.5,63.56,169.64,92.25,317.75,130.55,220.98,7.35,1780.2,158.6,1102.2,619.2,0.2641,92.18,74.01,347.59,10.861,5685.0
2021-11-14,,197.0,130.43,27.0,66.04,89.3,3712.0,0.050495,337.62,3245.5,557.0,4.492,133.16,97.1,117.6,8.72,344.8,6014.0,64.13,161.8,91.5,310.1,121.75,222.56,7.17,1624.0,157.8,1100.9,590.5,0.2615,91.64,70.195,327.56,10.576,5746.0
2021-11-21,985.0,198.0,120.58,25.2,60.98,86.05,3491.0,0.04658,326.0,3030.5,521.0,4.3025,127.95,96.3,110.4,8.66,383.4,5775.5,61.16,150.05,88.15,299.05,119.0,217.34,6.97,1611.2,159.5,1082.2,555.15,0.2465,85.3,69.2,304.42,10.1,5630.0
2021-11-28,,195.5,127.73,24.47,62.26,87.85,3673.0,0.04861,345.99,3014.5,509.0,4.4375,114.51,95.7,107.0,8.8,362.0,5715.5,62.45,157.8,88.95,295.1,115.45,219.4,7.05,1715.0,158.0,1117.0,576.55,0.2471,85.6,68.62,320.66,10.679,5537.0
2021-12-05,961.0,195.0,122.62,22.83,60.2,82.2,3311.0,0.045935,332.0,2702.0,530.0,4.3715,116.63,97.3,103.8,8.4,359.6,5822.5,64.2,152.53,89.45,287.05,114.55,212.2,6.975,1676.6,162.8,1176.3,572.1,0.2468,87.04,70.05,297.44,10.8,5595.0
2021-12-12,946.5,194.0,114.77,23.25,60.04,82.5,3373.0,0.046905,327.3,2980.0,548.5,4.253,121.52,97.0,106.4,8.4,378.8,5674.5,64.86,147.48,85.85,289.4,103.55,210.7,6.9,1666.2,159.4,1067.3,573.2,0.2382,85.0,68.095,294.9,10.67,5682.0
2021-12-19,952.5,195.5,115.3,22.33,58.96,82.31,3425.0,0.04709,338.79,2861.5,588.0,4.159,120.6,96.5,106.0,8.28,371.0,5592.5,66.74,149.53,85.2,290.7,111.7,212.4,6.86,1652.6,158.0,1002.6,572.05,0.2361,82.25,70.7,293.89,10.928,5619.0
2021-12-26,999.0,193.5,122.34,23.36,59.16,81.5,3350.0,0.048195,342.39,2944.0,600.5,4.26,114.9,96.6,105.0,8.63,389.0,5444.0,69.65,153.22,83.45,298.9,110.9,217.04,6.75,1719.4,155.0,1102.4,599.0,0.2304,86.63,73.245,293.49,11.09,5863.0
2022-01-02,938.0,193.0,119.33,24.2,62.96,85.05,3353.0,0.048445,346.13,2992.0,590.0,4.2475,114.0,95.4,107.2,8.73,382.0,5535.0,71.17,149.02,85.4,299.2,114.85,213.82,6.835,1749.0,152.9,1142.3,601.6,0.2402,84.24,74.54,293.92,10.622,5735.0
2022-01-09,928.0,191.5,118.61,22.54,59.86,80.68,3381.0,0.04641,335.76,3041.0,577.0,4.296,112.9,93.5,107.1,8.72,371.6,5235.5,66.0,144.27,84.1,289.65,111.7,214.0,6.73,1726.0,153.7,1223.8,605.5,0.2388,78.72,74.0,261.0,10.45,5771.0
2022-01-16,891.5,182.0,107.0,21.45,56.56,81.06,3266.0,0.043935,311.6,2911.0,616.0,4.0425,101.0,84.2,106.3,8.33,346.2,5046.5,62.19,145.98,82.6,273.45,109.6,206.88,6.605,1592.8,152.2,1071.5,564.8,0.2265,74.8,73.55,246.9,9.801,5399.0
2022-01-23,874.0,172.0,110.59,19.99,55.54,77.61,3266.0,0.043395,329.58,2925.5,591.5,3.862,98.76,87.5,105.8,8.3,359.0,4904.0,60.35,144.4,82.95,285.55,110.6,210.72,6.55,1591.4,136.8,910.8,566.5,0.2205,73.0,72.09,257.82,9.999,5480.0
2022-01-30,880.0,171.5,116.34,19.75,56.18,79.76,3154.0,0.04125,324.6,2980.0,570.0,3.825,92.56,88.0,103.6,8.48,368.0,5285.0,59.8,141.09,82.55,283.25,110.0,216.76,6.345,1628.4,131.8,945.0,572.0,0.2186,74.09,71.36,256.53,9.596,5268.0
2022-02-06,904.0,170.5,117.88,19.35,58.3,83.89,3163.0,0.0405,318.1,3034.0,557.0,3.635,103.2,88.5,106.1,8.39,383.0,4971.5,62.3,136.2,81.9,284.8,114.6,221.46,6.3,1556.6,130.8,930.0,547.4,0.223,70.56,79.7,260.83,9.779,5747.0
2022-02-13,905.0,163.0,103.44,18.89,55.7,77.97,2992.0,0.03929,309.48,3012.0,510.0,3.49,101.84,85.9,104.7,8.06,368.0,5041.5,61.49,133.16,81.45,272.85,112.55,226.9,6.17,1492.8,128.5,880.5,519.5,0.215,69.24,80.5,250.28,9.45,5850.0
2022-02-20,718.0,133.5,79.6,12.63,36.74,66.98,2229.0,0.02011,228.0,2815.0,420.0,2.579,74.0,73.9,81.5,5.99,290.0,3202.0,47.67,95.51,76.0,217.5,91.9,177.5,4.135,1134.0,119.8,495.0,307.95,0.159,62.27,60.055,131.12,7.74,5015.0
2022-03-27,757.5,183.5,94.02,13.89,38.8,64.39,2710.0,0.0225,251.4,3240.0,539.5,2.88,84.7,84.8,105.9,7.81,452.0,4220.0,45.6,111.45,84.05,235.0,101.6,173.2,5.0,1390.0,123.8,672.1,450.0,0.1617,66.01,69.5,154.5,9.628,7400.0
2022-04-03,732.0,180.0,82.53,13.21,36.94,62.19,2607.0,0.02236,241.07,3356.0,536.5,2.6955,84.7,79.1,101.3,7.85,448.0,4335.0,42.88,102.29,81.55,215.2,93.45,161.14,4.87,1200.6,123.1,600.0,403.05,0.1658,64.41,68.75,143.72,8.97,6960.0
2022-04-10,712.0,173.0,78.99,12.67,32.96,60.75,2492.0,0.020125,224.0,3165.0,484.0,2.55,76.5,74.3,100.1,8.99,422.0,4070.5,39.8,93.65,79.2,207.35,87.25,155.22,5.22,1056.0,147.0,565.5,390.5,0.1587,60.25,66.75,130.88,8.895,6820.0
