"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","250,00","260,50","260,50","237,00","423,96K","-2,72%"
"23.04.2023","257,00","257,50","268,00","253,00","117,07K","0,59%"
"16.04.2023","255,50","254,50","264,50","248,00","558,76K","0,99%"
"09.04.2023","253,00","259,50","282,00","246,00","857,75K","-0,98%"
"02.04.2023","255,50","216,00","283,50","212,50","1,01M","19,11%"
"26.03.2023","214,50","207,00","226,00","205,50","236,94K","3,87%"
"19.03.2023","206,50","206,00","210,00","203,50","561,79K","0,49%"
"12.03.2023","205,50","208,00","211,00","204,00","618,33K","0,24%"
"05.03.2023","205,00","204,50","212,00","203,50","1,32M","1,23%"
"26.02.2023","202,50","201,00","207,00","198,00","875,78K","0,75%"
"19.02.2023","201,00","195,50","216,00","194,50","2,48M","3,08%"
"12.02.2023","195,00","206,00","209,00","195,00","1,07M","-4,65%"
"05.02.2023","204,50","201,50","213,00","200,00","2,78M","1,49%"
"29.01.2023","201,50","196,00","219,00","196,00","2,12M","2,81%"
"22.01.2023","196,00","195,50","199,50","192,00","415,03K","0,51%"
"15.01.2023","195,00","196,50","205,50","189,00","970,96K","-0,26%"
"08.01.2023","195,50","193,00","205,00","192,00","599,22K","1,82%"
"01.01.2023","192,00","191,50","197,00","190,00","321,76K","1,05%"
"25.12.2022","190,00","192,00","205,00","189,00","1,23M","-0,78%"
"18.12.2022","191,50","185,50","207,00","182,50","861,68K","3,51%"
"11.12.2022","185,00","188,50","194,00","181,50","341,29K","-1,33%"
"04.12.2022","187,50","191,50","198,00","185,00","582,19K","0,00%"
"27.11.2022","187,50","180,00","218,00","179,00","2,41M","4,46%"
"20.11.2022","179,50","180,50","182,00","178,50","123,71K","-0,55%"
"13.11.2022","180,50","181,00","186,00","180,00","167,35K","0,28%"
"06.11.2022","180,00","181,00","185,00","177,00","148,33K","0,56%"
"30.10.2022","179,00","180,00","182,00","178,00","57,22K","-0,56%"
"23.10.2022","180,00","180,50","184,00","176,00","163,42K","0,00%"
"16.10.2022","180,00","173,50","186,00","172,00","277,14K","4,35%"
"09.10.2022","172,50","162,00","177,50","161,50","185,02K","3,60%"
"02.10.2022","166,50","166,00","176,50","162,50","231,79K","2,46%"
"25.09.2022","162,50","168,00","177,00","150,00","393,66K","-2,69%"
"18.09.2022","167,00","193,00","215,00","151,50","830,62K","-12,79%"
"11.09.2022","191,50","192,50","199,50","185,00","344,17K","-0,52%"
"04.09.2022","192,50","195,00","198,00","189,00","231,77K","-1,03%"
"28.08.2022","194,50","191,50","198,50","185,00","334,17K","6,87%"
"21.08.2022","182,00","182,00","186,00","178,00","83,58K","0,00%"
"14.08.2022","182,00","173,00","190,50","173,00","411,84K","4,90%"
"07.08.2022","173,50","173,50","174,00","172,00","72,26K","0,87%"
"31.07.2022","172,00","172,50","179,50","172,00","160,97K","-0,86%"
"24.07.2022","173,50","172,50","176,00","172,00","73,48K","0,87%"
"17.07.2022","172,00","174,00","176,50","171,50","80,18K","-0,86%"
"10.07.2022","173,50","174,50","184,50","171,00","195,93K","-0,86%"
"03.07.2022","175,00","172,50","178,50","170,00","115,18K","2,04%"
"26.06.2022","171,50","175,00","178,50","169,50","128,44K","-1,15%"
"19.06.2022","173,50","169,00","187,00","169,00","368,19K","2,36%"
"12.06.2022","169,50","168,50","173,00","167,00","87,95K","0,89%"
"05.06.2022","168,00","168,50","171,00","167,00","82,84K","-0,30%"
"29.05.2022","168,50","173,00","176,00","168,50","85,20K","-2,32%"
