"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","14,83","15,97","16,24","14,66","48,72M","-6,09%"
"23.04.2023","15,79","14,91","16,14","14,80","44,20M","5,90%"
"16.04.2023","14,91","14,85","15,12","14,59","19,28M","0,76%"
"09.04.2023","14,80","14,90","15,24","14,37","27,63M","0,14%"
"02.04.2023","14,78","14,87","15,00","14,48","14,52M","-0,06%"
"26.03.2023","14,79","14,33","14,80","14,12","46,86M","3,21%"
"19.03.2023","14,33","13,33","14,40","13,21","235,82M","8,08%"
"12.03.2023","13,26","13,28","13,50","12,96","89,04M","-0,15%"
"05.03.2023","13,28","13,32","13,52","13,22","59,02M","0,21%"
"26.02.2023","13,25","12,70","13,31","12,66","102,28M","3,43%"
"19.02.2023","12,81","12,51","13,04","12,28","73,78M","2,46%"
"12.02.2023","12,50","13,46","13,62","12,25","147,55M","-6,79%"
"05.02.2023","13,41","13,27","13,98","13,10","181,42M","2,63%"
"29.01.2023","13,07","12,41","13,13","12,35","130,81M","5,77%"
"22.01.2023","12,35","12,30","12,49","11,80","102,75M","1,04%"
"15.01.2023","12,23","12,67","12,86","12,06","118,37M","-2,71%"
"08.01.2023","12,57","12,08","12,60","11,75","131,76M","4,40%"
"01.01.2023","12,04","11,94","12,29","11,94","23,72M","0,85%"
"25.12.2022","11,94","12,03","12,14","11,81","58,37M","-0,86%"
"18.12.2022","12,04","11,96","12,36","11,56","74,73M","0,59%"
"11.12.2022","11,97","12,43","12,48","11,83","60,78M","-3,84%"
"04.12.2022","12,45","12,59","12,82","12,20","74,30M","-0,70%"
"27.11.2022","12,53","12,50","12,69","12,16","51,49M","-0,21%"
"20.11.2022","12,56","12,70","12,87","12,44","74,71M","-1,36%"
"13.11.2022","12,73","13,06","13,12","12,06","78,85M","-2,20%"
"06.11.2022","13,02","12,68","13,27","12,56","145,38M","4,55%"
"30.10.2022","12,45","12,73","12,89","12,00","61,17M","-1,91%"
"23.10.2022","12,70","11,93","12,88","11,66","144,21M","7,14%"
"16.10.2022","11,85","11,09","11,92","10,99","124,09M","7,83%"
"09.10.2022","10,99","10,00","11,10","9,52","100,24M","8,38%"
"02.10.2022","10,14","10,67","11,45","10,14","146,85M","-5,05%"
"25.09.2022","10,68","11,47","11,56","9,90","241,41M","-9,18%"
"18.09.2022","11,76","14,80","14,99","11,37","215,60M","-20,71%"
"11.09.2022","14,83","15,00","15,27","14,54","99,45M","-1,19%"
"04.09.2022","15,01","14,70","15,44","14,50","186,16M","2,46%"
