"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","37,12","40,47","41,14","36,80","65,22M","-7,75%"
"23.04.2023","40,24","38,95","40,71","37,52","42,13M","3,26%"
"16.04.2023","38,97","34,90","39,90","34,90","44,27M","12,47%"
"09.04.2023","34,65","32,90","35,26","32,90","8,95M","5,67%"
"02.04.2023","32,79","31,50","32,94","31,34","9,71M","3,60%"
"26.03.2023","31,65","29,83","33,83","29,75","66,98M","6,89%"
"19.03.2023","29,61","28,50","29,88","28,48","61,54M","4,08%"
"12.03.2023","28,45","28,27","28,73","27,96","30,72M","0,64%"
"05.03.2023","28,27","28,24","28,77","28,18","20,63M","0,39%"
"26.02.2023","28,16","28,00","28,50","27,86","33,48M","0,00%"
"19.02.2023","28,16","27,64","28,25","26,99","30,40M","2,25%"
"12.02.2023","27,54","28,94","28,96","26,15","61,36M","-4,44%"
"05.02.2023","28,82","27,80","29,93","27,80","73,46M","3,48%"
"29.01.2023","27,85","27,86","28,89","27,20","73,60M","0,54%"
"22.01.2023","27,70","27,86","28,14","27,00","32,99M","-0,36%"
"15.01.2023","27,80","27,80","29,12","26,70","83,41M","0,43%"
"08.01.2023","27,68","25,50","28,18","25,50","68,30M","8,72%"
"01.01.2023","25,46","24,74","25,90","24,60","20,34M","3,50%"
"25.12.2022","24,60","24,28","24,72","24,12","21,26M","1,57%"
"18.12.2022","24,22","24,18","24,50","23,70","21,78M","-0,08%"
"11.12.2022","24,24","24,70","24,80","23,84","13,22M","-1,86%"
"04.12.2022","24,70","24,78","25,28","24,50","17,86M","-0,48%"
"27.11.2022","24,82","24,88","25,08","24,56","13,15M","-0,64%"
"20.11.2022","24,98","25,16","25,46","24,72","14,29M","-0,72%"
"13.11.2022","25,16","25,80","25,80","23,88","25,90M","-1,80%"
"06.11.2022","25,62","25,84","26,34","24,50","27,11M","-0,08%"
"30.10.2022","25,64","25,62","26,30","25,04","20,62M","0,47%"
"23.10.2022","25,52","24,50","25,88","24,40","29,85M","4,50%"
"16.10.2022","24,42","23,48","24,48","23,40","25,77M","4,00%"
"09.10.2022","23,48","21,90","23,90","21,44","20,78M","4,63%"
"02.10.2022","22,44","23,26","24,44","22,20","36,11M","-3,03%"
"25.09.2022","23,14","25,60","25,78","21,60","67,14M","-11,27%"
"18.09.2022","26,08","29,12","29,38","24,78","68,96M","-10,62%"
"11.09.2022","29,18","30,52","31,04","28,76","44,78M","-4,64%"
"04.09.2022","30,60","31,10","32,22","29,18","78,85M","-1,16%"
"28.08.2022","30,96","28,40","31,10","28,18","94,66M","9,63%"
"21.08.2022","28,24","27,00","28,36","26,88","34,86M","5,06%"
"14.08.2022","26,88","27,18","27,44","26,80","12,52M","-0,96%"
"07.08.2022","27,14","26,60","27,48","26,30","28,41M","3,75%"
"31.07.2022","26,16","27,80","27,80","25,86","24,11M","-5,56%"
"24.07.2022","27,70","27,66","28,38","27,00","47,76M","1,47%"
"17.07.2022","27,30","27,12","28,46","26,14","37,21M","0,89%"
"10.07.2022","27,06","27,64","27,90","26,40","21,58M","-1,96%"
"03.07.2022","27,60","26,80","28,48","26,54","31,19M","3,22%"
"26.06.2022","26,74","26,80","29,48","26,02","59,90M","-0,30%"
"19.06.2022","26,82","27,60","28,58","26,24","42,09M","-2,54%"
"12.06.2022","27,52","26,30","28,00","25,86","35,64M","4,64%"
"05.06.2022","26,30","26,74","28,30","25,24","52,01M","-1,65%"
"29.05.2022","26,74","28,74","29,20","25,70","27,73M","-6,31%"
"22.05.2022","28,54","29,40","30,00","27,60","32,87M","-2,66%"
"15.05.2022","29,32","29,28","31,30","29,00","33,06M","0,21%"
"08.05.2022","29,26","30,00","30,54","29,08","9,94M","-2,79%"
"01.05.2022","30,10","32,12","32,68","30,04","21,08M","-3,34%"
"24.04.2022","31,14","30,50","34,20","28,66","47,09M","1,70%"
"17.04.2022","30,62","33,00","34,00","27,94","49,08M","-7,10%"
"10.04.2022","32,96","36,92","37,22","32,20","33,90M","-10,77%"
"03.04.2022","36,94","39,52","42,66","35,50","96,61M","-4,79%"
"27.03.2022","38,80","25,76","40,00","23,72","166,57M","54,58%"
"20.03.2022","25,10","33,08","36,00","25,10","71,54M","-31,68%"
"27.02.2022","36,74","36,74","36,74","36,74","","0,00%"
"20.02.2022","36,74","55,70","56,88","29,06","236,62M","-34,04%"
"13.02.2022","55,70","57,52","60,84","55,20","83,10M","-4,46%"
"06.02.2022","58,30","56,34","61,78","55,74","93,02M","3,77%"
"30.01.2022","56,18","55,54","58,48","55,04","65,44M","1,15%"
"23.01.2022","55,54","56,00","57,20","50,04","144,86M","-1,80%"
"16.01.2022","56,56","60,00","60,28","51,68","146,35M","-5,51%"
"09.01.2022","59,86","62,98","63,90","58,70","67,68M","-4,92%"
"02.01.2022","62,96","59,16","63,50","59,10","52,39M","6,42%"
"26.12.2021","59,16","59,04","59,42","58,56","28,56M","0,34%"
"19.12.2021","58,96","59,86","59,96","58,50","42,07M","-1,80%"
"12.12.2021","60,04","60,44","60,90","58,00","71,25M","-0,27%"
"05.12.2021","60,20","62,26","63,18","59,82","46,80M","-3,31%"
"28.11.2021","62,26","61,80","64,76","59,22","76,93M","2,10%"
"21.11.2021","60,98","66,20","66,52","59,88","81,31M","-7,66%"
"14.11.2021","66,04","66,00","68,06","65,22","44,73M","0,09%"
"07.11.2021","65,98","68,48","69,40","65,10","64,45M","-3,57%"
"31.10.2021","68,42","68,48","68,82","67,14","20,08M","-0,09%"
"24.10.2021","68,48","67,12","69,38","67,12","37,84M","0,85%"
"17.10.2021","67,90","69,60","70,10","67,12","37,05M","-2,55%"
"10.10.2021","69,68","71,00","71,20","69,50","29,79M","-1,83%"
"03.10.2021","70,98","70,38","72,04","69,02","67,89M","1,40%"
"26.09.2021","70,00","69,10","72,00","68,20","95,93M","1,30%"
"19.09.2021","69,10","66,80","69,36","65,84","50,24M","3,44%"
"12.09.2021","66,80","67,12","67,64","66,28","29,61M","-0,27%"
"05.09.2021","66,98","69,50","69,72","66,50","48,28M","-3,49%"
"29.08.2021","69,40","68,66","70,38","68,66","51,78M","1,11%"
