"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","64,79","67,95","68,20","64,67","6,60M","-4,37%"
"23.04.2023","67,75","68,00","69,09","66,86","11,71M","-0,62%"
"16.04.2023","68,17","66,57","68,78","65,71","18,95M","2,67%"
"09.04.2023","66,40","66,80","68,71","65,40","6,56M","-0,36%"
"02.04.2023","66,64","66,92","67,77","65,30","12,64M","0,99%"
"26.03.2023","65,99","63,70","67,17","63,70","21,86M","3,86%"
"19.03.2023","63,54","60,90","65,80","60,85","102,76M","4,51%"
"12.03.2023","60,80","61,63","62,18","59,88","42,24M","-1,22%"
"05.03.2023","61,55","62,29","62,82","61,00","28,65M","-1,01%"
"26.02.2023","62,18","59,10","62,30","59,01","65,08M","4,70%"
"19.02.2023","59,39","59,66","60,80","58,25","60,44M","0,00%"
"12.02.2023","59,39","61,82","62,19","58,12","48,21M","-3,93%"
"05.02.2023","61,82","61,98","63,41","61,30","49,87M","0,16%"
"29.01.2023","61,72","61,20","62,48","60,85","53,56M","1,55%"
"22.01.2023","60,78","60,49","61,88","60,09","56,20M","1,03%"
"15.01.2023","60,16","60,20","63,68","59,80","121,79M","0,12%"
"08.01.2023","60,09","59,09","60,86","58,75","41,43M","2,14%"
"01.01.2023","58,83","58,83","59,53","58,58","12,34M","0,02%"
"25.12.2022","58,82","59,22","59,67","58,00","43,81M","-0,64%"
"18.12.2022","59,20","60,90","60,98","58,84","48,75M","-2,79%"
"11.12.2022","60,90","60,86","61,68","59,87","49,02M","-1,01%"
"04.12.2022","61,52","64,20","65,47","60,77","54,10M","-4,11%"
"27.11.2022","64,16","65,15","65,26","63,93","26,25M","-1,72%"
"20.11.2022","65,28","66,50","66,52","65,00","26,42M","-1,83%"
"13.11.2022","66,50","68,60","69,70","64,71","39,07M","-3,08%"
"06.11.2022","68,61","65,80","69,24","64,51","67,37M","4,89%"
"30.10.2022","65,41","66,56","67,20","63,50","25,02M","-1,49%"
"23.10.2022","66,40","66,41","67,70","65,00","62,70M","0,84%"
"16.10.2022","65,85","66,80","69,76","64,50","46,95M","-1,32%"
"09.10.2022","66,73","60,70","69,00","60,45","39,23M","4,54%"
"02.10.2022","63,83","60,00","70,02","59,80","93,65M","6,40%"
"25.09.2022","59,99","63,10","64,60","56,76","55,52M","-8,59%"
"18.09.2022","65,63","77,83","78,40","65,10","62,32M","-15,64%"
"11.09.2022","77,80","74,90","79,60","74,42","61,79M","3,47%"
"04.09.2022","75,19","74,50","76,64","71,22","44,40M","1,31%"
"28.08.2022","74,22","71,99","74,28","70,56","31,77M","3,08%"
"21.08.2022","72,00","66,88","72,74","65,55","43,23M","7,83%"
"14.08.2022","66,77","64,55","68,00","63,51","28,28M","3,44%"
"07.08.2022","64,55","63,64","64,99","61,16","20,53M","5,46%"
"31.07.2022","61,21","64,50","65,33","60,11","44,34M","-5,10%"
"24.07.2022","64,50","62,86","65,47","61,75","22,28M","2,63%"
"17.07.2022","62,85","63,51","63,72","59,25","22,64M","-1,43%"
"10.07.2022","63,76","66,83","66,84","61,52","23,11M","-4,61%"
"03.07.2022","66,84","66,18","66,84","63,00","37,17M","0,91%"
"26.06.2022","66,24","71,50","74,75","65,90","48,42M","-7,04%"
"19.06.2022","71,26","68,00","71,60","66,66","27,67M","4,95%"
"12.06.2022","67,90","67,40","68,54","65,81","18,59M","-0,18%"
"05.06.2022","68,02","70,10","71,85","65,00","52,02M","-2,99%"
"29.05.2022","70,12","73,90","75,64","68,09","27,45M","-5,08%"
"22.05.2022","73,87","74,80","74,95","68,22","31,53M","-0,18%"
"15.05.2022","74,00","74,56","78,90","73,33","34,43M","-0,56%"
"08.05.2022","74,42","77,95","78,31","74,42","10,55M","-3,68%"
"01.05.2022","77,26","80,53","81,49","76,24","10,82M","-3,82%"
"24.04.2022","80,33","81,00","84,65","78,54","28,71M","0,27%"
"17.04.2022","80,11","78,96","81,39","74,20","26,42M","1,42%"
"10.04.2022","78,99","82,88","84,40","73,62","46,55M","-4,29%"
"03.04.2022","82,53","94,90","96,35","81,00","74,66M","-12,22%"
"27.03.2022","94,02","89,79","97,90","82,00","44,18M","4,49%"
"20.03.2022","89,98","82,00","99,80","82,00","28,73M","12,38%"
"27.02.2022","80,07","80,07","80,07","80,07","","0,59%"
"20.02.2022","79,60","103,44","106,89","55,70","470,92M","-23,05%"
"13.02.2022","103,44","117,00","120,62","102,63","268,12M","-12,25%"
"06.02.2022","117,88","116,45","124,32","113,66","122,20M","1,32%"
"30.01.2022","116,34","110,59","118,10","110,59","141,70M","5,20%"
"23.01.2022","110,59","106,20","110,60","96,52","203,42M","3,36%"
"16.01.2022","107,00","118,58","119,55","102,26","234,09M","-9,79%"
"09.01.2022","118,61","119,20","122,20","113,47","139,62M","-0,60%"
"02.01.2022","119,33","122,46","124,32","115,04","58,00M","-2,46%"
"26.12.2021","122,34","115,50","123,60","114,99","68,20M","6,11%"
"19.12.2021","115,30","112,50","115,60","111,31","83,94M","0,46%"
"12.12.2021","114,77","122,78","124,20","107,45","176,93M","-6,40%"
"05.12.2021","122,62","127,73","128,73","121,52","89,19M","-4,00%"
"28.11.2021","127,73","122,98","130,85","121,40","150,61M","5,93%"
"21.11.2021","120,58","130,50","131,87","120,20","126,41M","-7,55%"
"14.11.2021","130,43","131,30","135,69","128,60","132,46M","-0,66%"
"07.11.2021","131,29","128,50","135,97","128,50","152,12M","2,25%"
"31.10.2021","128,40","125,30","133,13","123,20","104,99M","2,55%"
"24.10.2021","125,21","128,18","132,00","124,47","125,61M","-1,87%"
"17.10.2021","127,60","129,90","132,96","127,02","173,44M","-7,50%"
"10.10.2021","137,95","139,12","143,90","136,71","224,46M","-0,38%"
"03.10.2021","138,48","138,95","139,34","127,45","192,19M","0,34%"
"26.09.2021","138,01","140,00","141,60","132,00","103,86M","-1,24%"
"19.09.2021","139,74","140,61","142,95","136,38","102,77M","-2,82%"
"12.09.2021","143,80","149,89","153,73","142,50","100,64M","-3,60%"
"05.09.2021","149,17","145,50","150,98","144,41","87,21M","2,29%"
"29.08.2021","145,83","134,50","147,00","133,65","139,85M","8,34%"
