"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","569,50","599,50","602,00","556,00","82,29K","-4,92%"
"23.04.2023","599,00","606,50","610,00","590,00","108,80K","-1,24%"
"16.04.2023","606,50","607,50","615,00","602,50","38,89K","0,33%"
"09.04.2023","604,50","622,50","626,50","601,00","42,68K","-2,89%"
"02.04.2023","622,50","613,00","648,00","607,50","223,78K","2,22%"
"26.03.2023","609,00","616,00","622,50","608,00","102,20K","-0,08%"
"19.03.2023","609,50","614,00","624,00","603,50","479,47K","-0,41%"
"12.03.2023","612,00","625,00","664,00","608,50","507,33K","-1,61%"
"05.03.2023","622,00","623,50","626,50","603,00","106,99K","0,89%"
"26.02.2023","616,50","608,00","624,50","603,50","122,96K","1,23%"
"19.02.2023","609,00","601,00","612,50","594,00","100,44K","1,67%"
"12.02.2023","599,00","615,00","630,00","588,00","183,64K","-2,60%"
"05.02.2023","615,00","613,50","628,00","608,50","116,90K","0,57%"
"29.01.2023","611,50","605,50","632,00","603,50","281,34K","1,58%"
"22.01.2023","602,00","593,00","609,00","592,00","92,48K","1,09%"
"15.01.2023","595,50","607,50","612,00","594,50","62,93K","-2,14%"
"08.01.2023","608,50","604,50","628,00","603,00","114,12K","0,91%"
"01.01.2023","603,00","596,00","614,00","596,00","42,48K","1,34%"
"25.12.2022","595,00","600,50","607,50","593,00","76,88K","-0,67%"
"18.12.2022","599,00","600,50","613,00","575,00","106,98K","-0,75%"
"11.12.2022","603,50","618,00","627,50","593,00","134,39K","-1,95%"
"04.12.2022","615,50","629,50","641,50","602,00","148,99K","-1,68%"
"27.11.2022","626,00","635,50","638,50","610,00","119,96K","-1,03%"
"20.11.2022","632,50","600,50","645,00","594,00","227,54K","5,33%"
"13.11.2022","600,50","597,00","615,00","589,00","103,76K","0,67%"
"06.11.2022","596,50","610,00","622,00","572,00","145,05K","-0,17%"
"30.10.2022","597,50","594,00","630,00","588,00","420,82K","2,66%"
"23.10.2022","582,00","525,50","584,00","525,50","384,65K","10,54%"
"16.10.2022","526,50","557,50","560,50","515,50","258,76K","-3,92%"
"09.10.2022","548,00","517,00","564,50","504,00","182,45K","3,79%"
"02.10.2022","528,00","524,50","571,50","516,50","181,21K","4,55%"
"25.09.2022","505,00","577,00","606,50","485,50","235,22K","-12,63%"
"18.09.2022","578,00","680,00","683,50","486,00","449,03K","-14,81%"
"11.09.2022","678,50","624,00","725,00","620,00","406,79K","6,51%"
"04.09.2022","637,00","638,00","687,00","615,00","425,89K","0,24%"
"28.08.2022","635,50","606,50","639,50","602,50","272,67K","5,39%"
"21.08.2022","603,00","601,50","614,00","594,00","100,47K","0,75%"
"14.08.2022","598,50","571,50","618,00","570,50","224,80K","4,82%"
"07.08.2022","571,00","532,50","620,00","522,50","419,13K","8,87%"
"31.07.2022","524,50","523,00","526,00","510,00","61,03K","0,48%"
"24.07.2022","522,00","526,50","541,50","505,00","107,32K","0,19%"
"17.07.2022","521,00","506,50","550,00","502,00","204,16K","3,58%"
"10.07.2022","503,00","507,00","516,50","490,50","55,80K","-2,24%"
"03.07.2022","514,50","501,00","525,00","468,00","106,70K","2,90%"
"26.06.2022","500,00","496,00","545,00","492,50","235,54K","0,60%"
"19.06.2022","497,00","486,00","519,00","481,50","111,64K","2,69%"
"12.06.2022","484,00","493,50","499,00","471,50","47,02K","0,00%"
"05.06.2022","484,00","489,50","514,50","471,50","122,59K","-1,02%"
"29.05.2022","489,00","470,00","555,00","453,00","392,48K","4,94%"
"22.05.2022","466,00","424,50","470,00","416,00","96,23K","9,52%"
"15.05.2022","425,50","432,00","437,00","411,00","70,46K","-0,35%"
"08.05.2022","427,00","425,00","441,50","414,00","34,09K","0,47%"
"01.05.2022","425,00","441,50","441,50","412,00","42,20K","-3,19%"
"24.04.2022","439,00","410,00","459,00","404,00","84,34K","3,66%"
"17.04.2022","423,50","483,50","483,50","408,00","140,33K","-12,50%"
"10.04.2022","484,00","535,00","535,00","469,00","82,29K","-9,79%"
"03.04.2022","536,50","547,50","565,00","486,50","165,75K","-0,56%"
"27.03.2022","539,50","449,00","600,00","410,00","243,73K","27,69%"
"27.02.2022","422,50","422,50","422,50","422,50","","0,60%"
"20.02.2022","420,00","520,00","534,00","291,00","323,75K","-17,65%"
"13.02.2022","510,00","553,50","572,50","509,00","96,26K","-8,44%"
"06.02.2022","557,00","573,00","582,50","550,50","126,49K","-2,28%"
"30.01.2022","570,00","594,00","618,00","551,50","142,09K","-3,63%"
"23.01.2022","591,50","615,00","621,50","577,50","145,22K","-3,98%"
"16.01.2022","616,00","570,00","649,50","560,50","324,01K","6,76%"
"09.01.2022","577,00","588,00","620,00","565,00","222,82K","-2,20%"
"02.01.2022","590,00","593,50","610,00","552,00","64,15K","-1,75%"
"26.12.2021","600,50","588,00","605,00","560,50","110,72K","2,13%"
"19.12.2021","588,00","538,50","588,00","532,00","137,47K","7,20%"
"12.12.2021","548,50","531,00","564,50","493,00","183,61K","3,49%"
"05.12.2021","530,00","509,00","555,00","473,00","257,68K","4,13%"
"28.11.2021","509,00","538,50","543,00","509,00","139,26K","-2,30%"
"21.11.2021","521,00","565,00","565,00","514,00","137,84K","-6,46%"
"14.11.2021","557,00","552,50","579,00","545,00","119,70K","1,74%"
"07.11.2021","547,50","549,50","578,50","541,00","106,61K","-0,64%"
"31.10.2021","551,00","545,00","559,50","462,50","149,43K","0,92%"
"24.10.2021","546,00","554,00","567,00","530,00","88,69K","-0,46%"
"17.10.2021","548,50","550,00","593,50","545,50","127,74K","-0,27%"
"10.10.2021","550,00","575,00","598,00","540,50","248,81K","-3,59%"
"03.10.2021","570,50","504,00","685,00","497,50","1,07M","13,31%"
"26.09.2021","503,50","462,00","514,50","455,50","235,03K","8,75%"
"19.09.2021","463,00","470,50","484,00","446,00","110,80K","-0,86%"
"12.09.2021","467,00","462,00","474,50","456,00","100,25K","1,52%"
"05.09.2021","460,00","452,50","469,00","444,00","131,34K","1,66%"
"29.08.2021","452,50","465,00","492,00","447,00","233,44K","-2,69%"
