"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","3.983,00","4.170,00","4.170,00","3.757,00","85,33K","-4,53%"
"23.04.2023","4.172,00","4.598,00","4.722,00","4.119,00","170,51K","-9,26%"
"16.04.2023","4.598,00","4.700,00","4.700,00","4.425,00","89,55K","2,43%"
"09.04.2023","4.489,00","4.461,00","4.509,00","4.128,00","81,98K","1,33%"
"02.04.2023","4.430,00","4.044,00","4.533,00","4.041,00","60,12K","9,73%"
"26.03.2023","4.037,00","3.904,00","4.083,00","3.903,00","65,41K","3,67%"
"19.03.2023","3.894,00","3.580,00","3.968,00","3.575,00","571,80K","9,17%"
"12.03.2023","3.567,00","3.689,00","3.690,00","3.500,00","870,63K","5,50%"
"05.03.2023","3.381,00","3.026,00","3.550,00","3.026,00","1,16M","12,25%"
"26.02.2023","3.012,00","2.884,00","3.045,00","2.864,00","200,66K","4,37%"
"19.02.2023","2.886,00","2.840,00","2.891,00","2.758,00","69,90K","2,34%"
"12.02.2023","2.820,00","2.936,00","3.010,00","2.807,00","164,63K","-3,75%"
"05.02.2023","2.930,00","2.864,00","2.970,00","2.853,00","148,90K","2,95%"
"29.01.2023","2.846,00","2.840,00","2.895,00","2.830,00","89,74K","0,74%"
"22.01.2023","2.825,00","2.811,00","2.849,00","2.801,00","89,20K","0,82%"
"15.01.2023","2.802,00","2.895,00","2.911,00","2.800,00","226,61K","-2,67%"
"08.01.2023","2.879,00","2.837,00","2.935,00","2.833,00","195,52K","1,44%"
"01.01.2023","2.838,00","2.785,00","2.860,00","2.770,00","47,88K","2,53%"
"25.12.2022","2.768,00","2.748,00","2.800,00","2.685,00","92,12K","1,32%"
"18.12.2022","2.732,00","2.730,00","2.790,00","2.669,00","89,92K","0,18%"
"11.12.2022","2.727,00","2.830,00","2.840,00","2.669,00","81,98K","-3,50%"
"04.12.2022","2.826,00","2.945,00","2.992,00","2.799,00","282,46K","-1,02%"
"27.11.2022","2.855,00","2.753,00","2.861,00","2.750,00","164,23K","3,93%"
"20.11.2022","2.747,00","2.786,00","2.800,00","2.714,00","48,55K","-0,87%"
"13.11.2022","2.771,00","2.800,00","2.828,00","2.733,00","49,45K","-0,72%"
"06.11.2022","2.791,00","2.774,00","2.850,00","2.768,00","95,28K","1,16%"
"30.10.2022","2.759,00","2.809,00","2.850,00","2.500,00","71,68K","-1,78%"
"23.10.2022","2.809,00","2.781,00","2.845,00","2.740,00","102,05K","1,19%"
"16.10.2022","2.776,00","2.681,00","2.858,00","2.651,00","218,94K","3,35%"
"09.10.2022","2.686,00","2.600,00","2.770,00","2.523,00","163,24K","-0,15%"
"02.10.2022","2.690,00","2.679,00","2.846,00","2.561,00","316,38K","5,45%"
"25.09.2022","2.551,00","2.599,00","2.749,00","2.400,00","138,33K","-2,93%"
"18.09.2022","2.628,00","3.016,00","3.100,00","2.436,00","208,25K","-12,69%"
"11.09.2022","3.010,00","3.033,00","3.060,00","2.922,00","73,16K","0,37%"
"04.09.2022","2.999,00","3.049,00","3.055,00","2.865,00","95,61K","-1,28%"
"28.08.2022","3.038,00","2.800,00","3.068,00","2.770,00","224,74K","8,19%"
"21.08.2022","2.808,00","2.567,00","2.927,00","2.562,00","218,85K","8,75%"
"14.08.2022","2.582,00","2.500,00","2.704,00","2.491,00","139,28K","4,03%"
"07.08.2022","2.482,00","2.425,00","2.516,00","2.425,00","46,33K","2,14%"
"31.07.2022","2.430,00","2.520,00","2.549,00","2.372,00","68,42K","-2,64%"
"24.07.2022","2.496,00","2.480,00","2.595,00","2.408,00","85,52K","2,55%"
"17.07.2022","2.434,00","2.510,00","2.510,00","2.300,00","57,48K","-1,62%"
"10.07.2022","2.474,00","2.550,00","2.599,00","2.300,00","107,59K","-1,83%"
"03.07.2022","2.520,00","2.334,00","2.560,00","2.284,00","100,44K","8,71%"
"26.06.2022","2.318,00","2.356,00","2.499,00","2.260,00","97,95K","-1,15%"
"19.06.2022","2.345,00","2.274,00","2.393,00","2.250,00","76,00K","2,90%"
"12.06.2022","2.279,00","2.334,00","2.340,00","2.250,00","47,74K","-1,30%"
"05.06.2022","2.309,00","2.305,00","2.427,00","2.280,00","71,24K","1,49%"
"29.05.2022","2.275,00","2.399,00","2.420,00","2.220,00","32,46K","-4,57%"
"22.05.2022","2.384,00","2.500,00","2.507,00","2.304,00","38,22K","-4,22%"
"15.05.2022","2.489,00","2.550,00","2.675,00","2.450,00","77,67K","-1,54%"
"08.05.2022","2.528,00","2.417,00","2.652,00","2.378,00","85,36K","6,22%"
"01.05.2022","2.380,00","2.390,00","2.536,00","2.305,00","61,82K","-0,04%"
"24.04.2022","2.381,00","2.250,00","2.466,00","2.199,00","53,71K","3,88%"
"17.04.2022","2.292,00","2.500,00","2.527,00","2.175,00","54,71K","-8,03%"
"10.04.2022","2.492,00","2.610,00","2.786,00","2.433,00","70,19K","-4,41%"
"03.04.2022","2.607,00","2.800,00","2.900,00","2.501,00","115,44K","-3,80%"
"27.03.2022","2.710,00","2.150,00","2.800,00","1.665,00","217,45K","21,31%"
"27.02.2022","2.234,00","2.234,00","2.234,00","2.234,00","","0,22%"
"20.02.2022","2.229,00","3.020,00","3.059,00","1.690,00","191,14K","-25,50%"
"13.02.2022","2.992,00","3.145,00","3.213,00","2.966,00","80,71K","-5,41%"
"06.02.2022","3.163,00","3.195,00","3.250,00","3.114,00","58,92K","0,29%"
"30.01.2022","3.154,00","3.285,00","3.285,00","3.125,00","69,70K","-3,43%"
"23.01.2022","3.266,00","3.270,00","3.308,00","2.901,00","117,32K","0,00%"
"16.01.2022","3.266,00","3.402,00","3.650,00","3.102,00","190,86K","-3,40%"
"09.01.2022","3.381,00","3.359,00","3.744,00","3.280,00","205,17K","0,84%"
"02.01.2022","3.353,00","3.360,00","3.478,00","3.321,00","51,85K","0,09%"
"26.12.2021","3.350,00","3.410,00","3.453,00","3.317,00","51,03K","-2,19%"
"19.12.2021","3.425,00","3.400,00","3.519,00","3.265,00","73,48K","1,54%"
"12.12.2021","3.373,00","3.398,00","3.540,00","2.967,00","200,54K","1,87%"
"05.12.2021","3.311,00","3.705,00","3.722,00","3.311,00","111,98K","-9,86%"
"28.11.2021","3.673,00","3.575,00","3.820,00","3.400,00","146,82K","5,21%"
"21.11.2021","3.491,00","3.723,00","3.866,00","3.301,00","185,19K","-5,95%"
"14.11.2021","3.712,00","3.823,00","4.046,00","3.689,00","165,81K","-2,83%"
"07.11.2021","3.820,00","4.022,00","4.296,00","3.652,00","388,42K","-5,80%"
"31.10.2021","4.055,00","3.990,00","4.169,00","3.967,00","183,64K","2,66%"
"24.10.2021","3.950,00","3.845,00","4.160,00","3.712,00","518,21K","3,40%"
"17.10.2021","3.820,00","3.519,00","3.950,00","3.378,00","447,57K","8,58%"
"10.10.2021","3.518,00","3.382,00","3.665,00","3.325,00","159,23K","4,24%"
"03.10.2021","3.375,00","3.344,00","3.449,00","3.270,00","98,47K","1,78%"
"26.09.2021","3.316,00","3.448,00","3.489,00","3.202,00","100,17K","-3,10%"
"19.09.2021","3.422,00","3.338,00","3.515,00","3.200,00","192,41K","2,24%"
"12.09.2021","3.347,00","3.133,00","3.395,00","3.133,00","91,88K","5,38%"
"05.09.2021","3.176,00","3.290,00","3.348,00","3.135,00","99,06K","-3,32%"
"29.08.2021","3.285,00","3.360,00","3.426,00","3.033,00","127,39K","-1,50%"
