"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","168,00","178,00","178,88","166,75","3,29M","-4,84%"
"23.04.2023","176,54","165,95","180,00","163,50","3,42M","8,11%"
"16.04.2023","163,30","158,48","167,77","157,17","1,74M","4,32%"
"09.04.2023","156,54","148,50","159,17","144,20","4,88M","5,93%"
"02.04.2023","147,77","150,00","150,00","146,60","1,53M","-0,49%"
"26.03.2023","148,50","156,60","158,27","147,54","1,87M","-4,32%"
"19.03.2023","155,20","125,72","167,28","124,23","42,66M","23,66%"
"12.03.2023","125,51","124,00","131,43","122,30","5,79M","1,37%"
"05.03.2023","123,81","111,30","129,94","111,30","8,98M","11,24%"
"26.02.2023","111,30","105,55","111,99","105,14","2,77M","1,40%"
"19.02.2023","109,76","115,00","118,34","109,20","2,36M","-4,06%"
"12.02.2023","114,41","121,00","122,40","110,16","2,56M","-4,28%"
"05.02.2023","119,53","101,20","134,51","100,61","14,92M","18,85%"
"29.01.2023","100,57","100,27","102,39","95,05","1,51M","0,51%"
"22.01.2023","100,06","101,20","104,21","100,00","1,21M","-0,77%"
"15.01.2023","100,84","101,05","101,55","99,71","1,23M","-0,32%"
"08.01.2023","101,16","101,59","103,80","100,00","1,39M","-0,73%"
"01.01.2023","101,90","99,90","102,84","99,90","596,62K","1,88%"
"25.12.2022","100,02","100,44","101,97","99,04","1,24M","0,53%"
"18.12.2022","99,49","97,70","107,48","96,00","3,10M","1,73%"
"11.12.2022","97,80","95,90","98,82","95,10","756,54K","1,98%"
"04.12.2022","95,90","97,00","100,05","94,47","926,64K","-1,34%"
"27.11.2022","97,20","96,40","100,29","95,50","549,69K","0,97%"
"20.11.2022","96,27","96,30","98,22","95,31","542,06K","-0,24%"
"13.11.2022","96,50","97,14","99,99","95,19","1,19M","0,66%"
"06.11.2022","95,87","96,03","98,40","92,01","1,19M","1,03%"
"30.10.2022","94,89","98,56","99,50","92,60","1,29M","-4,02%"
"23.10.2022","98,86","89,48","102,98","87,23","3,69M","11,97%"
"16.10.2022","88,29","82,30","91,20","82,30","1,12M","7,28%"
"09.10.2022","82,30","75,00","87,00","72,04","1,12M","8,79%"
"02.10.2022","75,65","77,37","83,89","74,04","770,33K","-1,92%"
"25.09.2022","77,13","86,68","86,69","72,32","1,40M","-10,88%"
"18.09.2022","86,55","92,00","94,00","78,34","2,39M","-5,92%"
"11.09.2022","92,00","94,50","96,09","86,60","1,61M","-3,18%"
"04.09.2022","95,02","98,79","98,90","93,00","2,49M","-3,09%"
"28.08.2022","98,05","90,50","100,23","89,22","5,83M","8,46%"
"21.08.2022","90,40","95,31","104,17","87,01","15,47M","-5,04%"
"14.08.2022","95,20","90,12","101,34","89,18","9,37M","5,95%"
"07.08.2022","89,85","86,15","92,35","86,00","2,07M","4,33%"
"31.07.2022","86,12","86,99","87,48","85,34","1,30M","-0,44%"
"24.07.2022","86,50","86,33","88,20","82,01","1,54M","0,95%"
"17.07.2022","85,69","81,50","87,36","80,44","5,22M","8,83%"
"10.07.2022","78,74","70,14","91,85","65,88","3,12M","12,79%"
"03.07.2022","69,81","71,50","72,00","67,28","851,87K","-2,36%"
"26.06.2022","71,50","71,49","78,78","70,00","1,83M","0,21%"
"19.06.2022","71,35","69,10","73,00","67,09","902,04K","3,42%"
"12.06.2022","68,99","66,80","69,80","64,00","689,31K","3,59%"
"05.06.2022","66,60","66,00","68,25","65,31","1,19M","2,12%"
"29.05.2022","65,22","65,00","65,98","63,51","652,31K","0,29%"
"22.05.2022","65,03","63,10","65,99","60,38","995,30K","3,22%"
"15.05.2022","63,00","59,66","67,28","59,25","1,32M","5,60%"
"08.05.2022","59,66","57,90","60,00","57,41","572,29K","3,94%"
"01.05.2022","57,40","57,41","58,48","55,00","725,60K","0,17%"
"24.04.2022","57,30","55,96","63,94","51,85","1,86M","2,69%"
"17.04.2022","55,80","61,19","61,19","54,17","1,06M","-8,15%"
"10.04.2022","60,75","62,19","67,20","60,01","1,68M","-2,32%"
"03.04.2022","62,19","66,00","73,00","60,00","2,19M","-3,42%"
"27.03.2022","64,39","60,30","66,76","50,79","3,20M","-3,87%"
"27.02.2022","66,98","66,98","66,98","66,98","","0,00%"
"20.02.2022","66,98","80,51","82,78","45,00","6,26M","-14,10%"
"13.02.2022","77,97","82,00","87,29","77,31","4,79M","-7,06%"
"06.02.2022","83,89","81,49","87,00","78,23","3,43M","5,18%"
"30.01.2022","79,76","78,00","83,29","77,80","4,37M","2,77%"
"23.01.2022","77,61","80,17","80,90","71,35","3,82M","-4,26%"
