"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","172,09","181,00","181,86","171,35","20,47M","-4,99%"
"23.04.2023","181,13","181,48","185,00","175,56","38,85M","-0,32%"
"16.04.2023","181,72","180,85","185,30","178,64","20,94M","1,24%"
"09.04.2023","179,50","173,82","182,50","173,23","20,38M","3,70%"
"02.04.2023","173,09","170,99","175,92","169,11","17,93M","1,92%"
"26.03.2023","169,83","170,20","173,16","168,14","31,38M","0,47%"
"19.03.2023","169,03","164,40","177,25","164,14","308,04M","3,52%"
"12.03.2023","163,29","160,35","164,41","158,05","125,38M","2,03%"
"05.03.2023","160,04","163,20","164,30","159,51","64,56M","-1,37%"
"26.02.2023","162,27","153,90","164,56","153,50","177,83M","5,22%"
"19.02.2023","154,22","153,62","156,98","151,62","58,34M","0,39%"
"12.02.2023","153,62","159,47","159,47","150,60","88,19M","-3,19%"
"05.02.2023","158,68","160,68","161,76","157,60","96,32M","-1,36%"
"29.01.2023","160,87","159,08","163,96","156,76","121,64M","1,13%"
"22.01.2023","159,08","158,85","160,83","156,71","71,96M","0,14%"
"15.01.2023","158,85","165,10","166,80","158,55","79,39M","-3,47%"
"08.01.2023","164,56","162,99","167,19","161,44","65,97M","1,52%"
"01.01.2023","162,10","163,00","164,36","160,71","25,92M","-0,28%"
"25.12.2022","162,56","161,73","164,98","160,80","69,97M","1,04%"
"18.12.2022","160,89","159,90","162,50","156,50","85,40M","0,41%"
"11.12.2022","160,24","163,24","163,81","157,72","71,31M","-1,54%"
"04.12.2022","162,75","165,59","167,20","162,40","54,15M","-1,88%"
"27.11.2022","165,86","168,00","169,00","164,18","63,59M","-1,88%"
"20.11.2022","169,03","168,55","170,87","167,00","59,61M","0,14%"
"13.11.2022","168,79","170,84","171,92","161,79","98,51M","-0,63%"
"06.11.2022","169,86","171,01","172,00","166,15","106,99M","0,43%"
"30.10.2022","169,14","170,73","171,50","166,68","69,51M","-0,93%"
"23.10.2022","170,73","168,00","174,69","164,22","161,24M","2,24%"
"16.10.2022","166,99","160,00","169,96","157,40","121,21M","4,63%"
"09.10.2022","159,60","181,26","181,26","137,10","203,72M","-18,22%"
"02.10.2022","195,15","219,00","220,55","195,01","306,91M","-10,36%"
"25.09.2022","217,70","219,00","238,72","189,42","584,78M","-3,18%"
"18.09.2022","224,84","243,19","245,91","192,00","524,12M","-7,78%"
"11.09.2022","243,80","243,99","248,20","240,00","132,31M","-0,63%"
"04.09.2022","245,34","251,00","252,11","237,84","179,87M","-2,95%"
"28.08.2022","252,80","183,15","275,96","182,65","504,02M","37,68%"
"21.08.2022","183,62","177,40","186,66","176,88","95,22M","3,39%"
"14.08.2022","177,60","174,01","182,49","172,40","101,08M","1,86%"
"07.08.2022","174,36","180,00","182,33","172,29","125,36M","-1,26%"
"31.07.2022","176,58","194,50","194,69","175,75","111,89M","-9,57%"
"24.07.2022","195,26","192,60","198,79","190,56","106,71M","1,57%"
"17.07.2022","192,25","189,00","195,80","184,60","129,35M","2,47%"
"10.07.2022","187,61","198,00","199,43","183,11","178,87M","-5,25%"
"03.07.2022","198,00","191,99","205,78","181,20","314,05M","2,86%"
"26.06.2022","192,50","296,00","310,82","186,20","518,74M","-34,97%"
"19.06.2022","296,00","316,06","318,00","291,10","203,28M","-6,18%"
"12.06.2022","315,50","308,98","322,99","307,00","117,95M","2,04%"
"05.06.2022","309,20","298,00","310,98","294,52","117,73M","4,11%"
"29.05.2022","297,00","298,61","302,00","290,25","108,59M","0,85%"
"22.05.2022","294,50","265,44","305,00","245,00","321,29M","11,98%"
"15.05.2022","263,00","234,00","269,78","233,11","192,17M","11,67%"
"08.05.2022","235,52","239,80","243,35","227,22","58,39M","-1,91%"
"01.05.2022","240,10","241,00","244,39","233,12","53,83M","-0,12%"
"24.04.2022","240,40","209,95","249,00","201,12","226,30M","15,58%"
"17.04.2022","208,00","224,10","229,84","207,00","133,11M","-7,14%"
"10.04.2022","224,00","241,90","242,78","215,74","97,00M","-7,08%"
"03.04.2022","241,07","254,03","259,99","231,45","138,89M","-4,11%"
"27.03.2022","251,40","225,00","258,70","206,00","239,06M","10,75%"
