"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","3.041,0","3.148,5","3.148,5","2.956,5","3,75K","-2,58%"
"23.04.2023","3.121,5","3.177,0","3.194,0","3.090,0","6,68K","-1,84%"
"16.04.2023","3.180,0","3.110,5","3.285,0","3.105,5","5,02K","2,27%"
"09.04.2023","3.109,5","3.035,5","3.185,0","3.030,0","4,00K","2,49%"
"02.04.2023","3.034,0","2.982,0","3.097,0","2.965,5","3,31K","1,93%"
"26.03.2023","2.976,5","2.918,5","3.038,0","2.895,0","8,10K","2,30%"
"19.03.2023","2.909,5","2.994,0","2.994,0","2.906,0","35,73K","-1,22%"
"12.03.2023","2.945,5","2.949,0","3.045,0","2.912,5","36,31K","0,10%"
"05.03.2023","2.942,5","2.969,5","3.008,0","2.929,0","20,25K","-0,91%"
"26.02.2023","2.969,5","2.941,0","3.038,5","2.901,0","30,86K","0,75%"
"19.02.2023","2.947,5","2.832,0","2.970,5","2.780,0","29,61K","4,52%"
"12.02.2023","2.820,0","3.000,0","3.019,5","2.775,0","33,48K","-5,56%"
"05.02.2023","2.986,0","2.948,0","3.097,0","2.930,0","55,57K","0,95%"
"29.01.2023","2.958,0","2.865,5","3.048,0","2.826,0","52,78K","3,21%"
"22.01.2023","2.866,0","2.799,5","2.924,5","2.780,5","46,46K","2,58%"
"15.01.2023","2.794,0","2.770,0","2.884,0","2.744,0","42,57K","1,09%"
"08.01.2023","2.764,0","2.767,0","2.825,0","2.723,0","25,39K","0,14%"
"01.01.2023","2.760,0","2.729,5","2.825,0","2.703,5","17,99K","1,85%"
"25.12.2022","2.710,0","2.672,5","2.748,0","2.657,5","25,26K","2,09%"
"18.12.2022","2.654,5","2.670,0","2.743,5","2.604,0","32,73K","-0,58%"
"11.12.2022","2.670,0","2.783,0","2.809,0","2.580,0","41,05K","-3,96%"
"04.12.2022","2.780,0","2.830,5","2.950,0","2.761,0","134,56K","-1,10%"
"27.11.2022","2.811,0","2.738,5","2.932,0","2.722,0","61,95K","3,33%"
"20.11.2022","2.720,5","2.730,0","2.748,0","2.589,0","33,83K","0,09%"
"13.11.2022","2.718,0","2.632,0","2.795,0","2.609,5","38,22K","3,33%"
"06.11.2022","2.630,5","2.570,0","2.667,5","2.516,0","34,02K","2,75%"
"30.10.2022","2.560,0","2.660,0","2.695,0","2.512,0","25,67K","-4,33%"
"23.10.2022","2.676,0","2.520,0","2.727,0","2.502,0","48,74K","6,17%"
"16.10.2022","2.520,5","2.543,5","2.655,0","2.435,0","31,85K","-0,79%"
"09.10.2022","2.540,5","2.250,0","2.585,0","2.250,0","18,33K","5,37%"
"02.10.2022","2.411,0","2.230,0","2.473,0","2.220,5","24,98K","8,58%"
"25.09.2022","2.220,5","2.501,0","2.506,0","2.200,0","32,04K","-11,53%"
"18.09.2022","2.510,0","2.839,0","2.871,0","2.349,5","59,01K","-11,31%"
"11.09.2022","2.830,0","2.932,5","2.991,0","2.810,0","30,51K","-3,50%"
"04.09.2022","2.932,5","2.873,0","3.075,0","2.807,0","41,03K","2,07%"
"28.08.2022","2.873,0","2.809,0","2.910,5","2.800,0","22,10K","2,28%"
"21.08.2022","2.809,0","2.797,0","2.950,0","2.754,5","56,85K","0,27%"
"14.08.2022","2.801,5","2.702,0","2.860,0","2.630,0","32,19K","6,08%"
"07.08.2022","2.641,0","2.520,0","2.714,0","2.520,0","18,30K","4,99%"
"31.07.2022","2.515,5","2.661,0","2.724,0","2.490,5","27,35K","-4,97%"
"24.07.2022","2.647,0","2.501,0","2.700,0","2.501,0","24,70K","5,63%"
"17.07.2022","2.506,0","2.500,0","2.579,5","2.424,5","13,96K","-2,49%"
