"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","883,50","920,00","925,50","876,50","0,34K","-3,34%"
"23.04.2023","914,00","906,50","927,50","901,50","1,13K","1,61%"
"16.04.2023","899,50","915,50","918,00","897,00","0,54K","-1,69%"
"09.04.2023","915,00","909,00","930,50","893,00","1,16K","0,60%"
"02.04.2023","909,50","869,00","920,00","852,00","4,75K","6,87%"
"26.03.2023","851,00","854,00","862,00","846,00","1,09K","-0,64%"
"19.03.2023","856,50","838,50","870,00","828,00","5,70K","2,51%"
"12.03.2023","835,50","839,50","845,50","825,50","2,91K","-0,71%"
"05.03.2023","841,50","828,00","849,00","827,00","2,77K","1,63%"
"26.02.2023","828,00","816,00","828,00","810,00","3,50K","0,49%"
"19.02.2023","824,00","810,00","829,00","802,50","1,54K","1,35%"
"12.02.2023","813,00","825,00","835,00","806,00","3,55K","-1,87%"
"05.02.2023","828,50","816,50","849,50","816,00","3,42K","0,98%"
"29.01.2023","820,50","828,50","860,00","810,00","10,93K","1,30%"
"22.01.2023","810,00","773,50","850,00","764,50","19,94K","4,58%"
"15.01.2023","774,50","778,50","790,50","755,50","4,34K","-0,19%"
"08.01.2023","776,00","799,00","821,50","650,00","31,11K","-3,00%"
"01.01.2023","800,00","793,00","820,00","793,00","1,00K","0,06%"
"25.12.2022","799,50","793,00","799,50","775,00","2,05K","0,50%"
"18.12.2022","795,50","777,00","800,50","775,00","2,12K","2,45%"
"11.12.2022","776,50","761,50","794,50","750,50","5,07K","-2,14%"
"04.12.2022","793,50","801,00","806,00","768,00","4,87K","-0,94%"
"27.11.2022","801,00","803,50","816,00","798,00","5,37K","0,13%"
"20.11.2022","800,00","796,50","805,50","794,50","1,11K","-0,62%"
"13.11.2022","805,00","799,00","805,00","790,00","3,10K","0,94%"
"06.11.2022","797,50","792,00","806,50","785,00","4,80K","0,31%"
"30.10.2022","795,00","790,50","799,00","782,50","3,81K","0,57%"
"23.10.2022","790,50","795,50","808,00","770,00","7,09K","0,32%"
"16.10.2022","788,00","791,50","819,00","776,00","8,13K","-0,88%"
"09.10.2022","795,00","788,50","888,00","747,00","36,90K","0,63%"
"02.10.2022","790,00","746,50","791,00","745,00","7,75K","5,83%"
"25.09.2022","746,50","763,50","789,50","714,00","10,60K","-2,86%"
"18.09.2022","768,50","858,00","896,00","745,00","19,99K","-11,00%"
"11.09.2022","863,50","810,00","897,50","797,00","11,76K","7,80%"
"04.09.2022","801,00","804,50","812,00","789,50","6,86K","0,19%"
"28.08.2022","799,50","761,00","804,50","745,50","10,81K","3,97%"
"21.08.2022","769,00","720,00","785,50","720,00","16,03K","6,66%"
"14.08.2022","721,00","689,50","792,50","681,00","17,03K","5,26%"
"07.08.2022","685,00","672,50","693,50","672,50","2,28K","0,44%"
"31.07.2022","682,00","695,00","722,00","671,00","13,68K","-2,36%"
"24.07.2022","698,50","666,00","699,00","663,00","2,55K","4,64%"
"17.07.2022","667,50","675,00","675,00","662,00","0,99K","-0,07%"
"10.07.2022","668,00","666,50","676,00","661,00","1,50K","-0,60%"
"03.07.2022","672,00","678,00","679,00","663,00","2,08K","-0,44%"
"26.06.2022","675,00","671,00","688,00","668,00","1,83K","-0,44%"
"19.06.2022","678,00","697,00","704,50","670,00","7,07K","-2,80%"
"12.06.2022","697,50","704,50","706,00","692,50","3,04K","-0,64%"
"05.06.2022","702,00","690,50","703,50","688,50","3,28K","1,23%"
"29.05.2022","693,50","701,50","704,00","689,00","1,17K","-1,21%"
"22.05.2022","702,00","688,00","702,00","679,00","3,56K","1,96%"
"15.05.2022","688,50","701,50","708,50","680,00","7,93K","-1,36%"
"08.05.2022","698,00","722,50","722,50","693,00","2,55K","-3,39%"
"01.05.2022","722,50","704,00","753,00","703,50","3,23K","1,12%"
"24.04.2022","714,50","701,00","723,50","696,50","3,78K","1,78%"
"17.04.2022","702,00","703,00","732,00","670,50","8,19K","-1,40%"
"10.04.2022","712,00","727,50","744,00","699,50","2,71K","-2,73%"
"03.04.2022","732,00","713,00","800,00","705,50","5,49K","-3,37%"
"27.03.2022","757,50","749,50","977,00","621,50","8,74K","5,50%"
"20.02.2022","718,00","915,00","915,00","601,00","11,16K","-20,66%"
"13.02.2022","905,00","920,00","928,50","889,00","3,38K","0,11%"
"06.02.2022","904,00","880,00","929,00","880,00","7,65K","2,73%"
"30.01.2022","880,00","875,00","907,50","867,50","3,61K","0,69%"
"23.01.2022","874,00","901,50","902,00","840,00","7,25K","-1,96%"
"16.01.2022","891,50","928,50","929,00","860,00","7,02K","-3,93%"
"09.01.2022","928,00","938,00","950,00","905,50","6,20K","-1,07%"
"02.01.2022","938,00","1.018,50","1.059,50","934,00","23,45K","-6,11%"
"26.12.2021","999,00","963,50","999,00","951,50","7,11K","4,88%"
"19.12.2021","952,50","940,00","963,50","925,50","2,49K","0,63%"
"12.12.2021","946,50","976,00","987,50","915,00","4,64K","-1,51%"
"05.12.2021","961,00","989,50","1.034,50","950,00","11,81K","-4,14%"
"28.11.2021","1.002,50","995,00","1.005,50","985,50","3,22K","1,78%"
"21.11.2021","985,00","1.029,50","1.033,50","959,50","11,04K","-4,32%"
"14.11.2021","1.029,50","1.025,50","1.089,50","990,50","22,94K","2,95%"
"07.11.2021","1.000,00","894,50","1.250,00","894,00","139,07K","11,11%"
"31.10.2021","900,00","892,50","913,00","882,00","4,16K","0,67%"
"24.10.2021","894,00","919,50","924,00","890,00","4,32K","-1,76%"
"17.10.2021","910,00","925,50","930,00","909,50","5,97K","-0,76%"
"10.10.2021","917,00","947,00","967,50","910,00","9,40K","-4,43%"
"03.10.2021","959,50","985,00","1.003,50","901,00","19,14K","-5,75%"
"26.09.2021","1.018,00","987,00","1.024,00","968,00","32,55K","3,14%"
"19.09.2021","987,00","923,00","1.001,00","896,50","20,56K","6,76%"
"12.09.2021","924,50","963,50","975,00","870,50","10,82K","-2,12%"
"05.09.2021","944,50","908,50","979,50","875,50","16,08K","4,65%"
"29.08.2021","902,50","876,00","917,00","876,00","8,80K","2,97%"
