"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","3,9615","4,0885","4,1380","3,8600","103,48M","-2,67%"
"23.04.2023","4,0700","3,9765","4,1025","3,9705","69,96M","2,57%"
"16.04.2023","3,9680","3,9300","3,9950","3,9080","40,25M","1,69%"
"09.04.2023","3,9020","3,8280","3,9795","3,8150","40,44M","1,96%"
"02.04.2023","3,8270","3,7200","3,8580","3,7180","51,58M","3,29%"
"26.03.2023","3,7050","3,5950","3,7685","3,5795","76,25M","3,28%"
"19.03.2023","3,5875","3,4170","3,6600","3,4010","626,02M","5,14%"
"12.03.2023","3,4120","3,3780","3,4250","3,3160","301,41M","1,01%"
"05.03.2023","3,3780","3,4410","3,5055","3,3590","436,25M","-1,83%"
"26.02.2023","3,4410","3,3650","3,4695","3,3520","191,41M","2,26%"
"19.02.2023","3,3650","3,3300","3,3850","3,2635","137,49M","1,08%"
"12.02.2023","3,3290","3,4985","3,5595","3,2555","378,01M","-4,30%"
"05.02.2023","3,4785","3,5000","3,5310","3,4300","205,19M","-0,51%"
"29.01.2023","3,4965","3,5105","3,5490","3,4525","262,39M","-0,34%"
"22.01.2023","3,5085","3,4485","3,5380","3,3950","253,68M","2,51%"
"15.01.2023","3,4225","3,4860","3,5300","3,3915","194,98M","-1,81%"
"08.01.2023","3,4855","3,5150","3,5880","3,4380","337,76M","-0,51%"
"01.01.2023","3,5035","3,4150","3,5085","3,3855","149,39M","3,21%"
"25.12.2022","3,3945","3,2000","3,4770","3,1820","458,29M","6,91%"
"18.12.2022","3,1750","3,1190","3,2190","3,0665","289,64M","1,81%"
"11.12.2022","3,1185","3,2230","3,2465","3,0100","300,62M","-3,24%"
"04.12.2022","3,2230","3,2915","3,3350","3,1850","220,61M","-2,08%"
"27.11.2022","3,2915","3,2195","3,3240","3,2195","192,86M","0,70%"
"20.11.2022","3,2685","3,1230","3,2865","3,0790","329,94M","4,93%"
"13.11.2022","3,1150","3,1980","3,2200","2,9300","295,17M","-2,60%"
"06.11.2022","3,1980","3,0385","3,2245","3,0220","486,58M","5,58%"
"30.10.2022","3,0290","3,0790","3,1150","2,9685","233,34M","-1,32%"
"23.10.2022","3,0695","2,8890","3,0985","2,8710","389,71M","7,12%"
"16.10.2022","2,8655","2,8580","2,9100","2,7630","425,49M","1,02%"
"09.10.2022","2,8365","2,4500","2,8765","2,4500","467,20M","8,72%"
"02.10.2022","2,6090","2,6000","2,7950","2,5115","594,83M","1,01%"
"25.09.2022","2,5830","2,7400","2,7400","2,3340","715,39M","-6,92%"
"18.09.2022","2,7750","3,2475","3,2900","2,6610","524,65M","-14,40%"
"11.09.2022","3,2420","3,2310","3,3000","3,1680","224,86M","-0,09%"
"04.09.2022","3,2450","3,2330","3,3890","3,1070","419,08M","0,09%"
"28.08.2022","3,2420","3,1860","3,2420","3,1300","333,81M","1,76%"
"21.08.2022","3,1860","3,0000","3,1980","2,9765","350,14M","6,20%"
"14.08.2022","3,0000","2,9635","3,0850","2,9405","339,78M","1,16%"
"07.08.2022","2,9655","3,0900","3,1480","2,9560","429,35M","-2,51%"
"31.07.2022","3,0420","3,2330","3,2800","3,0000","273,89M","-5,91%"
"24.07.2022","3,2330","3,2840","3,3400","3,1925","306,01M","-1,52%"
"17.07.2022","3,2830","3,4100","3,4225","3,2110","360,06M","-3,55%"
"10.07.2022","3,4040","3,3875","3,4455","3,1630","414,43M","0,15%"
"03.07.2022","3,3990","3,4600","3,5250","3,3520","326,88M","-1,12%"
"26.06.2022","3,4375","3,6290","3,8685","3,2500","715,46M","-5,30%"
"19.06.2022","3,6300","3,4550","3,6550","3,4205","777,61M","5,37%"
"12.06.2022","3,4450","3,1500","3,4460","3,0905","513,70M","9,71%"
"05.06.2022","3,1400","3,2550","3,2795","2,9500","704,85M","-3,46%"
"29.05.2022","3,2525","3,1795","3,3500","3,0435","784,96M","2,93%"
"22.05.2022","3,1600","2,8900","3,1645","2,7620","650,13M","9,68%"
"15.05.2022","2,8810","2,7595","2,9000","2,7500","533,13M","4,40%"
"08.05.2022","2,7595","2,7685","2,8190","2,6910","241,83M","0,20%"
"01.05.2022","2,7540","2,7125","2,8450","2,6500","303,33M","2,02%"
"24.04.2022","2,6995","2,4300","2,7500","2,3500","587,74M","11,09%"
"17.04.2022","2,4300","2,5415","2,5945","2,3300","297,09M","-4,71%"
"10.04.2022","2,5500","2,6865","2,7555","2,4100","392,31M","-5,40%"
"03.04.2022","2,6955","2,9445","2,9690","2,6205","545,50M","-6,41%"
"27.03.2022","2,8800","2,2920","2,9980","1,9100","1,24B","29,00%"
"20.03.2022","2,2325","2,7000","2,8935","2,2100","361,38M","-13,44%"
"20.02.2022","2,5790","3,5090","3,6075","1,2550","4,30B","-26,10%"
"13.02.2022","3,4900","3,6325","3,8520","3,4815","1,87B","-3,99%"
"06.02.2022","3,6350","3,8250","3,9485","3,6250","1,73B","-4,97%"
"30.01.2022","3,8250","3,8200","3,9310","3,7110","817,36M","-0,96%"
