"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","101,04","119,80","120,28","97,80","1,77M","-15,48%"
"23.04.2023","119,54","119,00","127,14","117,60","1,52M","1,39%"
"16.04.2023","117,90","117,50","128,50","116,46","798,55K","0,46%"
"09.04.2023","117,36","115,42","120,84","115,42","2,14M","1,70%"
"02.04.2023","115,40","117,00","118,68","114,72","600,20K","-0,77%"
"26.03.2023","116,30","116,00","121,40","114,00","4,65M","0,83%"
"19.03.2023","115,34","115,56","118,78","112,00","13,95M","0,84%"
"12.03.2023","114,38","107,64","122,68","106,42","31,30M","6,50%"
"05.03.2023","107,40","116,40","116,90","105,64","12,26M","-2,93%"
"26.02.2023","110,64","89,00","119,00","85,06","73,14M","24,31%"
"19.02.2023","89,00","84,12","92,32","84,02","5,74M","5,68%"
"12.02.2023","84,22","91,18","93,70","79,08","11,35M","-7,96%"
"05.02.2023","91,50","93,96","98,30","90,60","7,86M","-1,38%"
"29.01.2023","92,78","82,80","104,44","78,14","69,62M","16,27%"
"22.01.2023","79,80","71,00","89,60","68,78","36,01M","14,99%"
"15.01.2023","69,40","68,20","73,44","67,74","5,72M","2,88%"
"08.01.2023","67,46","62,60","73,44","62,54","11,65M","7,97%"
"01.01.2023","62,48","62,06","64,32","61,12","658,18K","0,68%"
"25.12.2022","62,06","62,30","66,98","61,00","4,60M","-0,70%"
"18.12.2022","62,50","60,92","63,96","59,12","1,90M","2,46%"
"11.12.2022","61,00","64,64","66,80","59,60","2,09M","-5,48%"
"04.12.2022","64,54","65,30","68,40","62,50","1,37M","-1,07%"
"27.11.2022","65,24","64,68","66,90","64,14","776,33K","0,77%"
"20.11.2022","64,74","66,72","66,90","63,82","1,29M","-1,82%"
"13.11.2022","65,94","64,92","70,66","64,48","2,33M","1,70%"
"06.11.2022","64,84","66,76","67,80","63,70","1,11M","-1,82%"
"30.10.2022","66,04","66,00","69,60","64,36","1,83M","1,60%"
"23.10.2022","65,00","57,84","68,46","57,84","5,08M","12,81%"
"16.10.2022","57,62","58,76","62,78","57,04","1,76M","-1,03%"
"09.10.2022","58,22","52,58","60,00","48,00","1,93M","6,67%"
"02.10.2022","54,58","50,30","61,54","50,00","4,30M","11,12%"
"25.09.2022","49,12","61,68","61,68","45,00","2,69M","-20,90%"
"18.09.2022","62,10","80,76","81,80","54,50","3,72M","-22,74%"
"11.09.2022","80,38","82,00","83,96","79,22","1,58M","-1,37%"
"04.09.2022","81,50","83,42","85,60","76,50","3,49M","-2,16%"
"28.08.2022","83,30","79,00","88,60","76,12","6,59M","5,84%"
"21.08.2022","78,70","82,40","87,00","75,30","3,41M","-3,10%"
"14.08.2022","81,22","70,08","89,80","69,50","10,79M","17,92%"
"07.08.2022","68,88","68,90","74,32","66,88","2,97M","1,00%"
"31.07.2022","68,20","64,00","74,94","62,50","5,59M","8,25%"
"24.07.2022","63,00","57,24","68,18","56,02","3,51M","10,14%"
"17.07.2022","57,20","57,96","59,20","55,50","468,57K","-0,83%"
"10.07.2022","57,68","60,24","62,00","55,20","802,36K","-3,12%"
"03.07.2022","59,54","56,30","63,24","55,80","1,91M","5,79%"
"26.06.2022","56,28","61,40","65,38","55,50","1,21M","-8,34%"
"19.06.2022","61,40","63,42","64,50","61,00","585,59K","-3,15%"
"12.06.2022","63,40","67,18","67,18","62,08","895,97K","-5,37%"
"05.06.2022","67,00","67,10","70,76","66,00","657,23K","-0,15%"
"29.05.2022","67,10","70,20","71,40","67,00","607,87K","-4,01%"
"22.05.2022","69,90","75,20","76,30","68,14","1,04M","-5,92%"
"15.05.2022","74,30","66,42","79,30","66,42","3,38M","11,53%"
"08.05.2022","66,62","69,40","70,90","65,32","610,86K","-3,89%"
"01.05.2022","69,32","74,04","75,46","68,60","732,24K","-8,16%"
"24.04.2022","75,48","73,60","77,78","69,02","2,32M","4,83%"
"17.04.2022","72,00","76,98","86,80","62,50","4,66M","-5,88%"
"10.04.2022","76,50","84,70","84,96","75,02","1,07M","-9,68%"
"03.04.2022","84,70","84,80","90,00","78,58","2,10M","0,00%"
"27.03.2022","84,70","79,98","95,00","60,70","3,67M","14,46%"
"20.02.2022","74,00","105,00","107,70","52,52","5,74M","-27,34%"
"13.02.2022","101,84","102,18","120,90","98,30","6,30M","-1,32%"
"06.02.2022","103,20","93,48","116,50","91,04","4,81M","11,50%"
"30.01.2022","92,56","100,10","101,98","91,00","1,23M","-6,28%"
"23.01.2022","98,76","101,97","104,81","84,00","4,03M","-2,22%"
