"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","642,80","676,80","677,00","636,20","15,22K","-3,92%"
"23.04.2023","669,00","671,20","675,00","664,80","17,53K","-0,30%"
"16.04.2023","671,00","674,60","678,00","655,20","11,80K","0,54%"
"09.04.2023","667,40","682,20","688,00","631,00","15,04K","-1,24%"
"02.04.2023","675,80","612,00","690,00","611,40","63,30K","12,82%"
"26.03.2023","599,00","585,00","636,40","584,40","29,52K","2,81%"
"19.03.2023","582,60","546,20","610,00","538,00","373,07K","6,66%"
"12.03.2023","546,20","554,00","562,00","533,20","77,57K","-1,90%"
"05.03.2023","556,80","545,40","569,20","536,00","117,45K","3,69%"
"26.02.2023","537,00","521,20","557,00","518,80","133,42K","3,07%"
"19.02.2023","521,00","508,80","537,00","500,00","109,79K","2,44%"
"12.02.2023","508,60","520,20","594,80","459,80","668,68K","-2,12%"
"05.02.2023","519,60","507,20","561,40","501,80","221,26K","2,77%"
"29.01.2023","505,60","492,80","517,60","486,40","110,55K","2,97%"
"22.01.2023","491,00","485,20","500,00","480,00","75,69K","1,28%"
"15.01.2023","484,80","471,40","512,00","468,80","177,66K","3,15%"
"08.01.2023","470,00","470,00","474,80","454,00","73,72K","4,44%"
"01.01.2023","450,00","451,20","467,00","450,00","29,60K","-0,22%"
"25.12.2022","451,00","456,80","473,60","446,60","61,85K","-0,66%"
"18.12.2022","454,00","430,00","461,40","420,00","142,28K","5,43%"
"11.12.2022","430,60","429,80","435,20","428,40","64,24K","-0,05%"
"04.12.2022","430,80","429,60","438,00","421,40","62,46K","0,75%"
"27.11.2022","427,60","426,00","434,80","421,20","65,21K","0,19%"
"20.11.2022","426,80","424,80","432,40","419,00","52,80K","0,52%"
"13.11.2022","424,60","425,00","430,00","400,40","51,14K","0,38%"
"06.11.2022","423,00","405,20","426,00","405,20","112,10K","4,39%"
"30.10.2022","405,20","406,20","414,80","395,40","61,88K","-0,59%"
"23.10.2022","407,60","406,80","420,00","380,00","125,57K","1,70%"
"16.10.2022","400,80","400,80","413,80","383,00","71,43K","-0,30%"
"09.10.2022","402,00","370,00","407,60","366,40","53,10K","3,61%"
"02.10.2022","388,00","380,20","399,60","380,20","78,48K","1,94%"
"25.09.2022","380,60","395,00","410,00","365,00","196,72K","-4,90%"
"18.09.2022","400,20","427,60","439,00","356,40","251,66K","-5,84%"
"11.09.2022","425,00","435,00","439,20","411,00","81,60K","-1,80%"
"04.09.2022","432,80","435,20","440,00","420,00","89,60K","-0,60%"
"28.08.2022","435,40","440,60","452,00","401,00","161,01K","-0,55%"
"21.08.2022","437,80","405,00","439,20","402,60","144,36K","8,91%"
"14.08.2022","402,00","394,00","414,00","390,80","97,64K","2,08%"
"07.08.2022","393,80","380,00","401,00","374,80","84,66K","5,07%"
"31.07.2022","374,80","383,00","385,80","356,20","103,41K","-0,85%"
"24.07.2022","378,00","375,20","384,40","373,80","150,61K","0,75%"
"17.07.2022","375,20","380,00","393,40","368,00","50,31K","-1,05%"
"10.07.2022","379,20","399,00","401,00","361,00","103,42K","-5,34%"
"03.07.2022","400,60","401,80","409,80","390,20","68,51K","0,00%"
"26.06.2022","400,60","407,00","413,80","397,00","97,27K","-1,77%"
"19.06.2022","407,80","418,00","440,00","404,00","92,06K","-2,39%"
"12.06.2022","417,80","400,80","423,00","394,80","54,63K","4,24%"
"05.06.2022","400,80","397,00","406,00","387,20","63,34K","0,91%"
"29.05.2022","397,20","421,00","421,00","395,00","70,40K","-4,24%"
"22.05.2022","414,80","405,00","448,80","405,00","85,11K","-5,81%"
"15.05.2022","440,40","442,00","467,60","430,00","227,26K","0,00%"
"08.05.2022","440,40","435,00","462,00","429,00","117,62K","1,62%"
"01.05.2022","433,40","414,00","435,00","411,40","71,65K","4,38%"
"24.04.2022","415,20","411,80","424,00","400,00","114,15K","0,10%"
"17.04.2022","414,80","427,00","440,00","407,00","119,05K","-1,71%"
"10.04.2022","422,00","450,60","455,00","406,00","147,39K","-5,80%"
"03.04.2022","448,00","474,00","502,00","406,00","371,91K","-0,88%"
"27.03.2022","452,00","319,00","615,00","319,00","890,40K","55,86%"
"20.02.2022","290,00","374,00","374,00","210,00","287,05K","-21,20%"
"13.02.2022","368,00","379,00","399,00","364,00","55,27K","-3,92%"
"06.02.2022","383,00","368,00","392,80","364,00","78,01K","4,08%"
"30.01.2022","368,00","361,40","382,80","358,60","77,80K","2,51%"
"23.01.2022","359,00","343,60","367,60","314,20","78,24K","3,70%"
