"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","153,40","163,60","166,00","145,10","675,60K","-6,00%"
"23.04.2023","163,20","169,20","173,30","161,00","1,45M","-3,49%"
"16.04.2023","169,10","168,00","180,30","167,20","295,29K","1,02%"
"09.04.2023","167,40","174,40","181,00","162,20","801,23K","-1,76%"
"02.04.2023","170,40","121,80","198,00","120,50","5,11M","42,83%"
"26.03.2023","119,30","118,90","126,00","117,20","1,19M","1,97%"
"19.03.2023","117,00","109,50","124,30","108,50","13,94M","7,14%"
"12.03.2023","109,20","109,50","112,60","107,50","3,29M","0,18%"
"05.03.2023","109,00","110,70","111,00","108,50","1,64M","-0,18%"
"26.02.2023","109,20","103,40","114,60","102,10","13,55M","5,81%"
"19.02.2023","103,20","99,50","107,20","97,60","5,86M","3,72%"
"12.02.2023","99,50","108,00","109,20","93,00","7,04M","-5,60%"
"05.02.2023","105,40","106,20","113,60","101,10","15,10M","0,38%"
"29.01.2023","105,00","89,60","119,40","88,60","30,14M","17,58%"
"22.01.2023","89,30","88,40","91,40","87,30","2,06M","1,71%"
"15.01.2023","87,80","86,60","89,90","85,40","2,42M","1,86%"
"08.01.2023","86,20","84,80","87,30","84,60","1,05M","1,77%"
"01.01.2023","84,70","83,80","86,40","83,40","598,56K","1,80%"
"25.12.2022","83,20","84,40","89,00","82,60","1,96M","-0,12%"
"18.12.2022","83,30","82,10","91,60","79,30","4,64M","2,08%"
"11.12.2022","81,60","83,00","83,30","80,40","486,22K","-1,45%"
"04.12.2022","82,80","84,80","85,50","82,30","792,37K","-2,01%"
"27.11.2022","84,50","85,80","88,20","84,00","1,16M","-1,17%"
"20.11.2022","85,50","85,50","90,80","83,20","1,55M","0,12%"
"13.11.2022","85,40","87,20","88,00","85,00","655,89K","-1,73%"
"06.11.2022","86,90","87,00","90,20","85,80","725,89K","0,12%"
"30.10.2022","86,80","88,40","89,60","85,40","454,99K","-1,59%"
"23.10.2022","88,20","88,00","90,90","86,60","1,44M","1,97%"
"16.10.2022","86,50","85,40","91,00","82,10","1,86M","3,72%"
"09.10.2022","83,40","76,00","89,60","73,00","2,46M","8,45%"
"02.10.2022","76,90","81,10","81,10","76,90","386,89K","0,00%"
"25.09.2022","76,90","82,70","83,80","72,10","761,69K","-7,01%"
"18.09.2022","82,70","93,80","94,10","71,00","2,25M","-11,83%"
"11.09.2022","93,80","93,00","96,60","90,10","2,03M","1,74%"
"04.09.2022","92,20","90,60","93,90","89,90","2,22M","1,99%"
"28.08.2022","90,40","90,10","94,20","89,40","1,03M","0,33%"
"21.08.2022","90,10","90,20","94,90","87,50","986,15K","0,00%"
"14.08.2022","90,10","91,40","93,50","89,40","509,28K","-0,55%"
"07.08.2022","90,60","83,90","96,70","83,10","2,51M","10,62%"
"31.07.2022","81,90","86,90","101,90","81,00","2,94M","-5,54%"
"24.07.2022","86,70","81,50","87,60","81,00","479,61K","6,77%"
"17.07.2022","81,20","85,90","86,60","78,10","462,73K","-5,03%"
"10.07.2022","85,50","91,80","91,80","82,90","422,67K","-5,52%"
"03.07.2022","90,50","90,50","94,90","86,00","653,91K","1,34%"
"26.06.2022","89,30","94,50","96,10","85,20","421,99K","-5,20%"
"19.06.2022","94,20","97,60","98,90","94,10","358,19K","-2,79%"
"12.06.2022","96,90","100,00","100,00","95,10","367,81K","-0,21%"
"05.06.2022","97,10","98,00","100,90","95,20","294,60K","-1,22%"
"29.05.2022","98,30","100,90","100,90","98,10","225,65K","-1,99%"
"22.05.2022","100,30","103,20","103,30","97,50","306,72K","-1,67%"
"15.05.2022","102,00","101,20","110,00","101,00","641,32K","1,19%"
"08.05.2022","100,80","102,90","102,90","100,50","111,31K","-1,27%"
"01.05.2022","102,10","103,00","103,80","100,70","245,45K","-0,87%"
"24.04.2022","103,00","103,60","107,30","100,60","588,81K","-0,58%"
"17.04.2022","103,60","100,10","112,00","98,10","1,16M","3,50%"
"10.04.2022","100,10","103,90","105,00","95,00","722,77K","-1,18%"
"03.04.2022","101,30","106,20","107,90","96,80","803,05K","-4,34%"
"27.03.2022","105,90","81,40","129,70","75,20","2,59M","29,94%"
