"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","13,70","14,20","18,00","13,60","196,60K","-1,08%"
"23.04.2023","13,85","12,87","14,80","12,71","365,90K","8,12%"
"16.04.2023","12,81","12,40","13,44","12,19","107,60K","5,87%"
"09.04.2023","12,10","12,19","14,05","11,55","220,00K","2,02%"
"02.04.2023","11,86","10,48","12,10","10,33","344,80K","13,49%"
"26.03.2023","10,45","10,01","10,88","10,01","66,70K","3,36%"
"19.03.2023","10,11","9,90","10,70","9,60","618,30K","2,74%"
"12.03.2023","9,84","10,08","11,42","9,39","1,98M","-1,40%"
"05.03.2023","9,98","9,80","10,40","9,59","298,50K","2,89%"
"26.02.2023","9,70","9,27","9,80","9,24","210,70K","5,21%"
"19.02.2023","9,22","9,14","9,50","9,09","116,70K","0,88%"
"12.02.2023","9,14","9,41","10,10","9,00","404,50K","-2,56%"
"05.02.2023","9,38","9,14","9,50","9,13","144,30K","1,19%"
"29.01.2023","9,27","9,08","9,50","9,05","217,00K","0,76%"
"22.01.2023","9,20","9,20","9,28","9,05","74,80K","0,00%"
"15.01.2023","9,20","9,17","9,24","8,80","89,90K","0,22%"
"08.01.2023","9,18","8,64","9,20","8,64","230,40K","4,91%"
"01.01.2023","8,75","8,46","8,97","8,38","154,40K","0,57%"
"25.12.2022","8,70","8,49","8,79","8,30","241,50K","1,64%"
"18.12.2022","8,56","8,38","8,99","8,38","195,10K","1,78%"
"11.12.2022","8,41","8,40","8,69","8,33","121,30K","0,36%"
"04.12.2022","8,38","8,24","8,79","8,10","164,50K","1,82%"
"27.11.2022","8,23","8,20","9,05","8,11","154,60K","-0,24%"
"20.11.2022","8,25","8,43","8,55","8,01","160,80K","-0,84%"
"13.11.2022","8,32","8,34","8,50","8,04","59,90K","-0,24%"
"06.11.2022","8,34","8,20","9,14","8,02","553,80K","0,48%"
"30.10.2022","8,30","8,06","8,43","7,94","197,20K","3,75%"
"23.10.2022","8,00","7,48","8,20","7,32","175,70K","6,10%"
"16.10.2022","7,54","7,34","7,85","7,26","172,20K","2,72%"
"09.10.2022","7,34","7,08","7,70","6,99","240,70K","2,80%"
"02.10.2022","7,14","6,99","7,50","6,91","134,80K","2,00%"
"25.09.2022","7,00","7,16","7,80","6,66","234,60K","-2,91%"
"18.09.2022","7,21","8,09","8,15","6,80","602,80K","-10,32%"
"11.09.2022","8,04","8,05","8,25","7,96","80,20K","-1,11%"
"04.09.2022","8,13","7,98","8,25","7,85","135,60K","2,26%"
"28.08.2022","7,95","8,10","8,15","7,93","152,70K","-1,85%"
"21.08.2022","8,10","8,04","8,38","7,80","143,80K","-0,74%"
"14.08.2022","8,16","7,60","8,39","7,41","155,60K","6,53%"
