"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","98,20","103,40","103,40","95,20","52,47K","-4,20%"
"23.04.2023","102,50","105,40","107,00","101,50","88,34K","-2,38%"
"16.04.2023","105,00","106,40","109,10","103,90","42,31K","-1,13%"
"09.04.2023","106,20","109,80","112,50","103,30","60,79K","-2,30%"
"02.04.2023","108,70","105,00","114,00","103,00","1,90M","4,62%"
"26.03.2023","103,90","102,30","106,60","100,20","360,55K","2,26%"
"19.03.2023","101,60","95,00","104,40","94,10","2,49M","7,29%"
"12.03.2023","94,70","96,10","97,60","93,20","1,05M","-1,35%"
"05.03.2023","96,00","96,90","99,70","95,00","1,84M","0,31%"
"26.02.2023","95,70","94,80","100,00","93,20","4,16M","0,42%"
"19.02.2023","95,30","101,30","103,60","92,00","10,78M","-5,27%"
"12.02.2023","100,60","92,60","118,00","87,30","31,60M","9,23%"
"05.02.2023","92,10","90,20","105,80","89,50","8,68M","2,22%"
"29.01.2023","90,10","89,90","92,70","89,00","750,38K","1,01%"
"22.01.2023","89,20","87,70","99,80","86,00","6,80M","1,71%"
"15.01.2023","87,70","88,90","89,30","85,20","241,65K","-1,35%"
"08.01.2023","88,90","84,70","93,00","84,30","1,32M","5,46%"
"01.01.2023","84,30","83,00","87,60","83,00","294,94K","1,08%"
"25.12.2022","83,40","84,00","85,80","81,80","497,39K","0,00%"
"18.12.2022","83,40","81,50","89,30","81,50","900,70K","2,21%"
"11.12.2022","81,60","86,00","90,80","80,60","554,12K","-5,45%"
"04.12.2022","86,30","86,80","97,60","84,80","1,33M","-0,12%"
"27.11.2022","86,40","83,60","99,00","80,80","2,82M","3,10%"
"20.11.2022","83,80","85,40","85,80","83,30","82,76K","-1,18%"
"13.11.2022","84,80","89,10","89,80","83,90","174,17K","-4,72%"
"06.11.2022","89,00","88,50","91,00","88,20","225,75K","0,56%"
"30.10.2022","88,50","84,50","92,00","83,30","398,51K","5,23%"
"23.10.2022","84,10","80,00","87,00","78,70","407,08K","5,39%"
"16.10.2022","79,80","79,60","82,00","77,10","163,32K","1,01%"
"09.10.2022","79,00","70,20","80,70","70,00","321,40K","7,48%"
"02.10.2022","73,50","72,80","77,90","70,60","359,95K","5,76%"
"25.09.2022","69,50","80,50","80,50","64,50","901,14K","-8,19%"
"18.09.2022","75,70","93,60","96,40","70,00","700,00K","-19,38%"
"11.09.2022","93,90","96,60","98,20","93,50","371,58K","-2,09%"
