"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","37,91","39,56","39,86","37,51","16,15M","-4,29%"
"23.04.2023","39,61","41,10","41,47","39,40","10,64M","-3,80%"
"16.04.2023","41,17","40,52","42,00","40,35","21,39M","1,82%"
"09.04.2023","40,44","40,46","41,67","40,00","17,07M","0,19%"
"02.04.2023","40,37","40,25","41,45","39,72","19,99M","1,06%"
"26.03.2023","39,94","38,98","40,97","38,91","22,34M","2,66%"
"19.03.2023","38,90","39,89","40,52","38,77","87,77M","-2,47%"
"12.03.2023","39,89","42,12","42,67","39,43","112,55M","-5,27%"
"05.03.2023","42,11","39,85","42,27","39,56","82,89M","6,12%"
"26.02.2023","39,68","38,65","39,90","38,31","66,32M","2,20%"
"19.02.2023","38,83","36,33","39,50","35,81","78,71M","6,27%"
"12.02.2023","36,53","38,51","38,90","35,26","77,40M","-5,02%"
"05.02.2023","38,47","38,35","38,79","37,54","70,02M","0,87%"
"29.01.2023","38,13","34,40","38,49","34,19","123,19M","11,10%"
"22.01.2023","34,33","33,73","34,49","33,60","32,07M","1,61%"
"15.01.2023","33,78","34,10","34,86","33,51","47,53M","-0,87%"
"08.01.2023","34,08","33,55","34,40","32,88","41,54M","2,14%"
"01.01.2023","33,36","32,90","33,63","32,72","21,47M","1,51%"
"25.12.2022","32,87","31,85","32,97","31,80","35,95M","3,12%"
"18.12.2022","31,87","31,60","34,20","31,25","132,97M","0,73%"
"11.12.2022","31,64","31,72","32,33","31,05","80,53M","0,29%"
"04.12.2022","31,55","31,31","31,96","30,75","66,31M","0,99%"
"27.11.2022","31,24","30,69","31,99","30,45","72,57M","1,40%"
"20.11.2022","30,81","30,19","31,70","29,58","104,51M","2,19%"
"13.11.2022","30,15","31,03","31,65","29,00","91,25M","-2,68%"
"06.11.2022","30,98","32,14","33,41","30,40","148,10M","-1,65%"
"30.10.2022","31,50","32,04","32,21","29,86","89,69M","-1,65%"
"23.10.2022","32,03","28,81","32,65","28,33","190,04M","11,20%"
"16.10.2022","28,81","26,26","29,13","26,22","208,77M","10,13%"
"09.10.2022","26,16","23,64","27,28","23,37","103,12M","8,89%"
"02.10.2022","24,02","24,48","26,30","23,76","108,26M","-0,91%"
"25.09.2022","24,24","24,99","25,24","21,66","195,85M","-4,94%"
"18.09.2022","25,50","30,18","30,76","24,65","159,41M","-15,65%"
"11.09.2022","30,23","28,80","30,27","28,41","64,85M","4,30%"
"04.09.2022","28,99","30,08","30,50","28,10","73,99M","-3,38%"
"28.08.2022","30,00","27,30","30,10","27,30","88,90M","9,97%"
"21.08.2022","27,28","26,81","27,47","26,58","46,94M","1,04%"
"14.08.2022","27,00","25,85","27,62","25,70","106,00M","3,57%"
"07.08.2022","26,07","24,17","26,14","23,42","135,98M","11,13%"
"31.07.2022","23,46","26,94","28,18","22,75","332,57M","-11,37%"
"24.07.2022","26,47","26,44","28,00","26,02","77,72M","-0,23%"
"17.07.2022","26,53","27,80","27,90","25,50","90,81M","-3,51%"
"10.07.2022","27,50","31,65","31,83","26,80","103,37M","-12,71%"
"03.07.2022","31,50","32,38","32,87","30,83","73,84M","-2,72%"
"26.06.2022","32,38","33,71","33,75","31,32","67,66M","-4,33%"
"19.06.2022","33,85","33,35","35,32","33,10","75,27M","1,71%"
"12.06.2022","33,28","30,80","33,63","30,20","45,61M","8,09%"
"05.06.2022","30,78","33,22","33,50","29,65","72,40M","-6,77%"
"29.05.2022","33,02","38,50","38,91","31,47","90,12M","-14,78%"
"22.05.2022","38,74","43,80","43,80","37,70","61,44M","-10,61%"
"15.05.2022","43,35","42,56","45,87","42,17","29,91M","1,53%"
"08.05.2022","42,69","43,98","44,70","42,01","9,78M","-2,77%"
"01.05.2022","43,90","44,84","44,84","43,01","11,85M","-2,28%"
"24.04.2022","44,93","42,00","44,93","40,51","38,40M","6,98%"
"17.04.2022","42,00","40,00","42,34","38,30","49,44M","5,53%"
"10.04.2022","39,80","42,86","43,40","38,31","33,08M","-7,18%"
"03.04.2022","42,88","46,66","46,88","41,81","63,27M","-5,96%"
"27.03.2022","45,60","43,88","47,45","40,41","95,64M","4,11%"
"20.03.2022","43,80","46,90","51,24","43,71","101,36M","-8,13%"
"20.02.2022","47,67","61,28","63,00","35,20","383,62M","-22,46%"
"13.02.2022","61,49","62,30","66,64","60,12","230,73M","-1,31%"
"06.02.2022","62,30","60,00","67,07","59,60","218,71M","4,18%"
"30.01.2022","59,80","60,65","62,43","59,31","180,52M","-0,92%"
"23.01.2022","60,35","62,46","62,79","54,78","304,15M","-2,94%"
"16.01.2022","62,19","66,00","66,29","57,10","245,06M","-5,78%"
"09.01.2022","66,00","71,80","71,80","63,00","212,78M","-7,26%"
"02.01.2022","71,17","69,65","72,00","67,38","77,44M","2,18%"
"26.12.2021","69,65","66,74","69,96","66,47","76,25M","4,36%"
"19.12.2021","66,74","64,99","67,11","63,81","104,78M","2,90%"
"12.12.2021","64,86","65,00","65,00","56,99","145,67M","1,03%"
"05.12.2021","64,20","62,69","64,44","60,83","128,45M","2,80%"
"28.11.2021","62,45","62,00","63,17","58,81","164,80M","2,11%"
"21.11.2021","61,16","64,20","64,20","60,61","121,86M","-4,62%"
"14.11.2021","64,13","63,47","65,63","61,44","177,67M","0,90%"
"07.11.2021","63,56","63,62","65,94","62,62","107,38M","-0,21%"
"31.10.2021","63,69","66,30","67,49","63,13","88,14M","-3,40%"
"24.10.2021","65,93","71,25","71,25","64,65","205,63M","-6,10%"
"17.10.2021","70,21","68,50","71,39","67,54","197,03M","2,63%"
"10.10.2021","68,41","71,67","72,82","67,88","174,48M","-4,24%"
"03.10.2021","71,44","69,66","72,47","65,51","294,42M","2,53%"
"26.09.2021","69,68","73,88","74,07","67,22","157,03M","-4,74%"
"19.09.2021","73,14","73,61","78,90","71,51","360,09M","-1,26%"
"12.09.2021","74,07","78,60","79,65","73,82","205,18M","-5,34%"
"05.09.2021","78,25","76,56","79,78","75,10","128,99M","2,05%"
"29.08.2021","76,67","71,43","77,75","70,86","170,12M","7,41%"
