"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","4.422,5","4.686,5","4.702,5","4.394,0","217,15K","-5,63%"
"23.04.2023","4.686,5","4.829,0","4.857,5","4.680,0","174,64K","-2,53%"
"16.04.2023","4.808,0","4.625,0","4.892,5","4.590,0","153,26K","5,09%"
"09.04.2023","4.575,0","4.584,0","4.647,0","4.527,0","103,59K","0,02%"
"02.04.2023","4.574,0","4.632,5","4.660,0","4.520,0","101,72K","-0,78%"
"26.03.2023","4.610,0","4.503,0","4.700,0","4.495,0","657,51K","2,56%"
"19.03.2023","4.495,0","4.509,0","4.596,5","4.471,5","784,92K","-0,20%"
"12.03.2023","4.504,0","4.526,5","4.570,0","4.455,5","586,90K","-0,44%"
"05.03.2023","4.524,0","4.564,5","4.588,0","4.495,0","405,53K","-0,49%"
"26.02.2023","4.546,5","4.535,0","4.677,0","4.490,5","801,35K","-0,29%"
"19.02.2023","4.559,5","4.447,5","4.596,0","4.405,5","362,22K","2,52%"
"12.02.2023","4.447,5","4.695,0","4.710,0","4.355,5","747,74K","-5,04%"
"05.02.2023","4.683,5","4.670,0","4.796,0","4.500,0","908,13K","0,40%"
"29.01.2023","4.665,0","4.612,0","4.739,0","4.601,0","856,69K","1,22%"
"22.01.2023","4.609,0","4.581,0","4.676,0","4.560,0","628,32K","0,73%"
"15.01.2023","4.575,5","4.630,5","4.726,5","4.465,0","1,59M","-0,96%"
"08.01.2023","4.620,0","4.324,5","4.675,0","4.312,5","1,64M","6,96%"
"01.01.2023","4.319,5","4.367,0","4.383,0","4.308,0","314,54K","-0,48%"
"25.12.2022","4.340,5","4.315,0","4.490,0","4.315,0","1,11M","0,58%"
"18.12.2022","4.315,5","4.369,5","4.394,0","4.239,0","1,38M","-1,62%"
"11.12.2022","4.386,5","4.468,0","4.600,0","4.353,0","1,76M","-1,34%"
"04.12.2022","4.446,0","4.669,5","4.670,0","4.421,0","2,40M","-4,74%"
"27.11.2022","4.667,0","4.837,5","4.875,0","4.663,0","769,86K","-3,75%"
"20.11.2022","4.849,0","4.900,5","4.942,0","4.809,0","520,02K","-1,41%"
"13.11.2022","4.918,5","5.010,0","5.090,0","4.735,0","1,22M","-1,73%"
"06.11.2022","5.005,0","5.205,0","5.259,0","4.927,0","775,36K","-3,43%"
"30.10.2022","5.183,0","5.275,0","5.302,0","5.030,0","346,34K","-1,63%"
"23.10.2022","5.269,0","5.177,0","5.369,5","5.121,0","752,49K","2,03%"
"16.10.2022","5.164,0","4.849,0","5.188,0","4.818,5","817,73K","7,36%"
"09.10.2022","4.810,0","4.399,0","4.910,0","4.352,0","650,10K","5,81%"
"02.10.2022","4.546,0","4.740,0","5.030,0","4.530,0","891,88K","-3,73%"
"25.09.2022","4.722,0","4.815,0","4.866,0","4.306,5","1,12M","-3,42%"
"18.09.2022","4.889,0","5.542,0","5.570,0","4.700,0","1,32M","-12,41%"
"11.09.2022","5.582,0","5.498,0","5.630,5","5.457,5","604,94K","1,51%"
"04.09.2022","5.499,0","5.486,5","5.600,0","5.420,5","475,69K","0,25%"
"28.08.2022","5.485,5","5.438,5","5.509,0","5.350,0","465,73K","0,48%"
"21.08.2022","5.459,5","5.243,0","5.469,0","5.196,0","619,90K","4,09%"
"14.08.2022","5.245,0","5.150,0","5.359,5","5.063,0","929,30K","2,16%"
"07.08.2022","5.134,0","4.872,0","5.139,5","4.835,0","723,70K","6,97%"
"31.07.2022","4.799,5","4.889,0","4.975,0","4.720,0","1,30M","-1,83%"
"24.07.2022","4.889,0","4.342,5","4.889,0","4.317,0","1,01M","12,62%"
"17.07.2022","4.341,0","4.379,0","4.425,0","4.225,0","387,26K","-0,89%"
"10.07.2022","4.380,0","4.430,0","4.430,0","4.182,5","403,90K","-1,33%"
"03.07.2022","4.439,0","4.220,0","4.458,0","4.155,0","564,20K","6,84%"
"26.06.2022","4.155,0","4.347,5","4.360,0","4.155,0","484,58K","-4,68%"
"19.06.2022","4.359,0","4.310,5","4.474,0","4.247,0","599,38K","0,93%"
"12.06.2022","4.319,0","4.210,0","4.399,5","4.150,0","390,71K","1,84%"
"05.06.2022","4.241,0","4.362,0","4.488,0","4.120,0","597,71K","-3,22%"
"29.05.2022","4.382,0","4.522,5","4.690,5","4.261,0","404,78K","-3,05%"
"22.05.2022","4.520,0","4.658,5","4.690,0","4.259,0","382,62K","-2,16%"
"15.05.2022","4.620,0","4.650,0","4.923,5","4.610,0","396,18K","-0,37%"
"08.05.2022","4.637,0","4.755,0","4.898,0","4.608,5","290,86K","-2,38%"
"01.05.2022","4.750,0","4.611,0","4.796,5","4.506,0","283,10K","3,43%"
"24.04.2022","4.592,5","4.167,0","4.939,0","4.075,0","1,04M","10,13%"
"17.04.2022","4.170,0","4.100,0","4.330,0","3.850,0","836,08K","2,44%"
"10.04.2022","4.070,5","4.386,5","4.420,0","3.902,0","555,89K","-6,10%"
"03.04.2022","4.335,0","4.365,0","4.422,0","3.901,0","673,84K","2,73%"
"27.03.2022","4.220,0","3.415,0","4.429,0","3.330,0","1,18M","26,42%"
"20.03.2022","3.338,0","3.202,0","4.100,0","3.200,0","824,78K","4,25%"
"20.02.2022","3.202,0","5.037,5","5.186,0","2.414,0","5,95M","-36,49%"
"13.02.2022","5.041,5","4.965,0","5.450,0","4.770,0","2,69M","1,41%"
"06.02.2022","4.971,5","5.308,5","5.357,0","4.925,5","2,12M","-5,93%"
"30.01.2022","5.285,0","4.946,5","5.384,5","4.921,5","2,35M","7,77%"
"23.01.2022","4.904,0","5.060,0","5.090,0","4.651,0","3,17M","-2,82%"
"16.01.2022","5.046,5","5.235,0","5.297,0","4.770,0","3,10M","-3,61%"
"09.01.2022","5.235,5","5.552,5","5.642,5","5.106,0","2,28M","-5,41%"
"02.01.2022","5.535,0","5.460,0","5.602,5","5.360,0","822,39K","1,67%"
"26.12.2021","5.444,0","5.612,5","5.685,0","5.378,0","1,61M","-2,66%"
"19.12.2021","5.592,5","5.659,0","5.659,0","5.483,0","1,42M","-1,45%"
"12.12.2021","5.674,5","5.832,5","5.892,5","5.264,5","2,00M","-2,54%"
"05.12.2021","5.822,5","5.745,0","5.958,0","5.603,0","1,54M","1,87%"
"28.11.2021","5.715,5","5.830,5","5.978,0","5.693,5","1,92M","-1,04%"
"21.11.2021","5.775,5","6.014,0","6.100,0","5.620,0","3,16M","-3,97%"
"14.11.2021","6.014,0","6.592,5","6.640,0","5.796,5","4,36M","-8,44%"
"07.11.2021","6.568,5","6.800,0","7.011,5","6.470,0","2,58M","-3,31%"
"31.10.2021","6.793,5","6.525,0","6.842,0","6.430,0","1,16M","4,97%"
"24.10.2021","6.472,0","6.315,5","6.741,0","6.283,5","1,89M","2,48%"
"17.10.2021","6.315,5","6.270,5","6.419,0","6.142,0","1,43M","0,72%"
"10.10.2021","6.270,5","6.325,0","6.495,0","6.218,5","1,15M","-0,47%"
"03.10.2021","6.300,0","6.000,0","6.408,0","5.928,5","1,80M","4,76%"
"26.09.2021","6.014,0","5.972,0","6.131,5","5.842,5","2,35M","1,17%"
"19.09.2021","5.944,5","5.719,0","6.015,0","5.593,0","2,21M","3,79%"
"12.09.2021","5.727,5","5.300,0","5.750,0","5.291,0","2,73M","7,69%"
"05.09.2021","5.318,5","5.499,5","5.514,5","5.252,0","1,53M","-3,61%"
"29.08.2021","5.517,5","5.601,0","5.634,0","5.452,0","1,13M","-1,49%"
