"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","109,65","109,88","110,47","106,22","3,81M","-0,35%"
"23.04.2023","110,04","111,11","111,80","108,00","5,88M","-0,84%"
"16.04.2023","110,97","112,09","112,81","109,81","2,67M","-0,75%"
"09.04.2023","111,81","112,48","112,50","110,06","4,15M","-0,41%"
"02.04.2023","112,27","112,86","114,94","111,17","4,85M","-0,25%"
"26.03.2023","112,55","113,05","113,45","111,23","8,53M","-0,12%"
"19.03.2023","112,68","113,00","114,45","111,79","27,88M","-0,19%"
"12.03.2023","112,89","117,00","117,39","109,34","83,11M","-3,51%"
"05.03.2023","117,00","119,00","124,92","116,26","79,61M","-0,81%"
"26.02.2023","117,95","109,85","117,99","109,51","43,90M","6,75%"
"19.02.2023","110,49","106,56","110,88","104,52","18,36M","3,15%"
"12.02.2023","107,12","107,97","108,86","101,57","19,41M","-1,00%"
"05.02.2023","108,20","107,16","110,49","106,80","14,11M","0,53%"
"29.01.2023","107,63","103,76","109,11","103,10","22,45M","3,75%"
"22.01.2023","103,74","101,35","104,40","100,52","15,53M","2,52%"
"15.01.2023","101,19","99,35","105,62","99,02","33,36M","2,23%"
"08.01.2023","98,98","95,00","99,65","94,40","16,91M","3,98%"
"01.01.2023","95,19","95,40","96,40","94,90","6,26M","-0,22%"
"25.12.2022","95,40","92,89","95,83","92,51","12,12M","2,74%"
"18.12.2022","92,86","84,95","95,48","84,05","27,66M","9,31%"
"11.12.2022","84,95","88,00","88,43","84,22","8,28M","-3,65%"
"04.12.2022","88,17","87,40","89,70","86,80","9,45M","1,32%"
"27.11.2022","87,02","87,00","87,60","86,32","7,74M","-0,66%"
"20.11.2022","87,60","88,51","88,68","86,31","12,57M","-1,36%"
"13.11.2022","88,81","87,10","89,44","83,62","24,21M","2,36%"
"06.11.2022","86,76","85,24","87,94","84,09","18,56M","2,17%"
"30.10.2022","84,92","86,00","86,29","82,22","13,47M","-0,54%"
"23.10.2022","85,38","83,20","86,47","82,00","20,45M","3,50%"
"16.10.2022","82,49","76,62","83,49","76,06","23,41M","7,93%"
"09.10.2022","76,43","69,70","77,75","69,70","20,91M","4,43%"
"02.10.2022","73,19","77,35","81,65","73,10","24,47M","-4,90%"
"25.09.2022","76,96","82,02","82,74","73,11","30,05M","-8,07%"
"18.09.2022","83,72","95,00","95,54","78,01","32,70M","-11,86%"
"11.09.2022","94,98","95,20","96,69","93,52","15,97M","-0,27%"
"04.09.2022","95,24","95,98","98,49","92,80","25,91M","-0,67%"
"28.08.2022","95,88","89,50","96,78","88,68","32,09M","7,37%"
"21.08.2022","89,30","86,85","89,49","86,21","17,79M","2,92%"
"14.08.2022","86,77","86,00","87,25","84,01","17,00M","1,18%"
"07.08.2022","85,76","86,30","86,30","81,40","14,47M","5,46%"
"31.07.2022","81,32","86,25","86,27","80,77","8,57M","-5,66%"
"24.07.2022","86,20","84,70","87,82","83,85","8,71M","1,64%"
"17.07.2022","84,81","83,27","84,82","81,31","7,73M","2,80%"
"10.07.2022","82,50","85,30","86,10","80,77","15,34M","-3,17%"
"03.07.2022","85,20","85,26","86,68","84,26","9,51M","-0,19%"
"26.06.2022","85,36","89,30","92,17","84,03","20,10M","-4,49%"
"19.06.2022","89,37","86,14","89,50","86,00","13,74M","3,86%"
"12.06.2022","86,05","85,72","87,59","85,06","7,49M","0,41%"
"05.06.2022","85,70","88,70","89,24","85,19","8,26M","-3,38%"
"29.05.2022","88,70","90,99","91,96","84,50","16,85M","-2,15%"
"22.05.2022","90,65","90,00","92,70","86,70","8,22M","1,17%"
"15.05.2022","89,60","88,50","94,40","88,21","9,66M","1,47%"
"08.05.2022","88,30","90,50","90,99","87,80","3,68M","-2,18%"
"01.05.2022","90,27","94,80","96,82","90,00","4,11M","-4,77%"
"24.04.2022","94,79","90,05","97,78","87,70","11,84M","5,26%"
"17.04.2022","90,05","93,70","95,00","87,06","9,21M","-3,84%"
"10.04.2022","93,65","102,74","103,70","90,12","10,54M","-8,45%"
"03.04.2022","102,29","111,91","117,00","100,00","23,24M","-8,22%"
"27.03.2022","111,45","97,10","114,00","86,00","32,98M","15,41%"
"20.03.2022","96,57","94,51","110,10","91,11","11,10M","1,11%"
"20.02.2022","95,51","132,40","135,89","73,37","189,80M","-28,27%"
