"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","0,2129","0,2337","0,2433","0,2120","1,08B","-8,43%"
"23.04.2023","0,2325","0,2228","0,2446","0,2170","219,80M","5,11%"
"16.04.2023","0,2212","0,2226","0,2280","0,2194","136,18M","-0,63%"
"09.04.2023","0,2226","0,2172","0,2387","0,2170","222,29M","3,25%"
"02.04.2023","0,2156","0,2086","0,2410","0,2075","3,71B","4,05%"
"26.03.2023","0,2072","0,2089","0,2109","0,2052","120,93M","-0,34%"
"19.03.2023","0,2079","0,2053","0,2095","0,2020","760,72M","1,76%"
"12.03.2023","0,2043","0,2060","0,2090","0,2026","523,85M","-0,92%"
"05.03.2023","0,2062","0,2140","0,2140","0,2052","571,44M","1,08%"
"26.02.2023","0,2040","0,2007","0,2116","0,1982","1,55B","1,95%"
"19.02.2023","0,2001","0,2010","0,2027","0,1952","466,20M","-0,15%"
"12.02.2023","0,2004","0,2083","0,2210","0,2000","3,33B","-2,77%"
"05.02.2023","0,2061","0,2057","0,2093","0,2047","748,37M","0,59%"
"29.01.2023","0,2049","0,2070","0,2115","0,2030","999,18M","-1,73%"
"22.01.2023","0,2085","0,2165","0,2210","0,2020","1,98B","-2,75%"
"15.01.2023","0,2144","0,2119","0,2196","0,2051","1,47B","2,29%"
"08.01.2023","0,2096","0,2034","0,2482","0,1995","5,28B","3,00%"
"01.01.2023","0,2035","0,2490","0,2490","0,2032","2,56B","-17,84%"
"25.12.2022","0,2477","0,2250","0,2520","0,2240","2,09B","10,73%"
"18.12.2022","0,2237","0,2172","0,2255","0,2143","708,57M","2,80%"
"11.12.2022","0,2176","0,2187","0,2199","0,2140","408,62M","-0,73%"
"04.12.2022","0,2192","0,2182","0,2239","0,2100","462,80M","0,78%"
"27.11.2022","0,2175","0,2136","0,2199","0,2112","669,01M","1,83%"
"20.11.2022","0,2136","0,1930","0,2170","0,1876","1,11B","10,73%"
"13.11.2022","0,1929","0,1886","0,1946","0,1860","210,30M","2,99%"
"06.11.2022","0,1873","0,1853","0,1899","0,1801","237,04M","1,52%"
"30.10.2022","0,1845","0,1818","0,1939","0,1791","398,44M","1,49%"
"23.10.2022","0,1818","0,1643","0,1844","0,1628","360,83M","10,65%"
"16.10.2022","0,1643","0,1596","0,1670","0,1563","101,86M","4,65%"
"09.10.2022","0,1570","0,1406","0,1600","0,1385","169,65M","10,56%"
"02.10.2022","0,1420","0,1480","0,1519","0,1413","146,10M","-0,07%"
"25.09.2022","0,1421","0,1575","0,1575","0,1327","264,62M","-9,20%"
"18.09.2022","0,1565","0,1757","0,1765","0,1500","325,56M","-10,88%"
"11.09.2022","0,1756","0,1743","0,1799","0,1726","159,88M","1,21%"
"04.09.2022","0,1735","0,1724","0,1808","0,1719","253,53M","1,17%"
"28.08.2022","0,1715","0,1692","0,1724","0,1680","237,20M","1,00%"
"21.08.2022","0,1698","0,1708","0,1739","0,1671","140,96M","0,00%"
"14.08.2022","0,1698","0,1685","0,1740","0,1663","128,48M","1,86%"
"07.08.2022","0,1667","0,1599","0,1720","0,1594","215,97M","4,84%"
"31.07.2022","0,1590","0,1684","0,1711","0,1589","233,29M","-6,36%"
"24.07.2022","0,1698","0,1625","0,1720","0,1607","217,40M","4,81%"
"17.07.2022","0,1620","0,1765","0,1767","0,1585","498,91M","-8,27%"
"10.07.2022","0,1766","0,1801","0,1806","0,1736","276,13M","-1,94%"
"03.07.2022","0,1801","0,1735","0,1819","0,1700","282,58M","4,95%"
"26.06.2022","0,1716","0,1929","0,1929","0,1665","967,18M","-10,16%"
"19.06.2022","0,1910","0,2280","0,2354","0,1861","2,26B","-16,01%"
"12.06.2022","0,2274","0,2084","0,2284","0,2027","830,86M","9,64%"
"05.06.2022","0,2074","0,2111","0,2161","0,2017","591,21M","-2,22%"
"29.05.2022","0,2121","0,2050","0,2166","0,2032","392,37M","3,92%"
"22.05.2022","0,2041","0,2003","0,2074","0,1936","597,20M","2,36%"
"15.05.2022","0,1994","0,1900","0,2160","0,1893","1,21B","6,63%"
"08.05.2022","0,1870","0,1815","0,1945","0,1804","263,32M","3,37%"
"01.05.2022","0,1809","0,1616","0,1890","0,1571","469,86M","13,06%"
"24.04.2022","0,1600","0,1540","0,1717","0,1522","496,00M","4,51%"
"17.04.2022","0,1531","0,1580","0,1618","0,1517","228,71M","-3,53%"
"10.04.2022","0,1587","0,1658","0,1745","0,1504","348,53M","-4,28%"
"03.04.2022","0,1658","0,1696","0,1788","0,1586","668,03M","2,54%"
"27.03.2022","0,1617","0,1432","0,1627","0,1290","1,22B","1,70%"
"20.02.2022","0,1590","0,2167","0,2185","0,1285","1,58B","-26,05%"
"13.02.2022","0,2150","0,2195","0,2267","0,2150","416,51M","-3,59%"
"06.02.2022","0,2230","0,2200","0,2310","0,2175","347,79M","2,01%"
"30.01.2022","0,2186","0,2219","0,2385","0,2170","332,92M","-0,86%"
"23.01.2022","0,2205","0,2279","0,2279","0,2101","693,37M","-2,65%"
"16.01.2022","0,2265","0,2403","0,2414","0,2231","531,34M","-5,15%"
"09.01.2022","0,2388","0,2417","0,2526","0,2358","275,62M","-0,58%"
"02.01.2022","0,2402","0,2323","0,2456","0,2314","190,32M","4,25%"
"26.12.2021","0,2304","0,2376","0,2393","0,2300","515,23M","-2,41%"
"19.12.2021","0,2361","0,2381","0,2478","0,2343","270,06M","-0,88%"
"12.12.2021","0,2382","0,2467","0,2487","0,2304","436,19M","-3,48%"
"05.12.2021","0,2468","0,2477","0,2533","0,2444","129,29M","-0,12%"
"28.11.2021","0,2471","0,2514","0,2539","0,2442","162,20M","0,24%"
"21.11.2021","0,2465","0,2591","0,2607","0,2444","485,05M","-5,74%"
"14.11.2021","0,2615","0,2625","0,2675","0,2591","213,53M","-0,98%"
"07.11.2021","0,2641","0,2698","0,2750","0,2603","268,60M","-1,49%"
"31.10.2021","0,2681","0,2686","0,2737","0,2628","164,90M","0,45%"
"24.10.2021","0,2669","0,2728","0,2800","0,2637","362,29M","-1,18%"
"17.10.2021","0,2701","0,2757","0,2839","0,2697","403,64M","-3,09%"
"10.10.2021","0,2787","0,2629","0,2885","0,2560","812,99M","6,70%"
"03.10.2021","0,2612","0,2571","0,2700","0,2490","322,35M","1,12%"
"26.09.2021","0,2583","0,2661","0,2661","0,2544","172,40M","-1,11%"
"19.09.2021","0,2612","0,2694","0,2699","0,2554","491,96M","-4,88%"
"12.09.2021","0,2746","0,2723","0,2887","0,2723","799,49M","0,40%"
"05.09.2021","0,2735","0,2591","0,2738","0,2575","480,92M","6,05%"
"29.08.2021","0,2579","0,2552","0,2600","0,2482","270,58M","0,78%"
