"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","226,00","241,35","260,25","200,55","130,15K","-6,24%"
"23.04.2023","241,05","262,25","262,25","240,10","179,88K","-7,56%"
"16.04.2023","260,75","266,00","278,40","256,70","121,89K","-1,32%"
"09.04.2023","264,25","263,20","283,00","242,00","2,53M","2,42%"
"02.04.2023","258,00","228,00","283,45","225,00","991,79K","14,51%"
"26.03.2023","225,30","219,70","239,25","216,55","307,25K","4,16%"
"19.03.2023","216,30","177,95","248,70","174,00","12,67M","22,17%"
"12.03.2023","177,05","168,55","213,55","162,60","4,70M","4,98%"
"05.03.2023","168,65","171,40","180,00","162,05","1,64M","-0,62%"
"26.02.2023","169,70","141,20","175,45","139,20","5,12M","20,61%"
"19.02.2023","140,70","140,00","151,40","135,00","1,43M","1,59%"
"12.02.2023","138,50","142,20","167,10","130,25","3,39M","-3,85%"
"05.02.2023","144,05","102,75","299,00","102,00","49,78M","41,57%"
"29.01.2023","101,75","99,85","113,80","99,50","3,36M","2,26%"
"22.01.2023","99,50","99,25","102,15","96,65","395,03K","0,25%"
"15.01.2023","99,25","105,85","105,90","98,00","704,57K","-2,22%"
"08.01.2023","101,50","99,00","126,25","95,00","6,79M","4,64%"
"01.01.2023","97,00","81,75","117,50","81,20","4,15M","19,16%"
"25.12.2022","81,40","81,40","87,00","81,00","499,39K","-0,12%"
"18.12.2022","81,50","79,90","110,55","78,25","3,59M","2,52%"
"11.12.2022","79,50","81,40","81,95","79,05","15,82K","-2,75%"
"04.12.2022","81,75","81,95","85,95","81,00","34,16K","0,31%"
"27.11.2022","81,50","82,55","87,00","79,35","80,69K","-0,06%"
"20.11.2022","81,55","82,75","83,15","80,10","14,06K","-0,37%"
"13.11.2022","81,85","82,20","84,00","79,70","27,83K","-0,37%"
"06.11.2022","82,15","82,00","87,00","81,00","1,96K","-1,02%"
"30.10.2022","83,00","82,00","85,25","79,50","30,36K","-0,78%"
"23.10.2022","83,65","82,60","84,90","82,00","15,26K","1,33%"
"16.10.2022","82,55","82,05","86,15","78,00","36,72K","-1,14%"
"09.10.2022","83,50","76,50","85,00","76,15","25,97K","9,51%"
"02.10.2022","76,25","77,50","86,35","76,00","47,82K","-1,17%"
"25.09.2022","77,15","79,10","79,10","68,95","36,78K","-2,59%"
"18.09.2022","79,20","88,00","89,15","78,55","50,17K","-9,64%"
"11.09.2022","87,65","88,00","89,30","83,00","78,62K","1,68%"
"04.09.2022","86,20","81,55","90,50","81,05","282,49K","6,42%"
"28.08.2022","81,00","81,60","81,85","80,05","22,44K","-1,16%"
"21.08.2022","81,95","80,30","82,95","79,20","43,03K","2,31%"
"14.08.2022","80,10","80,35","80,35","77,80","17,26K","1,01%"
"07.08.2022","79,30","76,45","80,10","76,05","22,72K","4,27%"
"31.07.2022","76,05","78,30","78,90","75,85","11,09K","-2,50%"
"24.07.2022","78,00","77,95","79,00","75,95","15,06K","0,19%"
"17.07.2022","77,85","76,90","79,50","75,90","16,98K","2,23%"
"10.07.2022","76,15","80,75","80,80","75,00","25,95K","-5,05%"
"03.07.2022","80,20","78,10","87,00","78,10","54,63K","1,52%"
"26.06.2022","79,00","80,95","82,10","75,75","34,46K","-1,13%"
"19.06.2022","79,90","77,65","90,80","75,85","282,46K","5,27%"
"12.06.2022","75,90","73,05","76,75","73,05","13,43K","2,22%"
"05.06.2022","74,25","73,15","75,60","73,15","12,05K","0,47%"
"29.05.2022","73,90","76,80","76,80","72,50","16,38K","-2,12%"
"22.05.2022","75,50","76,50","77,70","73,05","15,47K","-1,05%"
"15.05.2022","76,30","76,45","77,75","74,20","15,69K","0,46%"
"08.05.2022","75,95","78,40","78,40","74,05","10,56K","-2,00%"
"01.05.2022","77,50","77,30","78,90","77,05","4,56K","-0,58%"
"24.04.2022","77,95","78,70","82,95","76,15","24,60K","-3,41%"
"17.04.2022","80,70","79,15","81,90","77,60","19,68K","1,89%"
"10.04.2022","79,20","80,00","83,30","77,60","17,92K","-2,88%"
"03.04.2022","81,55","85,75","86,35","80,05","20,56K","-2,97%"
"27.03.2022","84,05","77,50","87,00","75,05","67,79K","10,59%"
"20.02.2022","76,00","81,95","82,30","71,85","93,46K","-6,69%"
"13.02.2022","81,45","81,65","84,40","81,20","19,84K","-0,55%"
"06.02.2022","81,90","82,10","82,55","81,15","26,66K","-0,79%"
"30.01.2022","82,55","84,00","84,50","82,05","13,50K","-0,48%"
"23.01.2022","82,95","82,55","84,05","81,15","43,43K","0,42%"
"16.01.2022","82,60","84,40","85,00","82,25","43,40K","-1,78%"
"09.01.2022","84,10","85,45","87,50","82,40","78,38K","-1,52%"
"02.01.2022","85,40","85,40","85,50","83,30","15,26K","2,34%"
"26.12.2021","83,45","85,20","85,45","83,25","31,51K","-2,05%"
"19.12.2021","85,20","85,05","85,85","84,25","21,92K","-0,76%"
"12.12.2021","85,85","88,80","89,85","84,00","52,09K","-4,02%"
"05.12.2021","89,45","88,35","91,95","87,70","23,24K","0,56%"
"28.11.2021","88,95","89,65","90,00","88,00","12,36K","0,91%"
"21.11.2021","88,15","92,70","92,95","88,00","37,05K","-3,66%"
"14.11.2021","91,50","90,65","93,20","90,15","18,16K","-0,81%"
"07.11.2021","92,25","93,10","93,55","90,70","21,79K","0,49%"
