"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","266,10","273,75","276,50","264,70","1,52M","-2,22%"
"23.04.2023","272,15","266,40","274,15","265,50","968,12K","2,16%"
"16.04.2023","266,40","260,15","272,00","260,10","1,26M","2,44%"
"09.04.2023","260,05","258,35","263,40","256,45","1,82M","0,99%"
"02.04.2023","257,50","258,00","258,70","251,80","1,41M","-0,14%"
"26.03.2023","257,85","253,10","259,95","250,70","1,92M","2,02%"
"19.03.2023","252,75","248,55","256,85","246,50","8,25M","1,87%"
"12.03.2023","248,10","257,70","258,30","245,05","9,55M","-3,73%"
"05.03.2023","257,70","259,65","261,00","255,20","3,85M","-0,75%"
"26.02.2023","259,65","247,55","261,00","246,30","8,43M","3,38%"
"19.02.2023","251,15","249,80","252,40","242,50","3,65M","0,70%"
"12.02.2023","249,40","257,65","260,80","241,25","7,24M","-3,20%"
"05.02.2023","257,65","254,80","265,00","253,40","7,25M","0,96%"
"29.01.2023","255,20","242,20","257,95","241,50","6,58M","5,39%"
"22.01.2023","242,15","241,50","242,30","237,40","5,39M","0,94%"
"15.01.2023","239,90","239,50","242,65","235,35","5,05M","0,29%"
"08.01.2023","239,20","236,65","240,50","234,45","5,03M","1,14%"
"01.01.2023","236,50","236,45","236,90","234,25","1,11M","0,04%"
"25.12.2022","236,40","226,55","236,60","225,20","5,35M","4,14%"
"18.12.2022","227,00","226,20","229,85","221,20","6,49M","0,04%"
"11.12.2022","226,90","233,65","234,05","220,80","4,59M","-2,89%"
"04.12.2022","233,65","233,65","234,90","231,30","3,31M","-0,02%"
"27.11.2022","233,70","236,25","237,90","232,30","4,58M","-1,08%"
"20.11.2022","236,25","230,40","237,85","225,85","5,99M","2,52%"
"13.11.2022","230,45","236,40","238,95","221,10","8,60M","-1,94%"
"06.11.2022","235,00","223,30","235,50","222,80","7,11M","5,71%"
"30.10.2022","222,30","224,95","229,00","220,05","4,37M","-0,98%"
"23.10.2022","224,50","217,25","225,00","215,00","7,47M","4,03%"
"16.10.2022","215,80","209,50","223,15","207,20","10,20M","3,60%"
"09.10.2022","208,30","190,25","212,40","190,25","11,36M","6,17%"
