"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","110,20","122,30","122,30","109,40","140,10K","-9,15%"
"23.04.2023","121,30","121,80","129,05","121,15","99,18K","-0,16%"
"16.04.2023","121,50","127,50","128,00","120,00","120,59K","-4,18%"
"09.04.2023","126,80","123,05","136,95","116,50","380,15K","4,06%"
"02.04.2023","121,85","119,00","124,55","117,75","386,49K","2,52%"
"26.03.2023","118,85","122,30","122,75","118,15","160,14K","-1,86%"
"19.03.2023","121,10","115,90","122,85","115,00","1,57M","4,49%"
"12.03.2023","115,90","118,95","120,65","114,30","963,44K","-2,56%"
"05.03.2023","118,95","118,70","127,30","117,20","2,78M","1,62%"
"26.02.2023","117,05","111,60","121,75","110,20","2,34M","3,04%"
"19.02.2023","113,60","115,90","117,95","107,05","2,33M","-0,09%"
"12.02.2023","113,70","108,85","148,00","107,00","46,04M","5,62%"
"05.02.2023","107,65","104,00","119,40","101,45","7,54M","5,54%"
"29.01.2023","102,00","100,20","108,60","99,00","2,13M","2,56%"
"22.01.2023","99,45","91,30","124,10","89,15","13,78M","11,30%"
"15.01.2023","89,35","90,00","92,00","87,15","259,04K","0,56%"
"08.01.2023","88,85","86,10","96,50","85,10","1,28M","4,65%"
"01.01.2023","84,90","84,15","87,50","83,75","157,01K","0,95%"
"25.12.2022","84,10","82,90","85,90","82,05","390,00K","2,00%"
"18.12.2022","82,45","80,70","83,80","78,20","184,40K","1,98%"
"11.12.2022","80,85","87,20","87,35","80,25","205,16K","-7,12%"
"04.12.2022","87,05","86,45","88,40","85,10","210,26K","0,58%"
"27.11.2022","86,55","85,05","98,80","83,60","637,40K","1,76%"
"20.11.2022","85,05","88,60","90,50","84,40","96,85K","-4,65%"
"13.11.2022","89,20","90,45","92,00","86,75","96,98K","-0,39%"
"06.11.2022","89,55","89,75","92,90","86,10","160,62K","-1,05%"
"30.10.2022","90,50","88,85","91,65","87,80","143,19K","3,19%"
"23.10.2022","87,70","85,90","90,00","82,25","292,27K","2,04%"
