"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","127,34","136,70","137,90","126,70","5,75M","-7,24%"
"23.04.2023","137,28","139,90","140,00","135,60","2,88M","-1,89%"
"16.04.2023","139,92","131,98","142,30","131,24","2,94M","6,53%"
"09.04.2023","131,34","132,00","132,38","128,44","2,51M","-0,03%"
"02.04.2023","131,38","130,44","135,44","128,00","9,24M","0,72%"
"26.03.2023","130,44","127,00","134,30","126,56","5,21M","3,11%"
"19.03.2023","126,50","125,40","128,58","123,92","14,86M","1,12%"
"12.03.2023","125,10","127,00","127,20","120,80","17,97M","-1,22%"
"05.03.2023","126,64","128,50","129,10","125,22","13,68M","-1,31%"
"26.02.2023","128,32","119,88","128,90","117,84","26,64M","6,93%"
"19.02.2023","120,00","117,22","122,44","114,40","16,99M","2,18%"
"12.02.2023","117,44","125,04","127,48","115,20","24,93M","-6,05%"
"05.02.2023","125,00","120,40","125,70","118,34","23,75M","3,92%"
"29.01.2023","120,28","113,76","120,88","113,76","20,86M","5,73%"
"22.01.2023","113,76","112,30","113,98","110,72","9,23M","1,59%"
"15.01.2023","111,98","112,20","114,52","110,58","16,98M","-0,16%"
"08.01.2023","112,16","111,90","112,40","108,64","16,05M","0,74%"
"01.01.2023","111,34","113,00","115,20","110,88","14,90M","-5,45%"
"25.12.2022","117,76","114,60","118,32","113,78","14,84M","2,74%"
"18.12.2022","114,62","108,50","117,00","107,68","28,49M","5,78%"
"11.12.2022","108,36","107,38","109,82","106,06","20,56M","1,80%"
"04.12.2022","106,44","105,50","108,96","104,72","19,60M","0,95%"
"27.11.2022","105,44","104,90","107,20","103,52","12,23M","0,04%"
"20.11.2022","105,40","105,80","107,96","103,16","18,25M","-0,47%"
"13.11.2022","105,90","107,70","109,50","101,30","26,31M","-1,03%"
"06.11.2022","107,00","105,00","111,50","103,12","40,01M","2,88%"
"30.10.2022","104,00","106,26","106,26","98,52","28,33M","-1,87%"
"23.10.2022","105,98","94,52","107,24","92,02","56,84M","12,36%"
"16.10.2022","94,32","83,10","94,50","82,14","53,24M","14,38%"
"09.10.2022","82,46","71,98","83,86","70,40","46,61M","11,58%"
"02.10.2022","73,90","85,46","88,26","73,20","62,02M","-12,96%"
"25.09.2022","84,90","90,36","91,14","75,00","68,70M","-7,33%"
"18.09.2022","91,62","117,24","117,96","90,02","51,96M","-21,79%"
"11.09.2022","117,14","117,50","121,70","115,32","25,49M","-0,53%"
"04.09.2022","117,76","123,00","126,00","116,00","28,62M","-3,87%"
"28.08.2022","122,50","115,02","123,96","114,58","28,35M","6,52%"
"21.08.2022","115,00","115,10","117,78","113,52","15,53M","0,09%"
"14.08.2022","114,90","117,68","118,48","113,78","18,35M","-1,93%"
"07.08.2022","117,16","122,50","122,50","115,00","17,88M","-2,45%"
"31.07.2022","120,10","131,94","136,36","119,36","21,51M","-7,62%"
"24.07.2022","130,00","117,02","130,00","116,80","17,93M","10,69%"
"17.07.2022","117,44","129,40","130,04","114,00","12,94M","-9,51%"
"10.07.2022","129,78","138,00","138,50","124,70","7,59M","-5,96%"
"03.07.2022","138,00","135,00","140,50","132,48","7,88M","3,68%"
"26.06.2022","133,10","135,70","140,18","131,08","12,54M","-2,06%"
"19.06.2022","135,90","130,34","138,92","130,02","12,57M","4,44%"
"12.06.2022","130,12","129,50","132,48","127,30","7,39M","-0,44%"
"05.06.2022","130,70","130,02","139,48","124,50","13,11M","0,52%"
"29.05.2022","130,02","149,92","150,00","124,12","16,41M","-13,24%"
"22.05.2022","149,86","157,02","157,84","146,80","6,30M","-3,90%"
"15.05.2022","155,94","155,88","162,48","155,04","7,15M","0,54%"
"08.05.2022","155,10","160,52","160,90","155,00","2,61M","-4,26%"
"01.05.2022","162,00","160,48","162,00","155,00","2,35M","2,14%"
"24.04.2022","158,60","155,46","162,00","149,40","7,39M","1,76%"
"17.04.2022","155,86","155,00","159,50","143,00","9,06M","0,41%"
"10.04.2022","155,22","161,16","161,44","145,60","8,60M","-3,67%"
"03.04.2022","161,14","173,40","177,82","158,10","13,25M","-6,96%"
"27.03.2022","173,20","173,42","181,46","152,00","23,47M","0,12%"
"20.03.2022","173,00","170,00","212,22","161,00","14,25M","-2,54%"
"20.02.2022","177,50","226,90","230,50","142,00","119,61M","-21,77%"
"13.02.2022","226,90","220,96","236,50","216,54","71,64M","2,46%"
"06.02.2022","221,46","216,50","233,30","215,44","84,65M","2,17%"
"30.01.2022","216,76","210,74","221,92","210,74","51,40M","2,87%"
"23.01.2022","210,72","207,80","212,70","191,74","66,13M","1,86%"
"16.01.2022","206,88","214,00","216,72","198,50","71,34M","-3,33%"
"09.01.2022","214,00","214,62","221,52","210,50","46,06M","0,08%"
"02.01.2022","213,82","217,04","219,40","211,80","25,90M","-1,48%"
"26.12.2021","217,04","212,40","217,90","211,90","23,15M","2,18%"
"19.12.2021","212,40","210,32","217,70","207,14","41,21M","0,81%"
"12.12.2021","210,70","212,20","213,64","184,80","66,54M","-0,71%"
"05.12.2021","212,20","207,16","214,06","202,50","66,24M","-3,28%"
"28.11.2021","219,40","219,02","222,10","214,10","84,76M","0,95%"
"21.11.2021","217,34","223,00","225,24","212,34","61,49M","-2,35%"
"14.11.2021","222,56","219,20","226,80","215,40","48,37M","0,71%"
"07.11.2021","220,98","222,68","229,38","219,30","67,60M","-0,29%"
"31.10.2021","221,62","223,90","228,10","219,22","35,87M","-0,89%"
"24.10.2021","223,60","227,00","234,46","221,16","71,26M","-0,83%"
"17.10.2021","225,48","211,84","228,40","209,20","90,83M","6,58%"
"10.10.2021","211,56","222,60","224,88","210,10","65,67M","-4,66%"
"03.10.2021","221,90","211,54","224,60","200,72","109,63M","4,42%"
"26.09.2021","212,50","225,50","227,20","211,50","45,20M","-5,35%"
"19.09.2021","224,50","219,00","227,60","211,02","73,69M","1,54%"
"12.09.2021","221,10","232,00","235,86","220,22","60,89M","-4,39%"
"05.09.2021","231,24","233,88","238,48","225,50","61,24M","-6,12%"
"29.08.2021","246,32","246,82","253,56","241,40","73,96M","-0,18%"
