"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","1.222,00","1.289,00","1.296,80","1.218,00","679,35K","-8,86%"
"23.04.2023","1.340,80","1.325,60","1.349,40","1.299,00","2,00M","1,47%"
"16.04.2023","1.321,40","1.301,20","1.329,00","1.286,40","970,81K","1,96%"
"09.04.2023","1.296,00","1.231,20","1.296,40","1.206,00","1,79M","5,52%"
"02.04.2023","1.228,20","1.165,60","1.228,40","1.159,20","1,10M","6,32%"
"26.03.2023","1.155,20","1.148,00","1.176,40","1.135,80","1,12M","1,17%"
"19.03.2023","1.141,80","1.081,20","1.166,00","1.062,00","10,28M","6,25%"
"12.03.2023","1.074,60","1.066,80","1.088,80","1.038,20","7,92M","1,00%"
"05.03.2023","1.064,00","1.080,00","1.084,20","1.058,20","3,55M","-0,76%"
"26.02.2023","1.072,20","1.042,60","1.078,00","1.040,00","5,26M","2,84%"
"19.02.2023","1.042,60","1.032,00","1.054,60","1.015,80","2,85M","1,09%"
"12.02.2023","1.031,40","1.084,00","1.093,00","1.012,80","4,93M","-4,82%"
"05.02.2023","1.083,60","1.032,00","1.116,40","1.030,20","9,01M","5,18%"
"29.01.2023","1.030,20","1.024,60","1.034,80","1.019,00","2,65M","0,74%"
"22.01.2023","1.022,60","1.029,80","1.031,00","1.009,00","3,07M","-0,49%"
"15.01.2023","1.027,60","1.044,00","1.054,00","1.008,00","3,65M","-1,38%"
"08.01.2023","1.042,00","1.054,40","1.059,60","1.030,60","2,74M","-1,01%"
"01.01.2023","1.052,60","1.078,40","1.087,00","1.038,60","1,51M","-2,39%"
"25.12.2022","1.078,40","1.056,20","1.080,00","1.045,20","3,20M","2,90%"
"18.12.2022","1.048,00","1.017,20","1.074,80","1.000,00","5,10M","3,15%"
"11.12.2022","1.016,00","1.044,80","1.044,80","1.003,20","3,26M","-2,55%"
"04.12.2022","1.042,60","1.048,60","1.060,00","1.026,80","3,52M","-0,33%"
"27.11.2022","1.046,00","1.058,00","1.065,00","1.028,00","4,72M","-1,82%"
"20.11.2022","1.065,40","1.089,80","1.099,00","1.058,00","3,09M","-2,45%"
"13.11.2022","1.092,20","1.116,80","1.128,60","1.052,40","3,78M","-1,87%"
"06.11.2022","1.113,00","1.115,20","1.147,00","1.086,40","4,52M","0,45%"
"30.10.2022","1.108,00","1.111,00","1.133,60","1.081,80","3,57M","0,16%"
"23.10.2022","1.106,20","1.014,80","1.110,00","995,20","5,72M","9,79%"
"16.10.2022","1.007,60","980,00","1.022,00","967,40","5,18M","3,45%"
"09.10.2022","974,00","855,00","990,00","855,00","5,08M","7,46%"
"02.10.2022","906,40","978,00","1.025,00","902,00","6,42M","-6,46%"
"25.09.2022","969,00","935,00","998,00","821,60","11,81M","1,91%"
"18.09.2022","950,80","1.174,80","1.186,60","900,00","13,09M","-19,42%"
"11.09.2022","1.180,00","1.157,20","1.198,00","1.155,00","4,73M","1,72%"
"04.09.2022","1.160,00","1.158,00","1.216,80","1.140,80","9,04M","0,97%"
"28.08.2022","1.148,80","1.156,20","1.175,00","1.115,40","7,02M","-0,64%"
"21.08.2022","1.156,20","1.087,00","1.176,20","1.076,40","7,61M","6,56%"
"14.08.2022","1.085,00","1.034,80","1.129,00","1.028,40","6,57M","4,73%"
"07.08.2022","1.036,00","986,00","1.048,00","986,00","4,71M","6,26%"
"31.07.2022","975,00","1.055,20","1.056,80","961,60","4,81M","-7,32%"
"24.07.2022","1.052,00","947,00","1.061,80","928,00","8,60M","11,44%"
"17.07.2022","944,00","959,60","964,20","902,00","3,40M","-0,94%"
"10.07.2022","953,00","994,80","997,80","905,20","6,10M","-4,03%"
"03.07.2022","993,00","1.060,60","1.096,00","963,00","7,75M","-6,34%"
"26.06.2022","1.060,20","1.005,80","1.076,00","970,20","7,48M","5,70%"
"19.06.2022","1.003,00","885,00","1.047,00","880,40","16,70M","14,52%"
"12.06.2022","875,80","797,00","897,40","791,00","5,56M","9,75%"
"05.06.2022","798,00","825,00","846,00","761,20","8,00M","-2,33%"
"29.05.2022","817,00","965,00","969,80","811,00","4,36M","-14,91%"
"22.05.2022","960,20","989,00","994,00","928,60","2,33M","-3,09%"
"15.05.2022","990,80","970,80","1.029,00","968,80","2,11M","2,04%"
"08.05.2022","971,00","990,00","1.009,60","944,00","1,55M","-1,82%"
"01.05.2022","989,00","1.037,00","1.054,80","985,00","2,14M","-8,09%"
"24.04.2022","1.076,00","975,00","1.144,00","944,00","5,91M","10,90%"
"17.04.2022","970,20","1.065,00","1.112,40","956,00","5,61M","-8,12%"
"10.04.2022","1.056,00","1.197,20","1.198,00","985,60","3,15M","-12,04%"
"03.04.2022","1.200,60","1.390,00","1.408,00","1.175,00","3,17M","-13,63%"
"27.03.2022","1.390,00","1.410,00","1.509,80","1.314,20","3,30M","-0,71%"
"20.03.2022","1.400,00","1.130,00","1.449,00","1.130,00","2,34M","23,46%"
"20.02.2022","1.134,00","1.492,80","1.544,00","654,00","24,95M","-24,04%"
"13.02.2022","1.492,80","1.552,60","1.656,40","1.479,40","13,61M","-4,10%"
"06.02.2022","1.556,60","1.628,40","1.678,80","1.535,20","6,79M","-4,41%"
"30.01.2022","1.628,40","1.605,00","1.670,00","1.567,40","8,18M","2,32%"
"23.01.2022","1.591,40","1.596,20","1.645,00","1.462,00","15,42M","-0,09%"
"16.01.2022","1.592,80","1.730,00","1.745,00","1.514,20","15,65M","-7,72%"
"09.01.2022","1.726,00","1.771,00","1.834,60","1.687,20","10,80M","-1,32%"
"02.01.2022","1.749,00","1.720,00","1.800,80","1.692,60","4,39M","1,72%"
"26.12.2021","1.719,40","1.657,40","1.743,60","1.650,40","4,70M","4,04%"
"19.12.2021","1.652,60","1.640,60","1.735,80","1.618,00","6,93M","-0,82%"
"12.12.2021","1.666,20","1.685,40","1.696,40","1.471,20","9,88M","-0,62%"
"05.12.2021","1.676,60","1.715,00","1.744,40","1.636,60","7,43M","-2,24%"
"28.11.2021","1.715,00","1.633,40","1.757,60","1.602,40","11,15M","6,44%"
"21.11.2021","1.611,20","1.627,80","1.696,60","1.530,80","17,49M","-0,79%"
"14.11.2021","1.624,00","1.775,60","1.800,00","1.616,00","11,88M","-8,77%"
"07.11.2021","1.780,20","1.794,80","1.814,60","1.741,20","6,23M","-0,09%"
"31.10.2021","1.781,80","1.798,40","1.855,60","1.776,60","3,57M","-1,27%"
"24.10.2021","1.804,80","1.848,00","1.863,60","1.771,00","7,29M","-1,73%"
"17.10.2021","1.836,60","1.901,00","1.906,60","1.827,00","6,16M","-3,62%"
"10.10.2021","1.905,60","1.908,40","1.928,40","1.837,00","6,49M","-0,04%"
"03.10.2021","1.906,40","1.934,60","2.003,80","1.885,20","10,85M","-1,31%"
"26.09.2021","1.931,80","1.930,00","1.941,20","1.826,60","13,74M","2,50%"
