"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","7.061,0","7.250,0","7.300,0","7.014,0","28,00K","-2,95%"
"23.04.2023","7.276,0","7.330,0","7.384,0","7.230,0","26,81K","-0,74%"
"16.04.2023","7.330,0","7.190,0","7.390,0","7.174,0","62,45K","2,02%"
"09.04.2023","7.185,0","7.213,0","7.265,0","7.093,0","53,26K","-0,39%"
"02.04.2023","7.213,0","7.080,0","7.375,0","7.080,0","78,45K","-3,88%"
"26.03.2023","7.504,0","7.385,0","7.513,0","7.083,0","196,69K","1,75%"
"19.03.2023","7.375,0","7.081,0","7.395,0","7.050,0","512,04K","4,48%"
"12.03.2023","7.059,0","7.041,0","7.133,0","6.952,0","395,05K","0,26%"
"05.03.2023","7.041,0","7.120,0","7.185,0","7.028,0","438,17K","-0,69%"
"26.02.2023","7.090,0","6.676,0","7.094,0","6.656,0","844,24K","6,22%"
"19.02.2023","6.675,0","6.380,0","6.799,0","6.286,0","234,94K","4,41%"
"12.02.2023","6.393,0","6.850,0","6.893,0","6.330,0","304,11K","-6,56%"
"05.02.2023","6.842,0","6.666,0","7.000,0","6.414,0","496,99K","2,67%"
"29.01.2023","6.664,0","6.424,0","6.700,0","6.406,0","306,52K","3,87%"
"22.01.2023","6.416,0","6.310,0","6.440,0","6.299,0","139,39K","1,49%"
"15.01.2023","6.322,0","6.399,0","6.440,0","6.300,0","152,95K","-0,64%"
"08.01.2023","6.363,0","6.470,0","6.477,0","6.280,0","227,98K","-1,91%"
"01.01.2023","6.487,0","6.400,0","6.576,0","6.390,0","106,20K","1,52%"
"25.12.2022","6.390,0","6.233,0","6.408,0","6.197,0","215,40K","3,00%"
"18.12.2022","6.204,0","6.080,0","6.317,0","5.800,0","362,22K","2,01%"
"11.12.2022","6.082,0","6.356,0","6.405,0","5.970,0","370,23K","-4,30%"
"04.12.2022","6.355,0","6.376,0","6.415,0","6.311,0","152,75K","-0,34%"
"27.11.2022","6.377,0","6.405,0","6.490,0","6.336,0","174,26K","-0,59%"
"20.11.2022","6.415,0","6.432,0","6.457,0","6.301,0","213,62K","-0,26%"
"13.11.2022","6.432,0","6.491,0","6.545,0","6.161,0","442,42K","-0,33%"
"06.11.2022","6.453,0","6.700,0","6.700,0","6.301,0","521,77K","-2,64%"
"30.10.2022","6.628,0","6.301,0","6.679,0","6.286,0","794,56K","5,64%"
"23.10.2022","6.274,0","6.148,0","6.486,0","6.068,0","514,43K","2,68%"
"16.10.2022","6.110,0","5.770,0","6.280,0","5.765,0","390,26K","6,17%"
"09.10.2022","5.755,0","5.570,0","5.920,0","5.365,0","443,94K","1,23%"
"02.10.2022","5.685,0","6.305,0","6.382,0","5.685,0","552,44K","-9,83%"
"25.09.2022","6.305,0","7.150,0","7.200,0","6.002,0","961,05K","-12,28%"
