"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","645,40","685,90","692,60","645,00","166,68K","-6,31%"
"23.04.2023","688,90","659,30","718,90","656,50","390,97K","4,49%"
"16.04.2023","659,30","659,00","672,90","650,00","96,49K","0,72%"
"09.04.2023","654,60","660,60","677,30","647,10","119,07K","-0,68%"
"02.04.2023","659,10","654,80","666,50","642,80","106,26K","0,67%"
"26.03.2023","654,70","644,80","669,50","640,20","253,03K","1,93%"
"19.03.2023","642,30","622,00","650,00","620,60","1,14M","2,57%"
"12.03.2023","626,20","623,10","629,00","605,90","716,33K","0,84%"
"05.03.2023","621,00","622,00","632,40","614,60","455,21K","-0,22%"
"26.02.2023","622,40","615,50","630,00","609,30","796,43K","0,78%"
"19.02.2023","617,60","602,50","628,50","591,00","901,50K","2,51%"
"12.02.2023","602,50","631,50","637,00","593,90","925,92K","-4,43%"
"05.02.2023","630,40","619,60","634,90","615,50","773,22K","2,17%"
"29.01.2023","617,00","612,60","631,60","606,50","947,84K","1,03%"
"22.01.2023","610,70","604,30","619,60","603,20","520,51K","1,08%"
"15.01.2023","604,20","600,50","622,00","600,50","1,21M","0,60%"
"08.01.2023","600,60","602,00","608,80","590,00","700,77K","-0,30%"
"01.01.2023","602,40","603,20","609,70","599,70","215,35K","-0,02%"
"25.12.2022","602,50","602,90","608,00","595,00","545,70K","0,79%"
"18.12.2022","597,80","607,30","610,90","580,10","994,58K","-1,34%"
"11.12.2022","605,90","595,00","622,30","584,20","1,38M","1,63%"
"04.12.2022","596,20","601,00","602,90","581,80","1,33M","-0,80%"
"27.11.2022","601,00","613,50","625,60","595,80","745,61K","-3,24%"
"20.11.2022","621,10","626,50","632,90","613,10","589,71K","-0,56%"
"13.11.2022","624,60","595,10","664,40","592,10","4,85M","5,06%"
"06.11.2022","594,50","614,10","618,50","580,00","1,20M","-2,19%"
"30.10.2022","607,80","618,10","621,60","602,00","758,30K","-1,67%"
"23.10.2022","618,10","618,00","638,10","611,00","1,56M","1,06%"
"16.10.2022","611,60","610,00","641,90","595,00","2,28M","-0,15%"
"09.10.2022","612,50","508,00","639,40","500,00","5,04M","16,44%"
"02.10.2022","526,00","563,40","584,80","516,10","3,27M","-5,85%"
"25.09.2022","558,70","585,00","589,90","487,50","4,72M","-6,07%"
"18.09.2022","594,80","786,30","789,90","555,10","5,16M","-24,10%"
"11.09.2022","783,70","766,00","819,60","763,70","4,84M","2,07%"
"04.09.2022","767,80","773,30","777,00","733,30","1,07M","-0,03%"
"28.08.2022","768,00","728,50","786,00","717,10","3,35M","5,67%"
"21.08.2022","726,80","725,00","731,00","685,00","1,06M","0,80%"
"14.08.2022","721,00","730,10","738,60","710,20","1,10M","-1,07%"
"07.08.2022","728,80","737,00","764,90","720,50","989,14K","-0,45%"
"31.07.2022","732,10","770,00","774,00","701,70","868,26K","-5,05%"
"24.07.2022","771,00","780,00","790,00","745,10","1,14M","-0,64%"
"17.07.2022","776,00","742,50","797,50","739,90","2,62M","4,96%"
"10.07.2022","739,30","747,00","755,00","711,00","1,66M","-2,34%"
"03.07.2022","757,00","780,10","790,00","720,00","2,11M","-2,95%"
"26.06.2022","780,00","714,00","845,60","703,20","12,50M","10,01%"
"19.06.2022","709,00","587,00","728,80","580,00","5,59M","22,60%"
"12.06.2022","578,30","555,00","588,60","540,00","829,25K","4,20%"
"05.06.2022","555,00","542,10","594,70","520,00","1,55M","2,46%"
"29.05.2022","541,70","569,00","575,00","523,00","569,18K","-3,46%"
"22.05.2022","561,10","554,90","586,40","527,00","3,71M","2,92%"
"15.05.2022","545,20","534,30","599,00","530,60","8,21M","2,04%"
"08.05.2022","534,30","531,20","547,00","510,60","1,88M","0,62%"
"01.05.2022","531,00","562,00","570,60","523,00","1,15M","-5,20%"
"24.04.2022","560,10","547,00","577,00","530,00","2,08M","1,84%"
"17.04.2022","550,00","568,20","570,00","515,00","1,06M","-2,74%"
"10.04.2022","565,50","599,00","647,40","565,00","1,23M","-5,75%"
"03.04.2022","600,00","683,00","700,00","561,00","1,67M","-10,73%"
"27.03.2022","672,10","498,60","687,20","451,50","2,51M","34,80%"
"20.03.2022","498,60","470,50","579,40","450,00","589,50K","0,73%"
"20.02.2022","495,00","870,00","909,90","380,10","9,82M","-43,78%"
"13.02.2022","880,50","930,00","968,80","853,30","4,19M","-5,32%"
"06.02.2022","930,00","949,00","972,60","891,00","3,58M","-1,59%"
"30.01.2022","945,00","919,00","1.030,00","904,00","4,08M","3,75%"
"23.01.2022","910,80","1.071,00","1.071,00","830,00","9,30M","-15,00%"
"16.01.2022","1.071,50","1.233,00","1.249,90","1.046,60","3,47M","-12,44%"
"09.01.2022","1.223,80","1.149,00","1.269,20","1.130,00","4,26M","7,13%"
"02.01.2022","1.142,30","1.102,40","1.198,00","1.102,40","1,79M","3,62%"
"26.12.2021","1.102,40","1.002,60","1.120,00","1.000,00","2,32M","9,95%"
"19.12.2021","1.002,60","1.070,00","1.070,00","1.001,00","1,93M","-6,06%"
"12.12.2021","1.067,30","1.180,00","1.205,00","1.060,00","3,58M","-9,27%"
"05.12.2021","1.176,30","1.117,00","1.197,40","1.089,50","2,57M","5,31%"
"28.11.2021","1.117,00","1.099,00","1.117,40","1.075,00","1,85M","3,22%"
"21.11.2021","1.082,20","1.100,00","1.135,00","1.065,00","3,78M","-1,70%"
"14.11.2021","1.100,90","1.101,10","1.139,60","1.051,00","2,46M","-0,12%"
"07.11.2021","1.102,20","1.114,60","1.193,50","1.026,00","3,79M","-1,11%"
"31.10.2021","1.114,60","1.177,00","1.189,70","1.100,00","3,14M","-5,30%"
"24.10.2021","1.177,00","1.197,00","1.209,50","1.121,00","2,81M","-1,67%"
"17.10.2021","1.197,00","1.280,00","1.334,00","1.160,00","9,07M","-6,12%"
"10.10.2021","1.275,00","1.312,50","1.336,60","1.211,20","7,11M","-2,86%"
"03.10.2021","1.312,50","1.278,00","1.315,00","1.101,10","19,35M","2,70%"
"26.09.2021","1.278,00","1.420,10","1.454,90","1.249,50","11,65M","-11,50%"
"19.09.2021","1.444,00","1.485,00","1.509,60","1.430,00","3,18M","-2,75%"
