"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","169,10","173,90","178,90","162,00","71,78K","-2,03%"
"23.04.2023","172,60","164,90","180,50","163,30","91,33K","4,54%"
"16.04.2023","165,10","169,80","174,70","161,10","42,05K","-0,72%"
"09.04.2023","166,30","159,10","171,70","157,50","38,92K","5,45%"
"02.04.2023","157,70","152,60","159,90","149,00","116,64K","5,41%"
"26.03.2023","149,60","148,30","154,30","148,30","22,85K","0,34%"
"19.03.2023","149,10","144,20","151,80","140,10","323,86K","3,47%"
"12.03.2023","144,10","145,40","153,00","141,30","412,26K","-0,62%"
"05.03.2023","145,00","138,20","147,00","137,80","290,55K","5,30%"
"26.02.2023","137,70","135,40","141,30","134,00","352,79K","2,15%"
"19.02.2023","134,80","137,10","139,00","130,60","248,36K","-1,68%"
"12.02.2023","137,10","136,60","155,40","133,30","2,02M","2,39%"
"05.02.2023","133,90","130,30","141,90","130,00","404,63K","2,84%"
"29.01.2023","130,20","130,70","143,40","127,00","646,26K","0,23%"
"22.01.2023","129,90","127,60","140,00","125,50","603,59K","2,53%"
"15.01.2023","126,70","126,50","128,10","125,20","239,88K","-0,63%"
"08.01.2023","127,50","125,10","132,30","123,20","816,59K","4,25%"
"01.01.2023","122,30","111,80","143,90","111,80","1,64M","9,69%"
"25.12.2022","111,50","108,40","124,60","108,00","264,81K","2,67%"
"18.12.2022","108,60","105,00","112,00","104,10","93,24K","3,53%"
"11.12.2022","104,90","106,40","107,90","104,00","78,89K","-1,22%"
"04.12.2022","106,20","107,20","107,70","104,70","62,89K","-1,03%"
"27.11.2022","107,30","105,60","109,90","105,50","81,61K","1,04%"
"20.11.2022","106,20","107,10","107,10","105,00","90,50K","-0,93%"
"13.11.2022","107,20","107,90","109,90","106,10","70,19K","-0,19%"
"06.11.2022","107,40","107,90","111,00","107,00","81,70K","-0,46%"
"30.10.2022","107,90","108,40","116,00","106,60","224,35K","0,28%"
"23.10.2022","107,60","105,90","109,70","105,00","57,78K","0,65%"
"16.10.2022","106,90","101,60","109,00","99,90","30,53K","5,74%"
"09.10.2022","101,10","96,60","101,60","95,00","30,16K","2,33%"
"02.10.2022","98,80","98,90","103,40","97,10","51,29K","1,02%"
"25.09.2022","97,80","102,40","104,90","95,00","80,53K","-6,77%"
"18.09.2022","104,90","111,80","113,00","100,00","133,92K","-6,17%"
"11.09.2022","111,80","111,90","115,00","111,00","170,87K","0,00%"
"04.09.2022","111,80","112,80","112,80","111,20","155,97K","-0,36%"
"28.08.2022","112,20","113,00","118,00","111,50","222,84K","-0,36%"
"21.08.2022","112,60","112,80","115,90","111,10","65,42K","-0,18%"
"14.08.2022","112,80","113,20","114,90","112,10","46,21K","0,09%"
"07.08.2022","112,70","114,00","116,50","112,00","39,80K","-2,42%"
"31.07.2022","115,50","118,00","119,00","109,90","149,95K","-0,52%"
"24.07.2022","116,10","109,90","125,00","109,20","84,10K","5,16%"
"17.07.2022","110,40","113,90","113,90","107,70","40,88K","-2,99%"
"10.07.2022","113,80","116,60","116,60","110,10","32,45K","-0,18%"
"03.07.2022","114,00","114,20","117,40","112,50","27,99K","-1,72%"
"26.06.2022","116,00","116,70","118,40","113,00","42,38K","-0,43%"
"19.06.2022","116,50","115,60","121,00","115,00","53,43K","0,78%"
"12.06.2022","115,60","113,30","117,00","112,00","41,13K","1,94%"
"05.06.2022","113,40","112,30","125,80","112,30","90,01K","-1,13%"
"29.05.2022","114,70","118,60","121,50","112,50","48,00K","-3,78%"
"22.05.2022","119,20","131,00","131,00","115,00","131,61K","-8,94%"
"15.05.2022","130,90","167,30","174,00","125,00","649,68K","-21,48%"
"08.05.2022","166,70","166,40","182,30","161,20","234,60K","0,66%"
"01.05.2022","165,60","152,10","172,00","149,00","226,95K","11,44%"
"24.04.2022","148,60","141,00","153,00","139,30","80,32K","4,80%"
"17.04.2022","141,80","147,50","157,90","128,20","147,63K","-3,54%"
"10.04.2022","147,00","120,10","150,00","115,00","216,80K","19,42%"
"03.04.2022","123,10","125,00","133,00","119,20","21,85K","-0,57%"
"27.03.2022","123,80","106,50","129,00","78,00","29,66K","3,34%"
"20.02.2022","119,80","129,90","135,30","84,80","41,49K","-6,77%"
"13.02.2022","128,50","129,50","132,60","128,50","28,54K","-1,76%"
"06.02.2022","130,80","130,90","133,50","129,30","70,43K","-0,76%"
"30.01.2022","131,80","137,00","139,00","130,00","39,00K","-3,65%"
"23.01.2022","136,80","154,00","154,00","132,50","64,59K","-10,12%"
"16.01.2022","152,20","152,60","154,20","148,20","10,53K","-0,98%"
