"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","378,65","393,80","395,80","376,00","1,92M","-3,85%"
"23.04.2023","393,80","398,00","400,85","393,30","2,15M","-1,24%"
"16.04.2023","398,75","395,00","402,65","390,05","1,86M","1,62%"
"09.04.2023","392,40","392,00","396,95","385,15","2,20M","0,18%"
"02.04.2023","391,70","393,80","394,65","384,00","1,79M","2,84%"
"26.03.2023","380,90","378,95","387,80","376,10","3,10M","0,97%"
"19.03.2023","377,25","366,30","384,70","364,65","19,65M","3,30%"
"12.03.2023","365,20","366,20","371,00","353,20","16,24M","-0,19%"
"05.03.2023","365,90","361,90","366,55","359,55","8,45M","1,98%"
"26.02.2023","358,80","350,30","364,45","350,30","12,90M","1,80%"
"19.02.2023","352,45","345,10","355,65","339,00","8,73M","2,13%"
"12.02.2023","345,10","350,25","355,00","334,40","11,78M","-1,68%"
"05.02.2023","351,00","341,50","359,35","341,10","17,48M","2,68%"
"29.01.2023","341,85","337,10","344,95","335,50","9,62M","1,45%"
"22.01.2023","336,95","338,50","343,00","333,40","7,84M","0,12%"
"15.01.2023","336,55","346,45","347,60","334,50","9,75M","-2,75%"
"08.01.2023","346,05","368,20","369,70","345,00","21,10M","-5,79%"
"01.01.2023","367,30","367,95","372,75","363,25","6,71M","0,52%"
"25.12.2022","365,40","343,70","365,75","343,70","12,45M","6,44%"
"18.12.2022","343,30","330,95","348,20","329,10","11,72M","3,75%"
"11.12.2022","330,90","336,20","339,70","326,05","8,06M","-1,56%"
"04.12.2022","336,15","334,95","344,70","330,50","11,83M","0,34%"
"27.11.2022","335,00","332,80","338,35","328,05","10,26M","-0,27%"
"20.11.2022","335,90","335,60","339,50","324,80","18,15M","-0,30%"
"13.11.2022","336,90","357,70","358,60","326,75","24,43M","-5,62%"
"06.11.2022","356,95","338,00","363,50","337,30","39,03M","6,55%"
"30.10.2022","335,00","341,85","342,95","328,85","17,95M","-1,99%"
"23.10.2022","341,80","313,00","347,95","311,35","35,54M","9,80%"
"16.10.2022","311,30","300,00","316,60","298,05","28,66M","3,92%"
"09.10.2022","299,55","259,05","302,80","259,05","30,89M","11,36%"
"02.10.2022","269,00","266,15","295,95","265,10","46,45M","1,87%"
"25.09.2022","264,05","289,95","289,95","245,65","48,39M","-11,00%"
"18.09.2022","296,70","356,90","362,90","278,20","49,22M","-17,37%"
"11.09.2022","359,05","377,55","383,75","358,30","32,29M","-5,01%"
"04.09.2022","378,00","387,00","387,75","362,00","24,08M","-1,84%"
"28.08.2022","385,10","361,75","389,95","360,50","25,54M","6,53%"
"21.08.2022","361,50","344,40","361,90","343,60","11,67M","4,84%"
"14.08.2022","344,80","336,00","351,00","332,55","10,57M","2,56%"
"07.08.2022","336,20","331,50","342,80","324,10","11,43M","4,18%"
"31.07.2022","322,70","354,40","354,45","316,10","15,94M","-8,58%"
"24.07.2022","353,00","338,80","354,55","335,00","14,15M","3,82%"
"17.07.2022","340,00","334,10","341,45","316,25","14,22M","2,87%"
"10.07.2022","330,50","352,55","355,90","311,50","17,37M","-5,89%"
"03.07.2022","351,20","376,90","380,35","343,00","17,02M","-6,38%"
"26.06.2022","375,15","377,00","393,70","348,05","23,74M","-0,49%"
"19.06.2022","377,00","382,30","391,90","371,05","11,45M","-1,94%"
"12.06.2022","384,45","369,60","389,80","366,00","12,28M","4,05%"
"05.06.2022","369,50","368,70","378,30","362,05","10,56M","1,11%"
"29.05.2022","365,45","407,80","414,50","360,00","16,06M","-8,98%"
"22.05.2022","401,50","384,25","408,30","350,00","20,93M","4,49%"
"15.05.2022","384,25","375,00","406,00","374,00","8,91M","2,48%"
"08.05.2022","374,95","393,85","396,35","367,50","4,11M","-4,42%"
"01.05.2022","392,30","410,00","414,85","391,00","3,45M","-4,08%"
"24.04.2022","409,00","395,00","409,90","387,75","13,50M","2,93%"
"17.04.2022","397,35","393,00","407,30","358,50","12,36M","1,75%"
"10.04.2022","390,50","403,30","427,95","380,00","14,13M","-3,11%"
"03.04.2022","403,05","450,25","478,00","391,45","20,79M","-10,43%"
"27.03.2022","450,00","355,00","484,00","341,20","25,24M","23,25%"
"20.03.2022","365,10","312,00","384,20","308,00","28,38M","18,56%"
"20.02.2022","307,95","518,00","533,75","175,50","244,41M","-40,72%"
"13.02.2022","519,50","547,25","575,80","513,15","60,15M","-5,10%"
"06.02.2022","547,40","570,00","582,50","540,00","43,93M","-4,30%"
"30.01.2022","572,00","568,00","606,75","561,20","46,80M","0,97%"
"23.01.2022","566,50","564,45","578,00","522,70","78,05M","0,30%"
"16.01.2022","564,80","605,00","614,00","523,10","79,87M","-6,72%"
"09.01.2022","605,50","604,00","630,60","580,50","38,91M","0,65%"
"02.01.2022","601,60","599,90","617,00","580,60","16,39M","0,43%"
"26.12.2021","599,00","573,00","601,60","571,40","16,50M","4,71%"
"19.12.2021","572,05","567,70","583,00","555,45","18,45M","-0,20%"
"12.12.2021","573,20","573,40","579,65","503,15","35,32M","0,19%"
"05.12.2021","572,10","580,00","595,15","568,60","27,22M","-0,77%"
"28.11.2021","576,55","567,00","584,45","557,00","40,60M","3,85%"
