"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","64,12","66,00","67,19","63,76","1,49M","-2,09%"
"23.04.2023","65,49","63,25","66,61","63,00","3,21M","3,79%"
"16.04.2023","63,10","62,80","64,15","62,21","946,89K","0,91%"
"09.04.2023","62,53","62,08","63,55","61,68","1,36M","0,94%"
"02.04.2023","61,95","61,50","62,60","61,17","1,11M","1,09%"
"26.03.2023","61,28","61,99","63,20","60,56","1,76M","-0,02%"
"19.03.2023","61,29","61,49","62,00","60,80","4,87M","-0,07%"
"12.03.2023","61,33","58,70","61,70","58,29","11,77M","4,21%"
"05.03.2023","58,85","58,95","59,74","58,56","3,15M","0,17%"
"26.02.2023","58,75","57,88","59,20","57,80","3,73M","0,43%"
"19.02.2023","58,50","57,31","58,77","56,38","2,71M","1,86%"
"12.02.2023","57,43","59,72","59,90","55,84","5,56M","-3,32%"
"05.02.2023","59,40","59,50","60,60","58,60","6,42M","0,37%"
"29.01.2023","59,18","61,89","61,89","57,37","20,81M","4,95%"
"22.01.2023","56,39","56,34","57,63","55,91","3,61M","0,09%"
"15.01.2023","56,34","57,16","57,95","55,67","6,85M","-0,88%"
"08.01.2023","56,84","55,96","57,20","55,77","4,49M","1,68%"
"01.01.2023","55,90","56,19","56,32","55,10","1,50M","-0,09%"
"25.12.2022","55,95","55,00","56,49","55,00","3,55M","1,73%"
"18.12.2022","55,00","54,69","55,30","53,92","4,10M","0,55%"
"11.12.2022","54,70","56,07","56,49","54,44","2,77M","-2,74%"
"04.12.2022","56,24","57,02","57,25","56,07","1,98M","-1,19%"
"27.11.2022","56,92","56,94","57,55","56,29","2,34M","-0,04%"
"20.11.2022","56,94","57,40","57,40","56,50","2,22M","-0,52%"
"13.11.2022","57,24","57,60","57,94","55,00","3,03M","-0,62%"
"06.11.2022","57,60","57,53","58,06","56,70","2,86M","0,33%"
"30.10.2022","57,41","58,14","58,49","56,80","2,40M","-0,71%"
"23.10.2022","57,82","57,15","58,54","56,70","5,30M","1,24%"
"16.10.2022","57,11","56,09","57,20","55,30","4,10M","2,06%"
"09.10.2022","55,96","53,00","57,34","52,33","4,01M","2,87%"
"02.10.2022","54,40","53,39","56,82","53,39","6,40M","2,62%"
"25.09.2022","53,01","53,91","54,88","50,51","10,59M","-2,41%"
"18.09.2022","54,32","59,92","60,38","51,47","11,31M","-9,35%"
"11.09.2022","59,92","60,10","60,99","59,20","6,69M","-0,17%"
"04.09.2022","60,02","61,09","62,96","59,88","8,69M","-0,84%"
"28.08.2022","60,53","60,10","61,21","59,73","6,44M","0,31%"
"21.08.2022","60,34","60,32","61,45","59,30","2,76M","0,02%"
"14.08.2022","60,33","61,59","61,59","59,25","4,21M","-2,00%"
"07.08.2022","61,56","59,01","62,49","59,01","6,20M","5,68%"
"31.07.2022","58,25","60,69","60,94","57,50","5,86M","-4,45%"
"24.07.2022","60,96","60,68","61,45","60,11","3,81M","1,18%"
"17.07.2022","60,25","64,50","65,20","59,12","8,33M","-6,59%"
"10.07.2022","64,50","66,54","67,78","62,41","6,73M","-3,07%"
"03.07.2022","66,54","65,55","67,00","64,51","5,16M","1,63%"
"26.06.2022","65,47","61,00","67,50","60,48","12,80M","8,39%"
"19.06.2022","60,40","59,77","61,00","59,07","5,45M","0,95%"
"12.06.2022","59,83","57,76","60,15","57,50","4,17M","3,58%"
"05.06.2022","57,76","58,20","58,59","57,01","2,75M","-0,09%"
"29.05.2022","57,81","58,51","60,14","56,64","4,45M","-0,99%"
"22.05.2022","58,39","58,19","59,50","56,12","3,23M","0,40%"
"15.05.2022","58,16","58,90","61,97","57,50","4,95M","0,62%"
"08.05.2022","57,80","59,34","59,50","57,80","1,15M","-2,07%"
"01.05.2022","59,02","60,25","60,98","58,60","1,52M","-2,27%"
"24.04.2022","60,39","57,90","61,80","56,60","3,74M","4,30%"
"17.04.2022","57,90","60,59","60,64","56,55","4,51M","-3,90%"
"10.04.2022","60,25","64,90","64,90","59,90","4,44M","-6,46%"
"03.04.2022","64,41","65,50","69,48","61,17","14,27M","-2,42%"
"27.03.2022","66,01","65,65","69,87","61,00","10,01M","3,16%"
"20.03.2022","63,99","59,27","73,95","58,06","4,57M","2,76%"
"20.02.2022","62,27","69,69","71,24","45,45","37,34M","-10,07%"
"13.02.2022","69,24","70,56","73,25","69,05","20,71M","-1,87%"
"06.02.2022","70,56","74,09","75,33","70,12","16,55M","-4,76%"
"30.01.2022","74,09","73,77","75,75","72,50","11,60M","1,49%"
"23.01.2022","73,00","75,14","75,92","70,07","20,03M","-2,41%"
"16.01.2022","74,80","78,62","79,50","74,22","20,58M","-4,98%"
"09.01.2022","78,72","83,76","85,50","76,80","17,34M","-6,55%"
"02.01.2022","84,24","86,79","87,35","82,52","5,51M","-2,76%"
"26.12.2021","86,63","82,00","87,76","81,68","9,06M","5,33%"
