"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","40,085","40,830","41,190","39,255","7,24M","-1,91%"
"23.04.2023","40,865","42,880","43,410","40,700","15,44M","-5,10%"
"16.04.2023","43,060","42,700","44,300","42,040","8,93M","1,63%"
"09.04.2023","42,370","41,150","42,990","41,135","8,88M","3,09%"
"02.04.2023","41,100","40,600","41,635","40,050","16,93M","1,73%"
"26.03.2023","40,400","41,400","41,850","40,155","12,41M","-2,42%"
"19.03.2023","41,400","40,140","41,500","39,830","38,64M","3,42%"
"12.03.2023","40,030","41,395","41,935","39,550","41,20M","-3,19%"
"05.03.2023","41,350","41,300","41,695","40,965","18,56M","0,13%"
"26.02.2023","41,295","38,900","41,400","38,375","53,54M","4,86%"
"19.02.2023","39,380","38,500","40,375","38,020","49,53M","1,73%"
"12.02.2023","38,710","41,400","41,470","37,025","66,85M","-6,57%"
"05.02.2023","41,430","42,200","42,700","40,450","117,52M","-1,91%"
"29.01.2023","42,235","42,400","43,095","41,420","50,51M","0,28%"
"22.01.2023","42,115","40,610","42,350","40,435","54,57M","2,98%"
"15.01.2023","40,895","41,190","41,900","40,000","53,63M","0,31%"
"08.01.2023","40,770","40,730","41,110","40,010","20,92M","0,37%"
"01.01.2023","40,620","40,260","41,070","40,130","9,96M","1,21%"
"25.12.2022","40,135","40,130","40,750","39,625","25,61M","0,34%"
"18.12.2022","40,000","37,910","41,700","37,850","77,02M","5,18%"
"11.12.2022","38,030","39,480","39,885","37,800","34,93M","-3,77%"
"04.12.2022","39,520","39,380","40,195","38,560","37,81M","1,40%"
"27.11.2022","38,975","37,570","39,780","37,005","53,90M","3,35%"
"20.11.2022","37,710","38,440","39,450","37,055","40,85M","-2,10%"
"13.11.2022","38,520","39,865","40,840","36,610","77,98M","-2,21%"
"06.11.2022","39,390","36,300","39,695","36,040","94,90M","10,26%"
"30.10.2022","35,725","37,250","37,650","34,650","47,16M","-3,85%"
"23.10.2022","37,155","33,150","37,875","33,005","121,50M","13,55%"
"16.10.2022","32,720","33,870","34,585","31,850","88,23M","-2,99%"
"09.10.2022","33,730","31,100","37,080","31,100","70,36M","1,23%"
"02.10.2022","33,320","34,010","35,990","32,735","40,05M","-1,52%"
"25.09.2022","33,835","37,580","37,580","30,615","70,08M","-10,09%"
"18.09.2022","37,630","47,615","47,695","36,950","53,92M","-21,11%"
"11.09.2022","47,700","49,500","49,900","47,200","27,47M","-3,04%"
"04.09.2022","49,195","49,505","50,650","46,500","35,30M","-0,62%"
"28.08.2022","49,500","48,645","51,000","48,030","46,19M","1,93%"
"21.08.2022","48,565","46,000","48,950","45,375","27,24M","5,69%"
"14.08.2022","45,950","44,100","47,800","43,800","38,92M","4,38%"
"07.08.2022","44,020","44,870","46,870","43,000","36,73M","0,42%"
"31.07.2022","43,835","50,900","50,900","43,000","26,75M","-12,74%"
"24.07.2022","50,235","48,500","51,750","47,700","19,60M","3,56%"
"17.07.2022","48,510","49,895","50,345","46,200","19,32M","-2,00%"
"10.07.2022","49,500","55,830","56,975","48,270","24,92M","-11,34%"
"03.07.2022","55,830","52,840","66,495","52,505","74,83M","5,66%"
"26.06.2022","52,840","54,965","55,900","52,000","17,96M","-3,86%"
