"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","237,70","242,20","244,99","234,22","53,08M","-1,11%"
"23.04.2023","240,38","235,07","241,58","234,21","49,58M","2,22%"
"16.04.2023","235,17","222,98","238,85","222,98","115,91M","5,99%"
"09.04.2023","221,87","217,20","223,21","216,62","43,32M","2,59%"
"02.04.2023","216,27","218,45","219,15","212,53","29,20M","-0,15%"
"26.03.2023","216,60","204,01","219,49","204,01","88,08M","6,40%"
"19.03.2023","203,57","196,02","208,00","195,00","387,84M","5,16%"
"12.03.2023","193,59","172,50","193,66","169,26","682,99M","12,21%"
"05.03.2023","172,53","172,14","174,89","170,58","250,52M","0,80%"
"26.02.2023","171,16","163,52","171,92","162,96","370,33M","4,18%"
"19.02.2023","164,30","159,41","165,65","156,73","272,89M","2,86%"
"12.02.2023","159,73","165,20","166,88","153,83","329,58M","-3,50%"
"05.02.2023","165,52","161,78","168,70","161,01","388,48M","2,64%"
"29.01.2023","161,26","153,50","162,32","152,21","292,93M","5,26%"
"22.01.2023","153,20","151,90","155,58","151,01","256,95M","1,20%"
"15.01.2023","151,38","152,89","154,31","148,56","314,74M","-0,20%"
"08.01.2023","151,69","141,83","153,28","141,31","313,62M","7,28%"
"01.01.2023","141,40","141,60","143,25","140,54","66,11M","0,18%"
"25.12.2022","141,15","138,33","142,00","138,00","179,31M","2,33%"
"18.12.2022","137,94","135,13","139,12","132,86","202,86M","1,84%"
"11.12.2022","135,45","140,19","140,87","134,13","207,35M","-3,27%"
"04.12.2022","140,03","136,66","143,60","136,25","319,14M","2,47%"
"27.11.2022","136,66","135,02","137,95","134,10","156,06M","0,10%"
"20.11.2022","136,53","136,01","138,41","132,51","253,73M","-0,26%"
"13.11.2022","136,89","137,50","141,00","130,86","398,39M","-0,07%"
"06.11.2022","136,98","127,09","138,42","126,42","473,69M","8,93%"
"30.10.2022","125,75","127,20","128,60","123,75","185,52M","-0,96%"
"23.10.2022","126,97","120,15","127,50","117,65","458,77M","6,30%"
"16.10.2022","119,45","107,93","119,94","107,65","474,15M","10,83%"
"09.10.2022","107,78","96,55","109,19","96,50","357,22M","6,19%"
"02.10.2022","101,50","110,62","115,50","101,30","390,67M","-7,90%"
"25.09.2022","110,21","114,00","117,99","103,40","518,65M","-7,69%"
"18.09.2022","119,39","137,40","139,08","109,27","582,23M","-13,32%"
"11.09.2022","137,73","137,07","141,39","135,20","288,08M","-0,30%"
"04.09.2022","138,15","143,50","145,10","134,00","341,89M","-3,93%"
"28.08.2022","143,80","130,12","144,90","129,52","391,28M","10,28%"
"21.08.2022","130,40","125,00","131,64","124,70","204,71M","4,15%"
"14.08.2022","125,20","124,56","127,44","123,28","129,63M","0,26%"
"07.08.2022","124,88","126,11","127,38","122,30","181,70M","2,03%"
"31.07.2022","122,40","131,77","131,77","122,24","200,01M","-7,20%"
