"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.04.2023","0,021060","0,022300","0,022865","0,020620","197,49B","-5,22%"
"23.04.2023","0,022220","0,020115","0,022950","0,019610","468,89B","10,03%"
"16.04.2023","0,020195","0,018820","0,020365","0,018745","103,67B","8,02%"
"09.04.2023","0,018695","0,018995","0,019135","0,018385","42,83B","-0,72%"
"02.04.2023","0,018830","0,018185","0,020915","0,018040","59,08B","3,80%"
"26.03.2023","0,018140","0,017985","0,018520","0,017865","68,40B","1,34%"
"19.03.2023","0,017900","0,017305","0,019345","0,017180","1.368,18B","7,25%"
"12.03.2023","0,016690","0,016550","0,016800","0,016290","188,51B","1,21%"
"05.03.2023","0,016490","0,016650","0,016865","0,016405","109,96B","-0,57%"
"26.02.2023","0,016585","0,016150","0,016725","0,016125","167,16B","2,34%"
"19.02.2023","0,016205","0,016045","0,016665","0,015905","128,16B","1,38%"
"12.02.2023","0,015985","0,016960","0,017025","0,015810","219,84B","-5,67%"
"05.02.2023","0,016945","0,016915","0,017350","0,016860","235,76B","0,18%"
"29.01.2023","0,016915","0,016550","0,017395","0,016470","302,92B","1,99%"
"22.01.2023","0,016585","0,016770","0,016900","0,016330","141,11B","-0,78%"
"15.01.2023","0,016715","0,016720","0,017170","0,016505","203,31B","0,42%"
"08.01.2023","0,016645","0,016270","0,016820","0,016230","181,68B","2,72%"
"01.01.2023","0,016205","0,016355","0,016525","0,016170","65,78B","-1,13%"
"25.12.2022","0,016390","0,017005","0,017335","0,016220","322,62B","-3,19%"
"18.12.2022","0,016930","0,016130","0,017180","0,015880","212,99B","4,64%"
"11.12.2022","0,016180","0,016715","0,016780","0,016045","112,94B","-3,20%"
"04.12.2022","0,016715","0,016840","0,017255","0,015700","253,66B","-0,68%"
"27.11.2022","0,016830","0,016865","0,017050","0,016770","75,63B","-0,88%"
"20.11.2022","0,016980","0,017065","0,017215","0,016700","113,47B","-0,32%"
"13.11.2022","0,017035","0,017225","0,017710","0,016315","224,68B","-0,73%"
"06.11.2022","0,017160","0,016585","0,017425","0,016485","318,63B","4,63%"
"30.10.2022","0,016400","0,016915","0,017145","0,016110","118,54B","-3,04%"
"23.10.2022","0,016915","0,016250","0,017000","0,015880","256,00B","4,54%"
"16.10.2022","0,016180","0,015210","0,016385","0,015160","296,91B","6,45%"
"09.10.2022","0,015200","0,014025","0,015500","0,013880","196,19B","5,37%"
"02.10.2022","0,014425","0,015040","0,015910","0,014400","273,26B","-3,38%"
"25.09.2022","0,014930","0,016500","0,016775","0,014225","471,86B","-12,25%"
"18.09.2022","0,017015","0,019900","0,020070","0,016805","372,70B","-14,67%"
"11.09.2022","0,019940","0,019755","0,020385","0,019630","209,83B","0,40%"
"04.09.2022","0,019860","0,020200","0,020800","0,019505","308,19B","-1,14%"
"28.08.2022","0,020090","0,018240","0,020180","0,018180","281,53B","10,14%"
"21.08.2022","0,018240","0,017975","0,018440","0,017875","83,04B","1,33%"
"14.08.2022","0,018000","0,017920","0,018500","0,017790","109,40B","0,25%"
"07.08.2022","0,017955","0,017850","0,018170","0,017535","94,40B","1,90%"
"31.07.2022","0,017620","0,018595","0,018615","0,017455","101,77B","-5,19%"
"24.07.2022","0,018585","0,018350","0,018850","0,018270","102,99B","1,06%"
"17.07.2022","0,018390","0,018065","0,018745","0,017830","130,80B","2,25%"
"10.07.2022","0,017985","0,018650","0,018870","0,017680","124,34B","-4,49%"
"03.07.2022","0,018830","0,017760","0,019100","0,017760","176,23B","7,57%"
"26.06.2022","0,017505","0,018590","0,019530","0,017315","229,14B","-5,89%"
"19.06.2022","0,018600","0,018045","0,018970","0,017810","212,97B","3,91%"
"12.06.2022","0,017900","0,016990","0,018210","0,016750","138,87B","5,29%"
"05.06.2022","0,017000","0,017560","0,017695","0,016950","105,61B","-3,13%"
"29.05.2022","0,017550","0,018695","0,018760","0,017425","125,64B","-5,65%"
